LARC       LATITUDE    -62.2     LONGITUDE     301.04    ALTITUDE    40 M
LARC       INSTRUMENT   6-NM-64  NEUTRON MONITOR
LARC       STANDARD PRESSURE    980     mb     COEFFICIENT   -0.74     % / mb
LARC       PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
LARC       PRE-INCREASE AVERAGE COUNTING RATE     75.82      COUNTS PER SECOND
LARC       TIME INTERVALS    300         3600     
LARC       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
LARC       061213 300  173000-173500   00      83.02  967.4     75.62    -0.30    -9999
LARC       061213 300  173500-174000   00      84.99  967.4     77.43     2.10    -9999
LARC       061213 300  174000-174500   00      84.02  967.4     76.57     1.00    -9999
LARC       061213 300  174500-175000   00      82.77  967.5     75.45    -0.50    -9999
LARC       061213 300  175000-175500   00      82.53  967.4     75.20    -0.80    -9999
LARC       061213 300  175500-180000   00      83.95  967.5     76.55     1.00    -9999
LARC       061213 300  180000-180500   00      83.73  967.5     76.33     0.70    -9999
LARC       061213 300  180500-181000   00      83.59  967.5     76.20     0.50    -9999
LARC       061213 300  181000-181500   00      83.27  967.6     75.96     0.20    -9999
LARC       061213 300  181500-182000   00      83.40  967.6     76.07     0.30    -9999
LARC       061213 300  182000-182500   00      84.19  967.6     76.80     1.30    -9999
LARC       061213 300  182500-183000   00      84.26  967.6     76.85     1.40    -9999
LARC       061213 300  183000-183500   00      82.42  967.7     75.25    -0.70    -9999
LARC       061213 300  183500-184000   00      83.69  967.7     76.42     0.80    -9999
LARC       061213 300  184000-184500   00      84.40  967.7     77.08     1.70    -9999
LARC       061213 300  184500-185000   00      83.95  967.8     76.71     1.20    -9999
LARC       061213 300  185000-185500   00      84.71  967.8     77.38     2.10    -9999
LARC       061213 300  185500-190000   00      84.16  967.8     76.91     1.50    -9999
LARC       061213 300  190000-190500   00      82.05  967.9     75.02    -1.00    -9999
LARC       061213 300  190500-191000   00      83.74  967.9     76.58     1.00    -9999
LARC       061213 300  191000-191500   00      84.35  967.9     77.11     1.70    -9999
LARC       061213 300  191500-192000   00      84.03  967.9     76.83     1.40    -9999
LARC       061213 300  192000-192500   00      82.68  967.9     75.61    -0.30    -9999
LARC       061213 300  192500-193000   00      83.21  968.0     76.12     0.40    -9999
LARC       061213 300  193000-193500   00      82.42  968.0     75.39    -0.60    -9999
LARC       061213 300  193500-194000   00      83.10  968.0     76.04     0.30    -9999
LARC       061213 300  194000-194500   00      84.83  968.1     77.66     2.40    -9999
LARC       061213 300  194500-195000   00      82.39  968.1     75.47    -0.40    -9999
LARC       061213 300  195000-195500   00      84.90  968.1     77.76     2.60    -9999
LARC       061213 300  195500-200000   00      83.79  968.2     76.77     1.30    -9999
LARC       061213 300  200000-200500   00      84.25  968.2     77.23     1.90    -9999
LARC       061213 300  200500-201000   00      83.88  968.2     76.88     1.40    -9999
LARC       061213 300  201000-201500   00      83.47  968.2     76.50     0.90    -9999
LARC       061213 300  201500-202000   00      82.25  968.3     75.42    -0.50    -9999
LARC       061213 300  202000-202500   00      82.70  968.3     75.83     0.00    -9999
LARC       061213 300  202500-203000   00      81.58  968.3     74.79    -1.30    -9999
LARC       061213 300  203000-203500   00      82.95  968.2     76.03     0.30    -9999
LARC       061213 300  203500-204000   00      83.70  968.2     76.72     1.20    -9999
LARC       061213 300  204000-204500   00      82.39  968.4     75.59    -0.30    -9999
LARC       061213 300  204500-205000   00      82.86  968.4     76.03     0.30    -9999
LARC       061213 300  205000-205500   00      83.25  968.4     76.40     0.80    -9999
LARC       061213 300  205500-210000   00      83.65  968.4     76.76     1.30    -9999
LARC       061213 300  210000-210500   00      81.38  968.4     74.68    -1.50    -9999
LARC       061213 300  210500-211000   00      81.46  968.4     74.77    -1.40    -9999
LARC       061213 300  211000-212100   00      82.40  968.5     75.65    -0.20    -9999
LARC       061213 300  212000-212500   00      83.25  968.5     76.48     0.90    -9999
LARC       061213 300  212100-212000   00      81.60  968.5     74.95    -1.10    -9999
