KIEL       LATITUDE    54.3      LONGITUDE     10.1      ALTITUDE    54 M
KIEL       INSTRUMENT   18NM64    NEUTRON MONITOR	
KIEL       STANDARD PRESSURE    1006.6  mb     COEFFICIENT   -0.721    % / mb
KIEL       PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
KIEL       PRE-INCREASE AVERAGE COUNTING RATE    170.29      COUNTS PER SECOND
KIEL       TIME INTERVALS    300         3600     
KIEL       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
KIEL       120517 300  172000-172500   00     165.50 1010.3    169.99    -0.20    -9999
KIEL       120517 300  172500-173000   00     166.43 1010.3    170.90     0.40    -9999
KIEL       120517 300  173000-173500   00     163.09 1010.2    167.37    -1.70    -9999
KIEL       120517 300  173500-174000   00     165.05 1010.2    169.41    -0.50    -9999
KIEL       120517 300  174000-174500   00     164.81 1010.2    169.14    -0.70    -9999
KIEL       120517 300  174500-175000   00     167.34 1010.2    171.68     0.80    -9999
KIEL       120517 300  175000-175500   00     166.83 1010.1    171.09     0.50    -9999
KIEL       120517 300  175500-180000   00     166.22 1010.1    170.44     0.10    -9999
KIEL       120517 300  180000-180500   00     164.59 1010.1    168.79    -0.90    -9999
KIEL       120517 300  180500-181000   00     166.00 1010.1    170.23     0.00    -9999
KIEL       120517 300  181000-181500   00     168.28 1010.0    172.47     1.30    -9999
KIEL       120517 300  181500-182000   00     167.32 1010.0    171.47     0.70    -9999
KIEL       120517 300  182000-182500   00     166.92 1010.0    171.11     0.50    -9999
KIEL       120517 300  182500-183000   00     167.66 1010.0    171.77     0.90    -9999
KIEL       120517 300  183000-183500   00     164.61 1010.0    168.64    -1.00    -9999
KIEL       120517 300  183500-184000   00     165.31 1009.9    169.33    -0.60    -9999
KIEL       120517 300  184000-184500   00     163.97 1009.9    167.94    -1.40    -9999
KIEL       120517 300  184500-185000   00     164.88 1009.9    168.89    -0.80    -9999
KIEL       120517 300  185000-185500   00     168.02 1009.9    172.03     1.00    -9999
KIEL       120517 300  185500-190000   00     167.42 1009.9    171.43     0.70    -9999
KIEL       120517 300  190000-190500   00     165.39 1009.8    169.24    -0.60    -9999
KIEL       120517 300  190500-191000   00     166.05 1009.8    169.97    -0.20    -9999
KIEL       120517 300  191000-191500   00     164.74 1009.8    168.61    -1.00    -9999
