LOMNICKY   LATITUDE    49.2      LONGITUDE     20.22     ALTITUDE    2634 M
LOMNICKY   INSTRUMENT   8-NM-64  NEUTRON MONITOR	
LOMNICKY   STANDARD PRESSURE    747     mb     COEFFICIENT   -0.72     % / mb
LOMNICKY   PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
LOMNICKY   PRE-INCREASE AVERAGE COUNTING RATE    470.15      COUNTS PER SECOND
LOMNICKY   TIME INTERVALS    300         3600     
LOMNICKY   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
LOMNICKY   120517 300  164500-165000   00     469.56  733.5    470.35     0.00    -9999
LOMNICKY   120517 300  165000-165500   00     471.70  733.5    472.59     0.50    -9999
LOMNICKY   120517 300  165500-170000   00     470.75  733.6    471.83     0.40    -9999
LOMNICKY   120517 300  170000-170500   00     471.98  733.6    473.25     0.70    -9999
LOMNICKY   120517 300  170500-171000   00     470.66  733.7    471.94     0.40    -9999
LOMNICKY   120517 300  171000-171500   00     470.05  733.7    471.48     0.30    -9999
LOMNICKY   120517 300  171500-172000   00     472.49  733.7    473.93     0.80    -9999
LOMNICKY   120517 300  172000-172500   00     468.23  733.7    469.81    -0.10    -9999
LOMNICKY   120517 300  172500-173000   00     469.86  733.8    471.56     0.30    -9999
LOMNICKY   120517 300  173000-173500   00     468.82  733.8    470.66     0.10    -9999
LOMNICKY   120517 300  173500-174000   00     473.96  733.9    475.95     1.20    -9999
LOMNICKY   120517 300  174000-174500   00     471.24  733.9    473.42     0.70    -9999
LOMNICKY   120517 300  174500-175000   00     471.40  733.9    473.61     0.70    -9999
LOMNICKY   120517 300  175000-175500   00     469.52  733.9    471.77     0.30    -9999
LOMNICKY   120517 300  175500-180000   00     465.21  734.0    467.54    -0.60    -9999
LOMNICKY   120517 300  180000-180500   00     472.53  734.0    475.03     1.00    -9999
LOMNICKY   120517 300  180500-181000   00     467.96  734.0    470.46     0.10    -9999
LOMNICKY   120517 300  181000-181500   00     469.44  734.0    471.98     0.40    -9999
LOMNICKY   120517 300  181500-182000   00     471.15  734.0    473.69     0.80    -9999
LOMNICKY   120517 300  182000-182500   00     471.34  734.0    473.84     0.80    -9999
LOMNICKY   120517 300  182500-183000   00     470.52  734.0    473.14     0.60    -9999
LOMNICKY   120517 300  183000-183500   00     471.07  734.1    473.99     0.80    -9999
LOMNICKY   120517 300  183500-184000   00     470.75  734.1    473.68     0.80    -9999
LOMNICKY   120517 300  184000-184500   00     469.36  734.2    472.50     0.50    -9999
LOMNICKY   120517 300  184500-185000   00     467.14  734.2    470.40     0.10    -9999
LOMNICKY   120517 300  185000-185500   00     469.07  734.3    472.51     0.50    -9999
LOMNICKY   120517 300  185500-190000   00     468.19  734.3    471.56     0.30    -9999
LOMNICKY   120517 300  190000-190500   00     469.10  734.3    472.50     0.50    -9999
LOMNICKY   120517 300  190500-191000   00     471.59  734.4    475.26     1.10    -9999
LOMNICKY   120517 300  191000-191500   00     469.59  734.4    473.31     0.70    -9999
LOMNICKY   120517 300  191500-192000   00     464.06  734.4    467.84    -0.50    -9999
LOMNICKY   120517 300  192000-192500   00     466.34  734.4    469.96     0.00    -9999
LOMNICKY   120517 300  192500-193000   00     467.03  734.4    470.65     0.10    -9999
LOMNICKY   120517 300  193000-193500   00     466.82  734.4    470.50     0.10    -9999
LOMNICKY   120517 300  193500-194000   00     464.42  734.4    468.14    -0.40    -9999
LOMNICKY   120517 300  194000-194500   00     459.89  734.4    463.71    -1.40    -9999
LOMNICKY   120517 300  194500-195000   00     462.86  734.5    466.81    -0.70    -9999
LOMNICKY   120517 300  195000-195500   00     467.27  734.5    471.34     0.30    -9999
