NAIN       LATITUDE    56.6      LONGITUDE     -61.7     ALTITUDE    0 M
NAIN       INSTRUMENT   18NM64    NEUTRON MONITOR     	
NAIN       STANDARD PRESSURE    1005.7  mb     COEFFICIENT   -0.75     % / mb
NAIN       PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
NAIN       PRE-INCREASE AVERAGE COUNTING RATE    191.13      COUNTS PER SECOND
NAIN       TIME INTERVALS    300         3600     
NAIN       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
NAIN       031028 300  214000-214500   00     219.58  997.8    206.96     8.30     7.59
NAIN       031028 300  214500-215000   00     216.84  998.1    204.80     7.20     6.49
NAIN       031028 300  215000-215500   00     216.14  998.4    204.56     7.00     6.28
NAIN       031028 300  215500-220000   00     213.52  998.6    202.50     5.90     5.18
NAIN       031028 300  220000-220500   00     214.98  998.9    204.28     6.90     6.18
NAIN       031028 300  220500-221000   00     216.58  999.1    206.16     7.90     7.17
NAIN       031028 300  221000-221500   00     215.90  999.4    205.87     7.70     6.97
NAIN       031028 300  221500-222000   00     214.60  999.6    204.99     7.30     6.57
NAIN       031028 300  222000-222500   00     212.74  999.8    203.57     6.50     5.76
NAIN       031028 300  222500-223000   00     212.92 1000.1    204.10     6.80     6.06
NAIN       031028 300  223000-223500   00     215.04 1000.3    206.49     8.00     7.26
NAIN       031028 300  223500-224000   00     212.20 1000.5    204.12     6.80     6.05
NAIN       031028 300  224000-224500   00     210.06 1000.8    202.42     5.90     5.15
NAIN       031028 300  224500-225000   00     214.16 1001.0    206.73     8.20     7.44
NAIN       031028 300  225000-225500   00     210.18 1001.2    203.24     6.30     5.54
NAIN       031028 300  225500-230000   00     208.64 1001.5    202.11     5.70     4.94
NAIN       031028 300  230000-230500   00     208.68 1001.7    202.52     6.00     5.23
NAIN       031028 300  230500-231000   00     209.72 1002.0    203.94     6.70     5.93
NAIN       031028 300  231000-231500   00     207.30 1002.2    201.99     5.70     4.93
NAIN       031028 300  231500-232000   00     209.84 1002.5    204.87     7.20     6.42
NAIN       031028 300  232000-232500   00     208.62 1002.8    204.09     6.80     6.02
NAIN       031028 300  232500-233000   00     206.28 1003.0    202.20     5.80     5.02
NAIN       031028 300  233000-233500   00     206.30 1003.3    202.63     6.00     5.21
NAIN       031028 300  233500-234000   00     208.24 1003.6    204.95     7.20     6.41
NAIN       031028 300  234000-234500   00     206.18 1003.8    203.32     6.40     5.61
NAIN       031028 300  234500-235000   00     205.20 1004.1    202.76     6.10     5.30
NAIN       031028 300  235000-235500   00     205.74 1004.4    203.70     6.60     5.80
NAIN       031028 300  235500-240000   00     204.76 1004.6    203.14     6.30     5.50
NAIN       031029 300  000000-000500   00     205.04 1004.9    203.77     6.60     5.79
NAIN       031029 300  000500-001000   00     206.64 1005.1    205.65     7.60     6.79
NAIN       031029 300  001000-001500   00     204.42 1005.2    203.72     6.60     5.78
NAIN       031029 300  001500-002000   00     203.68 1005.4    203.26     6.30     5.48
NAIN       031029 300  002000-002500   00     203.50 1005.6    203.36     6.40     5.58
NAIN       031029 300  002500-003000   00     205.62 1005.8    205.76     7.70     6.87
NAIN       031029 300  003000-003500   00     202.54 1006.0    202.95     6.20     5.37
NAIN       031029 300  003500-004000   00     203.20 1006.2    203.90     6.70     5.87
NAIN       031029 300  004000-004500   00     201.98 1006.3    202.95     6.20     5.36
NAIN       031029 300  004500-005000   00     200.30 1006.5    201.54     5.40     4.56
NAIN       031029 300  005000-005500   00     203.00 1006.7    204.54     7.00     6.16
NAIN       031029 300  005500-010000   00     204.02 1006.9    205.85     7.70     6.85
NAIN       031029 300  010000-010500   00     201.06 1007.1    203.11     6.30     5.45
NAIN       031029 300  010500-011000   00     199.62 1007.2    201.86     5.60     4.75
NAIN       031029 300  011000-011500   00     201.94 1007.3    204.41     6.90     6.04
NAIN       031029 300  011500-012000   00     201.72 1007.5    204.39     6.90     6.04
NAIN       031029 300  012000-012500   00     201.34 1007.6    204.21     6.80     5.94
NAIN       031029 300  012500-013000   00     199.44 1007.7    202.48     5.90     5.03
NAIN       031029 300  013000-013500   00     200.12 1007.9    203.38     6.40     5.53
NAIN       031029 300  013500-014000   00     199.08 1008.0    202.52     6.00     5.12
NAIN       031029 300  014000-014500   00     197.18 1008.1    200.79     5.10     4.22
NAIN       031029 300  014500-015000   00     197.02 1008.3    200.83     5.10     4.22
NAIN       031029 300  015000-015500   00     197.36 1008.4    201.38     5.40     4.51
NAIN       031029 300  015500-020000   00     196.18 1008.5    200.37     4.80     3.91
NAIN       031029 300  020000-020500   00     195.70 1008.7    200.08     4.70     3.81
NAIN       031029 300  020500-021000   00     196.30 1008.8    200.90     5.10     4.20
NAIN       031029 300  021000-021500   00     195.66 1008.9    200.44     4.90     4.00
NAIN       031029 300  021500-022000   00     199.02 1009.1    204.09     6.80     5.90
NAIN       031029 300  022000-022500   00     195.16 1009.2    200.33     4.80     3.89
NAIN       031029 300  022500-023000   00     198.12 1009.3    203.57     6.50     5.59
NAIN       031029 300  023000-023500   00     195.96 1009.5    201.55     5.50     4.59
NAIN       031029 300  023500-024000   00     198.44 1009.6    204.31     6.90     5.98
NAIN       031029 300  024000-024500   00     194.26 1009.7    200.21     4.80     3.88
NAIN       031029 300  024500-025000   00     195.80 1009.9    202.00     5.70     4.77
NAIN       031029 300  025000-025500   00     194.58 1010.0    200.94     5.10     4.17
NAIN       031029 300  025500-030000   00     194.44 1010.1    201.00     5.20     4.27
NAIN       031029 300  030000-030500   00     194.48 1010.2    201.22     5.30     4.36
NAIN       031029 300  030500-031000   00     193.80 1010.4    200.68     5.00     4.06
NAIN       031029 300  031000-031500   00     195.28 1010.5    202.38     5.90     4.96
NAIN       031029 300  031500-032000   00     193.76 1010.6    200.97     5.10     4.15
NAIN       031029 300  032000-032500   00     192.78 1010.7    200.11     4.70     3.75
NAIN       031029 300  032500-033000   00     196.44 1010.8    204.08     6.80     5.85
NAIN       031029 300  033000-033500   00     193.98 1010.9    201.68     5.50     4.54
NAIN       031029 300  033500-034000   00     193.54 1011.0    201.39     5.40     4.44
NAIN       031029 300  034000-034500   00     191.88 1011.1    199.82     4.50     3.54
NAIN       031029 300  034500-035000   00     189.66 1011.2    197.67     3.40     2.43
NAIN       031029 300  035000-035500   00     192.06 1011.3    200.34     4.80     3.83
NAIN       031029 300  035500-040000   00     192.26 1011.4    200.71     5.00     4.03
NAIN       031029 300  040000-040500   00     195.54 1011.5    204.31     6.90     5.92
NAIN       031029 300  040500-041000   00     194.10 1011.7    202.98     6.20     5.22
NAIN       031029 300  041000-041500   00     192.70 1011.8    201.69     5.50     4.51
NAIN       031029 300  041500-042000   00     191.96 1011.9    201.09     5.20     4.21
NAIN       031029 300  042000-042500   00     192.38 1012.0    201.71     5.50     4.51
NAIN       031029 300  042500-043000   00     193.94 1012.1    203.52     6.50     5.50
NAIN       031029 300  043000-043500   00     193.04 1012.2    202.75     6.10     5.10
NAIN       031029 300  043500-044000   00     192.92 1012.4    202.81     6.10     5.10
NAIN       031029 300  044000-044500   00     192.68 1012.5    202.73     6.10     5.09
NAIN       031029 300  044500-045000   00     190.50 1012.6    200.61     5.00     3.99
NAIN       031029 300  045000-045500   00     191.30 1012.7    201.63     5.50     4.49
NAIN       031029 300  045500-050000   00     191.44 1012.8    201.95     5.70     4.68
NAIN       031029 300  050000-050500   00     191.62 1012.9    202.31     5.80     4.78
NAIN       031029 300  050500-051000   00     189.58 1013.0    200.29     4.80     3.78
NAIN       031029 300  051000-051500   00     191.50 1013.1    202.46     5.90     4.87
NAIN       031029 300  051500-052000   00     190.38 1013.2    201.41     5.40     4.37
NAIN       031029 300  052000-052500   00     191.64 1013.3    202.88     6.10     5.07
NAIN       031029 300  052500-053000   00     191.78 1013.4    203.17     6.30     5.26
NAIN       031029 300  053000-053500   00     190.44 1013.5    201.89     5.60     4.56
NAIN       031029 300  053500-054000   00     189.66 1013.6    201.20     5.30     4.25
NAIN       031029 300  054000-054500   00     189.52 1013.7    201.19     5.30     4.25
NAIN       031029 300  054500-055000   00     191.58 1013.8    203.52     6.50     5.45
NAIN       031029 300  055000-055500   00     189.48 1013.9    201.43     5.40     4.34
NAIN       031029 300  055500-060000   00     189.38 1013.9    201.46     5.40     4.34
NAIN       031029 300  060000-060500   00     190.72 1014.0    203.03     6.20     5.14
NAIN       031029 300  060500-061000   00     188.56 1014.2    200.90     5.10     4.03
NAIN       031029 300  061000-061500   00     189.50 1014.3    202.07     5.70     4.63
NAIN       031029 300  061500-062000   00     187.62 1014.4    200.22     4.80     3.73
NAIN       031029 300  062000-062500   00     182.52 1014.5    194.94     2.00     0.92
NAIN       031029 300  062500-063000   00     184.48 1014.6    197.19     3.20     2.12
NAIN       031029 300  063000-063500   00     185.16 1014.7    198.08     3.60     2.52
NAIN       031029 300  063500-064000   00     184.94 1014.8    198.00     3.60     2.51
NAIN       031029 300  064000-064500   00     182.20 1014.9    195.23     2.10     1.01
NAIN       031029 300  064500-065000   00     180.18 1015.0    193.22     1.10     0.01
NAIN       031029 300  065000-065500   00     183.24 1015.1    196.66     2.90     1.80
NAIN       031029 300  065500-070000   00     182.32 1015.2    195.84     2.50     1.40
NAIN       031029 300  070000-070500   00     185.12 1015.3    198.98     4.10     2.99
NAIN       031029 300  070500-071000   00     183.48 1015.4    197.31     3.20     2.09
NAIN       031029 300  071000-071500   00     178.94 1015.5    192.53     0.70    -0.41
NAIN       031029 300  071500-072000   00     180.64 1015.5    194.46     1.70     0.58
NAIN       031029 300  072000-072500   00     181.80 1015.6    195.80     2.40     1.28
NAIN       031029 300  072500-073000   00     180.18 1015.7    194.16     1.60     0.48
NAIN       031029 300  073000-073500   00     180.78 1015.7    194.90     2.00     0.87
NAIN       031029 300  073500-074000   00     180.42 1015.8    194.61     1.80     0.67
NAIN       031029 300  074000-074500   00     182.40 1015.9    196.84     3.00     1.87
NAIN       031029 300  074500-075000   00     179.42 1015.9    193.72     1.40     0.26
NAIN       031029 300  075000-075500   00     180.02 1016.0    194.47     1.70     0.56
NAIN       031029 300  075500-080000   00     176.72 1016.1    191.00    -0.10    -1.24
NAIN       031029 300  080000-080500   00     177.66 1016.1    192.09     0.50    -0.65
NAIN       031029 300  080500-081000   00     178.60 1016.1    193.16     1.10    -9999
NAIN       031029 300  081000-081500   00     177.20 1016.2    191.69     0.30    -9999
NAIN       031029 300  081500-082000   00     176.74 1016.2    191.24     0.10    -9999
NAIN       031029 300  082000-082500   00     178.04 1016.2    192.69     0.80    -9999
NAIN       031029 300  082500-083000   00     177.70 1016.3    192.37     0.60    -9999
NAIN       031029 300  083000-083500   00     177.08 1016.3    191.75     0.30    -9999
NAIN       031029 300  083500-084000   00     176.32 1016.3    190.98    -0.10    -9999
NAIN       031029 300  084000-084500   00     175.52 1016.4    190.16    -0.50    -9999
