SOPO-6NM64 LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOPO-6NM64 INSTRUMENT   6NM64b    NEUTRON MONITOR	
SOPO-6NM64 STANDARD PRESSURE    687.7   MB     COEFFICIENT   -0.75     % / MB
SOPO-6NM64 PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
SOPO-6NM64 PRE-INCREASE AVERAGE COUNTING RATE    160.16      COUNTS PER SECOND
SOPO-6NM64 TIME INTERVALS    300         3600     
SOPO-6NM64 SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SOPO-6NM64 211028 300  230500-231000   00     158.87  682.8    162.26     1.31     1.74
SOPO-6NM64 211028 300  231000-231500   00     158.83  682.8    162.21     1.28     1.72
SOPO-6NM64 211028 300  231500-232000   00     158.10  682.7    161.36     0.75     1.19
SOPO-6NM64 211028 300  232000-232500   00     158.39  682.7    161.62     0.91     1.35
SOPO-6NM64 211028 300  232500-233000   00     159.05  682.7    162.28     1.32     1.77
SOPO-6NM64 211028 300  233000-233500   00     158.46  682.7    161.69     0.95     1.40
SOPO-6NM64 211028 300  233500-234000   00     157.72  682.7    160.95     0.49     0.95
SOPO-6NM64 211028 300  234000-234500   00     158.49  682.7    161.73     0.98     1.44
SOPO-6NM64 211028 300  234500-235000   00     157.70  682.7    160.93     0.48     0.94
SOPO-6NM64 211028 300  235000-235500   00     157.28  682.7    160.52     0.22     0.69
SOPO-6NM64 211028 300  235500-240000   00     156.53  682.7    159.80    -0.23     0.24
SOPO-6NM64 211029 3600 000000-010000   00     157.12  682.8    160.52     0.23     0.73
SOPO-6NM64 211029 3600 010000-020000   00     156.20  682.8    159.54    -0.39     0.16
SOPO-6NM64 211029 3600 020000-030000   00     155.70  682.8    158.98    -0.74    -0.15
SOPO-6NM64 211029 3600 030000-040000   00     156.15  682.5    159.10    -0.66    -9999
SOPO-6NM64 211029 3600 040000-050000   00     156.21  682.5    159.19    -0.61    -9999
SOPO-6NM64 211029 3600 050000-060000   00     155.78  682.6    158.86    -0.81    -9999
SOPO-6NM64 211029 3600 060000-070000   00     155.85  682.5    158.80    -0.85    -9999
SOPO-6NM64 211029 3600 070000-080000   00     155.48  682.5    158.51    -1.03    -9999
SOPO-6NM64 211029 3600 080000-090000   00     155.49  682.5    158.49    -1.04    -9999
SOPO-6NM64 211029 3600 090000-100000   00     155.43  682.5    158.41    -1.09    -9999
SOPO-6NM64 211029 3600 100000-110000   00     156.04  682.5    159.04    -0.70    -9999
SOPO-6NM64 211029 3600 110000-120000   00     156.09  682.2    158.76    -0.88    -9999
SOPO-6NM64 211029 3600 120000-130000   00     156.97  682.2    159.58    -0.36    -9999
SOPO-6NM64 211029 3600 130000-140000   00     156.65  682.1    159.11    -0.66    -9999
SOPO-6NM64 211029 3600 140000-150000   00     157.10  682.0    159.54    -0.39    -9999
SOPO-6NM64 211029 3600 150000-160000   00     157.33  682.1    159.89    -0.17    -9999
SOPO-6NM64 211029 3600 160000-170000   00     158.22  681.8    160.38     0.14    -9999
SOPO-6NM64 211029 3600 170000-180000   00     157.91  681.9    160.22     0.04    -9999
SOPO-6NM64 211029 3600 180000-190000   00     157.94  682.1    160.52     0.22    -9999
SOPO-6NM64 211029 3600 190000-200000   00     158.00  682.3    160.72     0.35    -9999
SOPO-6NM64 211029 3600 200000-210000   00     158.14  682.2    160.76     0.38    -9999
SOPO-6NM64 211029 3600 210000-220000   00     157.92  682.0    160.35     0.12    -9999
SOPO-6NM64 211029 3600 220000-230000   00     158.39  681.7    160.50     0.21    -9999
SOPO-6NM64 211029 3600 230000-240000   00     158.66  681.5    160.54     0.24    -9999
*
COMMENT  FILE COMPOSED BY ILYA USOSKIN OF THE UNIVERSITY OF OULU
COMMENT  DATA OBTAINED FROM NMDB (15.05.2022)
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-03-30 17:39:06 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE73/C073SOPB_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
