KERGUELEN  LATITUDE    -49.35    LONGITUDE     70.25     ALTITUDE    33 M
KERGUELEN  INSTRUMENT   18-NM-64  NEUTRON MONITOR	
KERGUELEN  STANDARD PRESSURE    750     MMHG   COEFFICIENT   -1.01     % / MMHG
KERGUELEN  PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
KERGUELEN  PRE-INCREASE AVERAGE COUNTING RATE    187.63      COUNTS PER SECOND
KERGUELEN  TIME INTERVALS    300         3600     
KERGUELEN  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
KERGUELEN  031027 300  214500-215000   10     212.40  740.3    192.27     2.50    -9999
KERGUELEN  031027 300  215000-215500   10     212.27  740.4    192.53     2.60    -9999
KERGUELEN  031027 300  215500-220000   10     209.60  740.0    189.20     0.80    -9999
KERGUELEN  031027 300  220000-220500   10     210.27  740.0    189.87     1.20    -9999
KERGUELEN  031027 300  220500-221000   10     211.07  739.8    190.13     1.30    -9999
KERGUELEN  031027 300  221000-221500   10     212.93  739.6    191.60     2.10    -9999
KERGUELEN  031027 300  221500-222000   10     214.13  739.6    192.53     2.60    -9999
KERGUELEN  031027 300  222000-222500   10     215.07  739.5    193.20     3.00    -9999
KERGUELEN  031027 300  222500-223000   10     211.60  739.5    190.00     1.30    -9999
KERGUELEN  031027 300  223000-223500   10     213.07  739.4    191.33     2.00    -9999
KERGUELEN  031027 300  223500-224000   10     214.13  739.4    192.27     2.50    -9999
KERGUELEN  031027 300  224000-224500   10     213.47  739.2    191.33     2.00    -9999
KERGUELEN  031027 300  224500-225000   10     213.20  739.0    190.53     1.50    -9999
KERGUELEN  031027 300  225000-225500   10     214.80  739.2    192.40     2.50    -9999
KERGUELEN  031027 300  225500-230000   10     216.93  738.9    193.60     3.20    -9999
KERGUELEN  031027 300  230000-230500   10     218.40  738.8    194.93     3.90    -9999
KERGUELEN  031027 300  230500-231000   10     216.40  738.9    193.20     3.00    -9999
KERGUELEN  031027 300  231000-231500   10     217.20  738.8    193.73     3.30    -9999
KERGUELEN  031027 300  231500-232000   10     215.60  738.6    191.87     2.30    -9999
KERGUELEN  031027 300  232000-232500   10     217.47  738.6    193.73     3.30    -9999
KERGUELEN  031027 300  232500-233000   10     216.80  738.5    192.80     2.80    -9999
KERGUELEN  031027 300  233000-233500   10     215.33  738.2    191.07     1.80    -9999
KERGUELEN  031027 300  233500-234000   10     216.40  738.4    192.27     2.50    -9999
KERGUELEN  031027 300  234000-234500   10     217.73  738.1    192.93     2.80    -9999
KERGUELEN  031027 300  234500-235000   10     215.07  738.1    190.40     1.50    -9999
KERGUELEN  031027 300  235000-235500   10     218.53  738.1    193.73     3.30    -9999
KERGUELEN  031027 300  235500-240000   10     215.07  738.3    190.93     1.80    -9999
KERGUELEN  031028 300  000000-000500   10     214.27  738.4    190.40     1.50    -9999
KERGUELEN  031028 300  000500-001000   10     214.53  737.9    189.73     1.10    -9999
