IRKUTSK2   LATITUDE    52.28     LONGITUDE     104.02    ALTITUDE    2000 M
IRKUTSK2   INSTRUMENT   12NM64    NEUTRON MONITOR     
IRKUTSK2   STANDARD PRESSURE    802.3   mb     COEFFICIENT   -0.713    % / mb
IRKUTSK2   PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
IRKUTSK2   PRE-INCREASE AVERAGE COUNTING RATE    177.36      COUNTS PER SECOND
IRKUTSK2   TIME INTERVALS    300         3600     
IRKUTSK2   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
IRKUTSK2   031028 300  235500-240000   00     181.75  801.2    180.33     1.40    -9999
IRKUTSK2   031029 300  000000-000500   00     182.41  801.2    180.98     1.80    -9999
IRKUTSK2   031029 300  000500-001000   00     182.43  801.2    180.98     1.80    -9999
IRKUTSK2   031029 300  001000-001500   00     180.36  801.2    178.90     0.60    -9999
IRKUTSK2   031029 300  001500-002000   00     182.60  801.1    181.09     1.80    -9999
IRKUTSK2   031029 300  002000-002500   00     182.13  801.1    180.61     1.60    -9999
IRKUTSK2   031029 300  002500-003000   00     183.36  801.1    181.82     2.20    -9999
IRKUTSK2   031029 300  003000-003500   00     184.15  801.1    182.57     2.70    -9999
IRKUTSK2   031029 300  003500-004000   00     182.71  801.1    181.12     1.80    -9999
IRKUTSK2   031029 300  004000-004500   00     182.06  801.1    180.46     1.50    -9999
IRKUTSK2   031029 300  004500-005000   00     181.96  801.0    180.33     1.40    -9999
IRKUTSK2   031029 300  005000-005500   00     181.73  801.0    180.08     1.30    -9999
IRKUTSK2   031029 300  005500-010000   00     182.06  801.0    180.39     1.40    -9999
IRKUTSK2   031029 300  010000-010500   00     183.90  801.0    182.20     2.40    -9999
IRKUTSK2   031029 300  010500-011000   00     184.15  801.0    182.44     2.60    -9999
IRKUTSK2   031029 300  011000-011500   00     183.85  801.0    182.13     2.40    -9999
IRKUTSK2   031029 300  011500-012000   00     182.84  801.0    181.12     1.80    -9999
IRKUTSK2   031029 300  012000-012500   00     183.21  801.0    181.47     2.00    -9999
IRKUTSK2   031029 300  012500-013000   00     182.12  801.0    180.38     1.40    -9999
IRKUTSK2   031029 300  013000-013500   00     182.86  800.9    181.11     1.80    -9999
IRKUTSK2   031029 300  013500-014000   00     183.65  800.9    181.87     2.30    -9999
IRKUTSK2   031029 300  014000-014500   00     181.92  800.9    180.15     1.30    -9999
IRKUTSK2   031029 300  014500-015000   00     182.74  800.9    180.95     1.70    -9999
IRKUTSK2   031029 300  015000-015500   00     183.63  800.9    181.82     2.20    -9999
IRKUTSK2   031029 300  015500-020000   00     183.24  800.9    181.43     2.00    -9999
IRKUTSK2   031029 300  020000-020500   00     183.06  800.9    181.25     1.90    -9999
IRKUTSK2   031029 300  020500-021000   00     183.15  800.9    181.37     2.00    -9999
IRKUTSK2   031029 300  021000-021500   00     183.84  800.9    182.07     2.40    -9999
IRKUTSK2   031029 300  021500-022000   00     181.43  801.0    179.70     1.00    -9999
IRKUTSK2   031029 300  022000-022500   00     182.43  801.0    180.71     1.60    -9999
IRKUTSK2   031029 300  022500-023000   00     184.70  801.0    182.99     2.90    -9999
IRKUTSK2   031029 300  023000-023500   00     182.62  801.0    180.94     1.70    -9999
IRKUTSK2   031029 300  023500-024000   00     182.39  801.0    180.74     1.60    -9999
IRKUTSK2   031029 300  024000-024500   00     183.80  801.0    182.16     2.40    -9999
IRKUTSK2   031029 300  024500-025000   00     182.67  801.1    181.06     1.80    -9999
IRKUTSK2   031029 300  025000-025500   00     183.66  801.1    182.06     2.40    -9999
IRKUTSK2   031029 300  025500-030000   00     183.10  801.1    181.53     2.10    -9999
IRKUTSK2   031029 300  030000-030500   00     183.01  801.1    181.44     2.00    -9999
IRKUTSK2   031029 300  030500-031000   00     182.02  801.1    180.44     1.50    -9999
IRKUTSK2   031029 300  031000-031500   00     181.72  801.1    180.12     1.30    -9999
IRKUTSK2   031029 300  031500-032000   00     183.07  801.0    181.44     2.00    -9999
IRKUTSK2   031029 300  032000-032500   00     183.44  801.0    181.79     2.20    -9999
IRKUTSK2   031029 300  032500-033000   00     184.01  801.0    182.33     2.50    -9999
IRKUTSK2   031029 300  033000-033500   00     181.40  801.0    179.72     1.10    -9999
IRKUTSK2   031029 300  033500-034000   00     182.08  801.0    180.37     1.40    -9999
IRKUTSK2   031029 300  034000-034500   00     182.45  801.0    180.72     1.60    -9999
IRKUTSK2   031029 300  034500-035000   00     182.46  800.9    180.71     1.60    -9999
IRKUTSK2   031029 300  035000-035500   00     182.44  800.9    180.66     1.60    -9999
IRKUTSK2   031029 300  035500-040000   00     182.60  800.9    180.80     1.70    -9999
IRKUTSK2   031029 300  040000-040500   00     182.54  800.9    180.72     1.60    -9999
IRKUTSK2   031029 300  040500-041000   00     182.87  800.9    181.04     1.80    -9999
IRKUTSK2   031029 300  041000-041500   00     183.23  800.9    181.38     2.00    -9999
IRKUTSK2   031029 300  041500-042000   00     184.08  800.9    182.22     2.50    -9999
IRKUTSK2   031029 300  042000-042500   00     183.02  800.9    181.16     1.90    -9999
IRKUTSK2   031029 300  042500-043000   00     184.01  800.9    182.12     2.40    -9999
IRKUTSK2   031029 300  043000-043500   00     183.81  800.8    181.91     2.30    -9999
IRKUTSK2   031029 300  043500-044000   00     182.58  800.8    180.69     1.60    -9999
IRKUTSK2   031029 300  044000-044500   00     184.41  800.8    182.48     2.60    -9999
IRKUTSK2   031029 300  044500-045000   00     184.06  800.8    182.13     2.40    -9999
IRKUTSK2   031029 300  045000-045500   00     184.21  800.8    182.27     2.50    -9999
IRKUTSK2   031029 300  045500-050000   00     183.60  800.8    181.65     2.10    -9999
IRKUTSK2   031029 300  050000-050500   00     183.08  800.8    181.12     1.80    -9999
IRKUTSK2   031029 300  050500-051000   00     182.97  800.8    180.99     1.80    -9999
IRKUTSK2   031029 300  051000-051500   00     184.77  800.8    182.76     2.80    -9999
IRKUTSK2   031029 300  051500-052000   00     184.42  800.7    182.39     2.60    -9999
IRKUTSK2   031029 300  052000-052500   00     184.39  800.7    182.33     2.50    -9999
IRKUTSK2   031029 300  052500-053000   00     184.04  800.7    181.96     2.30    -9999
IRKUTSK2   031029 300  053000-053500   00     184.26  800.7    182.16     2.40    -9999
IRKUTSK2   031029 300  053500-054000   00     183.44  800.7    181.33     2.00    -9999
