SANAE      LATITUDE    -71.67    LONGITUDE     -2.85     ALTITUDE    856 M
SANAE      INSTRUMENT   6NM64    NEUTRON MONITOR	
SANAE      STANDARD PRESSURE    892     mb     COEFFICIENT   -0.73     % / mb
SANAE      PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
SANAE      PRE-INCREASE AVERAGE COUNTING RATE    116.44      COUNTS PER SECOND
SANAE      TIME INTERVALS    300         3600     
SANAE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
SANAE      031029 300  051000-051500   00     127.92  889.7    125.83     8.10     6.87
SANAE      031029 300  051500-052000   00     125.91  889.8    123.86     6.40     5.16
SANAE      031029 300  052000-052500   00     126.58  889.8    124.54     6.90     5.66
SANAE      031029 300  052500-053000   00     125.74  889.8    123.73     6.20     4.95
SANAE      031029 300  053000-053500   00     126.79  889.8    124.77     7.10     5.85
SANAE      031029 300  053500-054000   00     126.06  889.8    124.08     6.60     5.34
SANAE      031029 300  054000-054500   00     127.87  889.8    125.87     8.10     6.83
SANAE      031029 300  054500-055000   00     127.68  889.9    125.69     7.90     6.63
SANAE      031029 300  055000-055500   00     128.30  889.9    126.32     8.50     7.22
SANAE      031029 300  055500-060000   00     127.00  889.9    125.06     7.40     6.12
SANAE      031029 300  060000-060500   00     127.28  889.9    125.36     7.70     6.41
SANAE      031029 300  060500-061000   00     125.32  889.9    123.46     6.00     4.71
SANAE      031029 300  061000-061500   00     127.01  890.0    125.15     7.50     6.20
SANAE      031029 300  061500-062000   00     120.36  890.0    118.63     1.90     0.59
SANAE      031029 300  062000-062500   00     118.26  890.0    116.59     0.10    -1.21
SANAE      031029 300  062500-063000   00     120.02  890.1    118.35     1.60     0.28
SANAE      031029 300  063000-063500   00     120.40  890.1    118.75     2.00     0.68
SANAE      031029 300  063500-064000   00     119.81  890.1    118.20     1.50     0.17
SANAE      031029 300  064000-064500   00     117.42  890.2    115.87    -0.50    -1.83
SANAE      031029 300  064500-065000   00     120.61  890.2    119.05     2.20     0.86
SANAE      031029 300  065000-065500   00     119.48  890.2    117.96     1.30    -0.05
SANAE      031029 300  065500-070000   00     120.95  890.3    119.43     2.60     1.25
SANAE      031029 300  070000-070500   00     119.00  890.3    117.53     0.90    -0.46
SANAE      031029 300  070500-071000   00     119.89  890.3    118.39     1.60     0.24
SANAE      031029 300  071000-071500   00     121.24  890.3    119.71     2.80     1.43
SANAE      031029 300  071500-072000   00     119.83  890.2    118.31     1.60     0.23
SANAE      031029 300  072000-072500   00     120.30  890.2    118.76     2.00     0.62
SANAE      031029 300  072500-073000   00     117.94  890.2    116.41     0.00    -1.39
SANAE      031029 300  073000-073500   00     119.41  890.2    117.84     1.20    -0.19
SANAE      031029 300  073500-074000   00     121.14  890.2    119.54     2.70     1.30
SANAE      031029 300  074000-074500   00     118.47  890.2    116.89     0.40    -1.00
SANAE      031029 300  074500-075000   00     119.37  890.1    117.76     1.10    -0.31
SANAE      031029 300  075000-075500   00     120.14  890.1    118.50     1.80     0.39
SANAE      031029 300  075500-080000   00     121.81  890.1    120.14     3.20     1.78
SANAE      031029 300  080000-080500   00     120.03  890.1    118.38     1.70     0.27
SANAE      031029 300  080500-081000   00     118.25  890.1    116.62     0.20    -9999
SANAE      031029 300  081000-081500   00     120.03  890.1    118.38     1.70    -9999
SANAE      031029 300  081500-082000   00     120.34  890.1    118.69     1.90    -9999
SANAE      031029 300  082000-082500   00     121.72  890.1    120.05     3.10    -9999
SANAE      031029 300  082500-083000   00     119.76  890.1    118.11     1.40    -9999
SANAE      031029 300  083000-083500   00     119.06  890.1    117.42     0.80    -9999
SANAE      031029 300  083500-084000   00     119.82  890.1    118.17     1.50    -9999
SANAE      031029 300  084000-084500   00     118.78  890.1    117.15     0.60    -9999
SANAE      031029 300  084500-085000   00     119.14  890.1    117.50     0.90    -9999
SANAE      031029 300  085000-085500   00     119.37  890.1    117.73     1.10    -9999
SANAE      031029 300  085500-090000   00     118.14  890.1    116.52     0.10    -9999
SANAE      031029 300  090000-090500   00     117.79  890.1    116.17    -0.20    -9999
SANAE      031029 300  090500-091000   00     116.93  890.1    115.30    -1.00    -9999
SANAE      031029 300  091000-091500   00     118.13  890.1    116.47     0.00    -9999
SANAE      031029 300  091500-092000   00     119.82  890.0    118.12     1.40    -9999
SANAE      031029 300  092000-092500   00     118.41  890.0    116.72     0.20    -9999
SANAE      031029 300  092500-093000   00     119.05  890.0    117.33     0.80    -9999
SANAE      031029 300  093000-093500   00     120.20  890.0    118.45     1.70    -9999
SANAE      031029 300  093500-094000   00     117.68  890.0    115.95    -0.40    -9999
SANAE      031029 300  094000-094500   00     116.80  890.0    115.07    -1.20    -9999
SANAE      031029 300  094500-095000   00     118.38  889.9    116.62     0.20    -9999
SANAE      031029 300  095000-095500   00     121.63  889.9    119.81     2.90    -9999
SANAE      031029 300  095500-100000   00     119.80  889.9    117.98     1.30    -9999
SANAE      031029 300  100000-100500   00     118.98  889.9    117.17     0.60    -9999
SANAE      031029 300  100500-101000   00     117.56  889.9    115.76    -0.60    -9999
