NEWARK     LATITUDE    39.7      LONGITUDE     284.3     ALTITUDE    50 M
NEWARK     INSTRUMENT   9-NM-64  NEUTRON MONITOR                           	
NEWARK     STANDARD PRESSURE    760     MMHG   COEFFICIENT   -0.98     % / MMHG
NEWARK     PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
NEWARK     PRE-INCREASE AVERAGE COUNTING RATE     83.60      COUNTS PER SECOND
NEWARK     TIME INTERVALS    300         3600     
NEWARK     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
NEWARK     000714 300  235000-235500   00      85.98  754.3     81.34    -2.70    -9999
NEWARK     000714 300  235500-240000   00      85.02  754.3     80.43    -3.80    -9999
NEWARK     000715 3600 000000-010000   00      86.44  752.8     80.53    -3.70    -9999
NEWARK     000715 3600 010000-020000   00      86.47  752.2     80.08    -4.20    -9999
NEWARK     000715 3600 020000-030000   00      87.08  752.0     80.50    -3.70    -9999
NEWARK     000715 3600 030000-040000   00      87.19  751.9     80.53    -3.70    -9999
NEWARK     000715 3600 040000-050000   00      87.33  751.6     80.39    -3.80    -9999
NEWARK     000715 3600 050000-060000   00      88.22  751.1     80.81    -3.30    -9999
NEWARK     000715 3600 060000-070000   00      88.92  751.0     81.36    -2.70    -9999
NEWARK     000715 3600 070000-080000   00      89.33  750.2     81.11    -3.00    -9999
NEWARK     000715 3600 080000-090000   00      90.36  749.6     81.58    -2.40    -9999
NEWARK     000715 3600 090000-100000   00      90.64  750.0     82.14    -1.70    -9999
NEWARK     000715 3600 100000-110000   00      90.69  750.0     82.19    -1.70    -9999
NEWARK     000715 3600 110000-120000   00      89.92  750.6     81.97    -1.90    -9999
NEWARK     000715 3600 120000-130000   00      89.50  750.4     81.42    -2.60    -9999
NEWARK     000715 3600 130000-140000   00      89.83  750.3     81.67    -2.30    -9999
NEWARK     000715 3600 140000-150000   00      89.86  750.2     81.61    -2.40    -9999
NEWARK     000715 3600 150000-160000   00      88.58  750.2     80.44    -3.80    -9999
NEWARK     000715 3600 160000-170000   00      88.11  750.4     80.17    -4.10    -9999
NEWARK     000715 3600 170000-180000   00      87.50  750.2     79.44    -5.00    -9999
NEWARK     000715 3600 180000-190000   00      87.31  750.0     79.14    -5.30    -9999
NEWARK     000715 3600 190000-200000   00      86.58  749.6     78.17    -6.50    -9999
NEWARK     000715 3600 200000-210000   00      85.11  749.6     76.83    -8.10    -9999
NEWARK     000715 3600 210000-220000   00      83.56  749.7     75.50    -9.70    -9999
NEWARK     000715 3600 220000-230000   00      83.00  749.9     75.14   -10.10    -9999
NEWARK     000715 3600 230000-240000   00      80.53  750.1     73.06   -12.60    -9999
*
* 	
COMMENT    PRELIMINARY DATA ... ROGER PYLE, BARTOL RESEARCH INSTITUTE, 	
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2022-05-13 14:50:50 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE59/C059NWRK_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
