LOMNICKY   LATITUDE    49.2      LONGITUDE     20.22     ALTITUDE    2634 M
LOMNICKY   INSTRUMENT   8-NM-64  NEUTRON MONITOR	
LOMNICKY   STANDARD PRESSURE    550     MMHG   COEFFICIENT   -0.95     % / MMHG
LOMNICKY   PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
LOMNICKY   PRE-INCREASE AVERAGE COUNTING RATE    442.69      COUNTS PER SECOND
LOMNICKY   TIME INTERVALS    300         3600     
LOMNICKY   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
LOMNICKY   061213 300  173500-174000   00     418.12  554.9    438.09    -1.00    -9999
LOMNICKY   061213 300  174000-174500   00     424.31  554.9    444.57     0.40    -9999
LOMNICKY   061213 300  174500-175000   00     420.91  554.9    441.01    -0.40    -9999
LOMNICKY   061213 300  175000-175500   00     420.77  554.9    440.86    -0.40    -9999
LOMNICKY   061213 300  175500-180000   00     424.89  554.9    445.18     0.60    -9999
LOMNICKY   061213 300  180000-180500   00     421.25  554.9    441.37    -0.30    -9999
LOMNICKY   061213 300  180500-181000   00     421.87  554.9    442.02    -0.20    -9999
LOMNICKY   061213 300  181000-181500   00     418.26  554.9    438.24    -1.00    -9999
LOMNICKY   061213 300  181500-182000   00     418.13  554.9    438.09    -1.00    -9999
LOMNICKY   061213 300  182000-182500   00     418.50  554.8    438.06    -1.00    -9999
LOMNICKY   061213 300  182500-183000   00     417.79  554.7    436.91    -1.30    -9999
LOMNICKY   061213 300  183000-183500   00     418.41  554.8    437.98    -1.10    -9999
LOMNICKY   061213 300  183500-184000   00     421.07  554.7    440.34    -0.50    -9999
LOMNICKY   061213 300  184000-184500   00     419.72  554.8    439.34    -0.80    -9999
LOMNICKY   061213 300  184500-185000   00     418.02  554.8    437.57    -1.20    -9999
LOMNICKY   061213 300  185000-185500   00     421.32  554.7    440.60    -0.50    -9999
LOMNICKY   061213 300  185500-190000   00     418.28  554.7    437.42    -1.20    -9999
LOMNICKY   061213 300  190000-190500   00     417.38  554.7    436.48    -1.40    -9999
LOMNICKY   061213 300  190500-191000   00     422.08  554.5    440.55    -0.50    -9999
LOMNICKY   061213 300  191000-191500   00     416.26  554.6    434.89    -1.80    -9999
LOMNICKY   061213 300  191500-192000   00     417.19  554.5    435.45    -1.60    -9999
LOMNICKY   061213 300  192000-192500   00     418.29  554.4    436.18    -1.50    -9999
LOMNICKY   061213 300  192500-193000   00     418.53  554.5    436.85    -1.30    -9999
LOMNICKY   061213 300  193000-193500   00     420.20  554.6    439.01    -0.80    -9999
LOMNICKY   061213 300  193500-194000   00     418.01  554.6    436.73    -1.30    -9999
LOMNICKY   061213 300  194000-194500   00     420.13  554.6    438.93    -0.80    -9999
LOMNICKY   061213 300  194500-195000   00     414.82  554.5    432.97    -2.20    -9999
LOMNICKY   061213 300  195000-195500   00     419.57  554.4    437.51    -1.20    -9999
LOMNICKY   061213 300  195500-200000   00     416.19  554.4    433.99    -2.00    -9999
LOMNICKY   061213 300  200000-200500   00     420.59  554.4    438.59    -0.90    -9999
LOMNICKY   061213 300  200500-201000   00     418.24  554.4    436.13    -1.50    -9999
LOMNICKY   061213 300  201000-201500   00     418.24  554.4    436.13    -1.50    -9999
LOMNICKY   061213 300  201500-202000   00     419.48  554.5    437.84    -1.10    -9999
LOMNICKY   061213 300  202000-202500   00     418.87  554.7    438.03    -1.10    -9999
LOMNICKY   061213 300  202500-203000   00     418.24  554.7    437.38    -1.20    -9999
LOMNICKY   061213 300  203000-203500   00     419.25  554.8    438.86    -0.90    -9999
LOMNICKY   061213 300  203500-204000   00     416.35  554.8    435.81    -1.60    -9999
LOMNICKY   061213 300  204000-204500   00     420.35  555.0    440.85    -0.40    -9999
LOMNICKY   061213 300  204500-205000   00     416.50  555.0    436.80    -1.30    -9999
LOMNICKY   061213 300  205000-205500   00     414.78  555.1    435.42    -1.60    -9999
LOMNICKY   061213 300  205500-210000   00     418.93  555.1    439.77    -0.70    -9999
LOMNICKY   061213 300  210000-210500   00     416.77  555.1    437.50    -1.20    -9999
LOMNICKY   061213 300  210500-211000   00     416.73  555.2    437.88    -1.10    -9999
LOMNICKY   061213 300  211000-211500   00     418.07  555.2    439.28    -0.80    -9999
LOMNICKY   061213 300  211500-212000   00     415.49  555.1    436.16    -1.50    -9999
LOMNICKY   061213 300  212000-212500   00     417.79  555.2    438.99    -0.80    -9999
LOMNICKY   061213 300  212500-213000   00     419.04  555.2    440.30    -0.50    -9999
LOMNICKY   061213 300  213000-213500   00     412.93  555.1    433.48    -2.10    -9999
LOMNICKY   061213 300  213500-214000   00     419.03  555.2    440.29    -0.50    -9999
LOMNICKY   061213 300  214000-214500   00     416.31  555.2    437.44    -1.20    -9999
LOMNICKY   061213 300  214500-215000   00     415.46  555.1    436.13    -1.50    -9999
LOMNICKY   061213 300  215000-215500   00     416.78  555.0    437.10    -1.30    -9999
LOMNICKY   061213 300  215500-220000   00     417.62  555.0    437.98    -1.10    -9999
LOMNICKY   061213 300  220000-220500   00     414.55  555.0    434.76    -1.80    -9999
LOMNICKY   061213 300  220500-221000   00     416.05  555.0    436.33    -1.40    -9999
LOMNICKY   061213 300  221000-221500   00     414.88  555.1    435.52    -1.60    -9999
LOMNICKY   061213 300  221500-222000   00     416.93  555.1    437.68    -1.10    -9999
LOMNICKY   061213 300  222000-222500   00     415.52  555.3    437.02    -1.30    -9999
LOMNICKY   061213 300  222500-223000   00     417.12  555.4    439.12    -0.80    -9999
LOMNICKY   061213 300  223000-223500   00     414.94  555.4    436.83    -1.30    -9999
