KERGUELEN  LATITUDE    -49.35    LONGITUDE     70.25     ALTITUDE    33 M
KERGUELEN  INSTRUMENT   18-NM-64  NEUTRON MONITOR	
KERGUELEN  STANDARD PRESSURE    750     MMHG   COEFFICIENT   -1.01     % / MMHG
KERGUELEN  PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
KERGUELEN  PRE-INCREASE AVERAGE COUNTING RATE    188.09      COUNTS PER SECOND
KERGUELEN  TIME INTERVALS    300      
KERGUELEN  SCALE FACTORS     1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
KERGUELEN  010414 300  140000-140500   10     175.20  756.0    185.87    -1.20    -9999
KERGUELEN  010414 300  140500-141000   10     177.33  756.0    188.13     0.00    -9999
KERGUELEN  010414 300  141000-141500   10     173.60  756.0    184.27    -2.00    -9999
KERGUELEN  010414 300  141500-142000   10     176.27  756.1    187.33    -0.40    -9999
KERGUELEN  010414 300  142000-142500   10     176.27  756.1    187.20    -0.50    -9999
KERGUELEN  010414 300  142500-143000   10     174.93  756.2    186.00    -1.10    -9999
KERGUELEN  010414 300  143000-143500   10     175.33  756.1    186.27    -1.00    -9999
KERGUELEN  010414 300  143500-144000   10     176.93  756.0    187.73    -0.20    -9999
KERGUELEN  010414 300  144000-144500   10     175.87  755.9    186.40    -0.90    -9999
KERGUELEN  010414 300  144500-145000   10     175.60  755.9    186.13    -1.00    -9999
KERGUELEN  010414 300  145000-145500   10     178.40  755.9    189.20     0.60    -9999
KERGUELEN  010414 300  145500-150000   10     177.20  755.9    188.00     0.00    -9999
KERGUELEN  010414 300  150000-150500   10     175.20  755.9    185.73    -1.30    -9999
KERGUELEN  010414 300  150500-151000   10     176.00  755.9    186.67    -0.80    -9999
KERGUELEN  010414 300  151000-151500   10     176.80  755.8    187.20    -0.50    -9999
KERGUELEN  010414 300  151500-152000   10     178.67  755.8    189.20     0.60    -9999
KERGUELEN  010414 300  152000-152500   10     178.13  755.8    188.53     0.20    -9999
KERGUELEN  010414 300  152500-153000   10     177.20  755.7    187.47    -0.30    -9999
KERGUELEN  010414 300  153000-153500   10     179.07  755.5    189.07     0.50    -9999
KERGUELEN  010414 300  153500-154000   10     179.07  755.3    188.53     0.20    -9999
KERGUELEN  010414 300  154000-154500   10     180.27  755.3    189.87     0.90    -9999
KERGUELEN  010414 300  154500-155000   10     178.00  755.2    187.33    -0.40    -9999
KERGUELEN  010414 300  155000-155500   10     177.33  755.4    187.07    -0.50    -9999
KERGUELEN  010414 300  155500-160000   10     178.53  755.7    188.93     0.40    -9999
KERGUELEN  010414 300  160000-160500   10     176.67  755.8    187.20    -0.50    -9999
KERGUELEN  010414 300  160500-161000   10     177.60  755.8    188.00     0.00    -9999
KERGUELEN  010414 300  161000-161500   10     176.40  755.8    186.93    -0.60    -9999
KERGUELEN  010414 300  161500-162000   10     176.93  755.8    187.33    -0.40    -9999
KERGUELEN  010414 300  162000-162500   10     178.93  755.7    189.20     0.60    -9999
KERGUELEN  010414 300  162500-163000   10     176.27  755.8    186.67    -0.80    -9999
KERGUELEN  010414 300  163000-163500   10     177.20  755.8    187.60    -0.30    -9999
KERGUELEN  010414 300  163500-164000   10     174.40  755.8    184.80    -1.70    -9999
KERGUELEN  010414 300  164000-164500   10     173.60  755.8    184.00    -2.20    -9999
KERGUELEN  010414 300  164500-165000   10     177.87  755.7    188.27     0.10    -9999
KERGUELEN  010414 300  165000-165500   10     173.87  755.8    184.13    -2.10    -9999
KERGUELEN  010414 300  165500-170000   10     176.93  755.7    187.20    -0.50    -9999
KERGUELEN  010414 300  170000-170500   10     176.27  755.7    186.53    -0.80    -9999
KERGUELEN  010414 300  170500-171000   10     175.73  755.7    185.87    -1.20    -9999
KERGUELEN  010414 300  171000-171500   10     176.27  755.7    186.53    -0.80    -9999
KERGUELEN  010414 300  171500-172000   10     175.20  755.7    185.33    -1.50    -9999
KERGUELEN  010414 300  172000-172500   10     175.87  755.7    186.13    -1.00    -9999
KERGUELEN  010414 300  172500-173000   10     175.07  755.5    184.93    -1.70    -9999
KERGUELEN  010414 300  173000-173500   10     175.60  755.6    185.60    -1.30    -9999
KERGUELEN  010414 300  173500-174000   10     175.60  755.5    185.47    -1.40    -9999
KERGUELEN  010414 300  174000-174500   10     177.33  755.4    187.07    -0.50    -9999
KERGUELEN  010414 300  174500-175000   10     177.60  755.4    187.20    -0.50    -9999
KERGUELEN  010414 300  175000-175500   10     176.40  755.4    186.00    -1.10    -9999
KERGUELEN  010414 300  175500-180000   10     177.07  755.3    186.67    -0.80    -9999
KERGUELEN  010414 300  180000-180500   10     176.40  755.3    185.87    -1.20    -9999
KERGUELEN  010414 300  180500-181000   10     177.07  755.4    186.67    -0.80    -9999
KERGUELEN  010414 300  181000-181500   10     175.33  755.4    184.93    -1.70    -9999
KERGUELEN  010414 300  181500-182000   10     177.07  755.3    186.53    -0.80    -9999
KERGUELEN  010414 300  182000-182500   10     177.20  755.3    186.80    -0.70    -9999
KERGUELEN  010414 300  182500-183000   10     176.27  755.3    185.87    -1.20    -9999
KERGUELEN  010414 300  183000-183500   10     176.80  755.3    186.40    -0.90    -9999
KERGUELEN  010414 300  183500-184000   10     175.73  755.3    185.20    -1.50    -9999
KERGUELEN  010414 300  184000-184500   10     174.53  755.2    183.73    -2.30    -9999
KERGUELEN  010414 300  184500-185000   10     176.00  755.0    184.80    -1.70    -9999
KERGUELEN  010414 300  185000-185500   10     176.67  754.9    185.47    -1.40    -9999
KERGUELEN  010414 300  185500-190000   10     176.40  754.8    184.93    -1.70    -9999
KERGUELEN  010414 300  190000-190500   10     176.67  754.7    185.07    -1.60    -9999
KERGUELEN  010414 300  190500-191000   10     179.33  754.7    187.73    -0.20    -9999
KERGUELEN  010414 300  191000-191500   10     178.40  754.6    186.80    -0.70    -9999
KERGUELEN  010414 300  191500-192000   10     176.80  754.6    184.93    -1.70    -9999
KERGUELEN  010414 300  192000-192500   10     175.07  754.6    183.07    -2.70    -9999
KERGUELEN  010414 300  192500-193000   10     178.13  754.6    186.40    -0.90    -9999
KERGUELEN  010414 300  193000-193500   10     173.60  754.4    181.33    -3.60    -9999
KERGUELEN  010414 300  193500-194000   10     176.53  754.3    184.13    -2.10    -9999
KERGUELEN  010414 300  194000-194500   10     175.87  754.2    183.20    -2.60    -9999
KERGUELEN  010414 300  194500-195000   10     178.00  754.4    186.00    -1.10    -9999
KERGUELEN  010414 300  195000-195500   10     175.60  754.4    183.20    -2.60    -9999
KERGUELEN  010414 300  195500-200000   10     177.47  754.4    185.47    -1.40    -9999
KERGUELEN  010414 300  200000-200500   10     176.80  754.3    184.40    -2.00    -9999
KERGUELEN  010414 300  200500-201000   10     180.27  754.2    187.87    -0.10    -9999
KERGUELEN  010414 300  201000-201500   10     177.73  754.1    184.93    -1.70    -9999
