TERREADELI LATITUDE    -66.67    LONGITUDE     140.02    ALTITUDE    45 M
TERREADELI INSTRUMENT   9-NM-64  NEUTRON MONITOR	
TERREADELI STANDARD PRESSURE    740     MMHG   COEFFICIENT   -0.99     % / MMHG
TERREADELI PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
TERREADELI PRE-INCREASE AVERAGE COUNTING RATE     96.65      COUNTS PER SECOND
TERREADELI TIME INTERVALS    300      
TERREADELI SCALE FACTORS     1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
TERREADELI 000713 300  155500-160000   00     101.80  735.0     96.80     0.20    -9999
TERREADELI 000713 300  160000-160500   00     100.80  735.2     96.07    -0.60    -9999
TERREADELI 000713 300  160500-161000   00     100.73  734.9     95.73    -1.00    -9999
TERREADELI 000713 300  161000-161500   00      98.73  735.2     94.07    -2.70    -9999
TERREADELI 000713 300  161500-162000   00     100.47  735.0     95.53    -1.20    -9999
TERREADELI 000713 300  162000-162500   00      99.80  734.9     94.80    -1.90    -9999
TERREADELI 000713 300  162500-163000   00      99.80  735.0     94.87    -1.80    -9999
TERREADELI 000713 300  163000-163500   00     100.20  735.2     95.47    -1.20    -9999
TERREADELI 000713 300  163500-164000   00      99.93  735.0     95.00    -1.70    -9999
TERREADELI 000713 300  164000-164500   00      98.53  735.1     93.73    -3.00    -9999
TERREADELI 000713 300  164500-165000   00     100.60  735.0     95.60    -1.10    -9999
TERREADELI 000713 300  165000-165500   00     101.67  735.0     96.67     0.00    -9999
TERREADELI 000713 300  165500-170000   00      99.20  735.2     94.47    -2.30    -9999
TERREADELI 000713 300  170000-170500   00     101.60  735.3     96.87     0.20    -9999
TERREADELI 000713 300  170500-171000   00      99.80  735.4     95.27    -1.40    -9999
TERREADELI 000713 300  171000-171500   00     100.20  735.1     95.33    -1.40    -9999
TERREADELI 000713 300  171500-172000   00     100.20  734.9     95.20    -1.50    -9999
TERREADELI 000713 300  172000-172500   00     100.87  735.0     95.87    -0.80    -9999
TERREADELI 000713 300  172500-173000   00     102.13  734.8     96.93     0.30    -9999
TERREADELI 000713 300  173000-173500   00     100.40  735.0     95.47    -1.20    -9999
TERREADELI 000713 300  173500-174000   00     100.80  735.4     96.20    -0.50    -9999
TERREADELI 000713 300  174000-174500   00     100.80  735.2     96.00    -0.70    -9999
TERREADELI 000713 300  174500-175000   00      99.93  735.0     95.00    -1.70    -9999
TERREADELI 000713 300  175000-175500   00     100.80  735.0     95.80    -0.90    -9999
TERREADELI 000713 300  175500-180000   00     101.33  735.1     96.40    -0.30    -9999
TERREADELI 000713 300  180000-180500   00     100.60  735.1     95.73    -1.00    -9999
TERREADELI 000713 300  180500-181000   00      99.13  735.1     94.33    -2.40    -9999
TERREADELI 000713 300  181000-181500   00     102.00  735.2     97.20     0.60    -9999
TERREADELI 000713 300  181500-182000   00      99.13  735.3     94.53    -2.20    -9999
TERREADELI 000713 300  182000-182500   00      99.67  735.3     95.07    -1.60    -9999
TERREADELI 000713 300  182500-183000   00      99.33  735.1     94.53    -2.20    -9999
TERREADELI 000713 300  183000-183500   00     101.60  735.2     96.80     0.20    -9999
TERREADELI 000713 300  183500-184000   00     101.53  735.2     96.73     0.10    -9999
TERREADELI 000713 300  184000-184500   00      99.73  735.2     95.00    -1.70    -9999
TERREADELI 000713 300  184500-185000   00      99.33  735.1     94.53    -2.20    -9999
TERREADELI 000713 300  185000-185500   00      99.53  735.3     94.93    -1.80    -9999
TERREADELI 000713 300  185500-190000   00      98.33  735.5     93.93    -2.80    -9999
TERREADELI 000713 300  190000-190500   00     100.27  735.3     95.60    -1.10    -9999
TERREADELI 000713 300  190500-191000   00      99.87  735.2     95.07    -1.60    -9999
TERREADELI 000713 300  191000-191500   00     100.93  735.4     96.33    -0.30    -9999
TERREADELI 000713 300  191500-192000   00      98.80  735.3     94.20    -2.50    -9999
TERREADELI 000713 300  192000-192500   00     100.27  735.3     95.60    -1.10    -9999
TERREADELI 000713 300  192500-193000   00     100.13  735.4     95.60    -1.10    -9999
TERREADELI 000713 300  193000-193500   00     100.87  735.5     96.33    -0.30    -9999
TERREADELI 000713 300  193500-194000   00      99.60  735.4     95.00    -1.70    -9999
TERREADELI 000713 300  194000-194500   00      98.67  735.5     94.27    -2.50    -9999
TERREADELI 000713 300  194500-195000   00     100.53  735.5     96.07    -0.60    -9999
TERREADELI 000713 300  195000-195500   00      99.00  735.5     94.60    -2.10    -9999
TERREADELI 000713 300  195500-200000   00      99.73  735.5     95.33    -1.40    -9999
TERREADELI 000713 300  200000-200500   00     100.27  735.6     95.93    -0.70    -9999
TERREADELI 000713 300  200500-201000   00      98.67  735.7     94.53    -2.20    -9999
TERREADELI 000713 300  201000-201500   00      99.93  735.6     95.60    -1.10    -9999
TERREADELI 000713 300  201500-202000   00     100.33  735.8     96.13    -0.50    -9999
TERREADELI 000713 300  202000-202500   00      99.40  735.8     95.20    -1.50    -9999
TERREADELI 000713 300  202500-203000   00      99.67  735.8     95.47    -1.20    -9999
TERREADELI 000713 300  203000-203500   00      98.53  735.9     94.53    -2.20    -9999
TERREADELI 000713 300  203500-204000   00     102.27  736.0     98.27     1.70    -9999
TERREADELI 000713 300  204000-204500   00      98.33  735.9     94.33    -2.40    -9999
TERREADELI 000713 300  204500-205000   00      98.20  736.0     94.27    -2.50    -9999
TERREADELI 000713 300  205000-205500   00     100.33  736.0     96.40    -0.30    -9999
TERREADELI 000713 300  205500-210000   00      99.60  735.9     95.53    -1.20    -9999
TERREADELI 000713 300  210000-210500   00      99.73  735.8     95.60    -1.10    -9999
TERREADELI 000713 300  210500-211000   00      99.00  736.0     95.00    -1.70    -9999
TERREADELI 000713 300  211000-211500   00      99.27  736.1     95.47    -1.20    -9999
TERREADELI 000713 300  211500-212000   00      99.87  736.1     96.00    -0.70    -9999
TERREADELI 000713 300  212000-212500   00      98.13  736.2     94.40    -2.30    -9999
TERREADELI 000713 300  212500-213000   00      99.00  736.2     95.20    -1.50    -9999
TERREADELI 000713 300  213000-213500   00     100.13  736.4     96.53    -0.10    -9999
TERREADELI 000713 300  213500-214000   00      99.47  736.5     96.00    -0.70    -9999
TERREADELI 000713 300  214000-214500   00      99.67  736.5     96.20    -0.50    -9999
TERREADELI 000713 300  214500-215000   00      98.47  736.5     95.07    -1.60    -9999
TERREADELI 000713 300  215000-215500   00      99.67  736.6     96.27    -0.40    -9999
TERREADELI 000713 300  215500-220000   00      97.67  736.8     94.53    -2.20    -9999
TERREADELI 000713 300  220000-220500   00      99.20  736.8     96.00    -0.70    -9999
