YAKUTSK    LATITUDE    62.02     LONGITUDE     129.72    ALTITUDE    105 M
YAKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
YAKUTSK    STANDARD PRESSURE    1000.3  MB     COEFFICIENT   -0.71     % / MB
YAKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
YAKUTSK    PRE-INCREASE AVERAGE COUNTING RATE     84.22      COUNTS PER SECOND
YAKUTSK    TIME INTERVALS    300         3600     
YAKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
YAKUTSK    010415 300  202000-202500   00      85.76 1002.5     87.10     3.40     1.94
YAKUTSK    010415 300  202500-203000   00      86.45 1002.5     87.82     4.30     2.83
YAKUTSK    010415 300  203000-203500   00      85.55 1002.5     86.91     3.20     1.72
YAKUTSK    010415 300  203500-204000   00      85.28 1002.5     86.66     2.90     1.41
YAKUTSK    010415 300  204000-204500   00      85.97 1002.6     87.38     3.70     2.20
YAKUTSK    010415 300  204500-205000   00      87.89 1002.6     89.34     6.10     4.59
YAKUTSK    010415 300  205000-205500   00      84.27 1002.6     85.67     1.70     0.18
YAKUTSK    010415 300  205500-210000   00      85.23 1002.6     86.66     2.90     1.37
YAKUTSK    010415 300  210000-210500   00      86.45 1002.7     87.94     4.40     2.86
YAKUTSK    010415 300  210500-211000   00      85.23 1002.7     86.71     3.00     1.45
YAKUTSK    010415 300  211000-211500   00      85.28 1002.7     86.78     3.00     1.44
YAKUTSK    010415 300  211500-212000   00      85.97 1002.8     87.50     3.90     2.33
YAKUTSK    010415 300  212000-212500   00      84.69 1002.8     86.20     2.40     0.82
YAKUTSK    010415 300  212500-213000   00      84.80 1002.8     86.32     2.50     0.91
YAKUTSK    010415 300  213000-213500   00      84.53 1002.8     86.06     2.20     0.60
YAKUTSK    010415 300  213500-214000   00      86.40 1002.8     87.97     4.50     2.89
YAKUTSK    010415 300  214000-214500   00      85.33 1002.8     86.90     3.20     1.58
YAKUTSK    010415 300  214500-215000   00      87.47 1002.8     89.08     5.80     4.17
YAKUTSK    010415 300  215000-215500   00      85.39 1002.9     86.96     3.30     1.66
YAKUTSK    010415 300  215500-220000   00      85.92 1002.9     87.51     3.90     2.25
YAKUTSK    010415 300  220000-220500   00      84.80 1002.9     86.39     2.60     0.94
YAKUTSK    010415 300  220500-221000   00      85.49 1002.9     87.10     3.40     1.73
YAKUTSK    010415 300  221000-221500   00      85.17 1002.9     86.77     3.00     1.32
YAKUTSK    010415 300  221500-222000   00      85.33 1002.9     86.94     3.20     1.51
YAKUTSK    010415 300  222000-222500   00      84.64 1002.9     86.23     2.40     0.70
