KIEL       LATITUDE    54.3      LONGITUDE     10.1      ALTITUDE    54 M
KIEL       INSTRUMENT   18NM64    NEUTRON MONITOR	
KIEL       STANDARD PRESSURE    993.7   mb     COEFFICIENT   -0.72     % / mb
KIEL       PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
KIEL       PRE-INCREASE AVERAGE COUNTING RATE    172.09      COUNTS PER SECOND
KIEL       TIME INTERVALS    300         3600     
KIEL       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
KIEL       010415 300  210500-211000   00     171.92  994.7    173.12     0.60     0.14
KIEL       010415 300  211000-211500   00     172.99  994.7    174.21     1.20     0.74
KIEL       010415 300  211500-212000   00     173.64  994.7    174.87     1.60     1.13
KIEL       010415 300  212000-212500   00     174.95  994.7    176.20     2.40     1.93
KIEL       010415 300  212500-213000   00     175.42  994.7    176.69     2.70     2.22
KIEL       010415 300  213000-213500   00     167.93  994.7    169.14    -1.70    -2.19
KIEL       010415 300  213500-214000   00     173.73  994.7    174.99     1.70     1.21
KIEL       010415 300  214000-214500   00     172.15  994.7    173.41     0.80     0.30
KIEL       010415 300  214500-215000   00     171.44  994.7    172.69     0.30    -0.21
KIEL       010415 300  215000-215500   00     170.55  994.7    171.79    -0.20    -0.71
KIEL       010415 300  215500-220000   00     173.84  994.7    175.11     1.80     1.28
KIEL       010415 300  220000-220500   00     173.12  994.7    174.34     1.30     0.78
KIEL       010415 300  220500-221000   00     171.27  994.7    172.48     0.20    -9999
KIEL       010415 300  221000-221500   00     170.98  994.7    172.19     0.10    -9999
KIEL       010415 300  221500-222000   00     174.73  994.7    175.97     2.30    -9999
KIEL       010415 300  222000-222500   00     172.78  994.7    174.01     1.10    -9999
KIEL       010415 300  222500-223000   00     173.63  994.7    174.87     1.60    -9999
KIEL       010415 300  223000-223500   00     171.13  994.7    172.37     0.20    -9999
KIEL       010415 300  223500-224000   00     172.21  994.7    173.47     0.80    -9999
KIEL       010415 300  224000-224500   00     172.53  994.7    173.81     1.00    -9999
KIEL       010415 300  224500-225000   00     171.91  994.7    173.19     0.60    -9999
KIEL       010415 300  225000-225500   00     171.11  994.7    172.40     0.20    -9999
KIEL       010415 300  225500-230000   00     172.73  994.8    174.05     1.10    -9999
KIEL       010415 300  230000-230500   00     172.70  994.8    174.08     1.20    -9999
KIEL       010415 300  230500-231000   00     168.90  994.8    170.27    -1.10    -9999
KIEL       010415 300  231000-231500   00     173.59  994.8    175.02     1.70    -9999
KIEL       010415 300  231500-232000   00     173.78  994.9    175.23     1.80    -9999
KIEL       010415 300  232000-232500   00     173.15  994.9    174.62     1.50    -9999
KIEL       010415 300  232500-233000   00     168.35  994.9    169.79    -1.30    -9999
KIEL       010415 300  233000-233500   00     173.48  994.9    174.99     1.70    -9999
KIEL       010415 300  233500-234000   00     170.94  994.9    172.44     0.20    -9999
KIEL       010415 300  234000-234500   00     171.19  994.9    172.72     0.40    -9999
KIEL       010415 300  234500-235000   00     172.41  995.0    173.97     1.10    -9999
KIEL       010415 300  235000-235500   00     171.14  995.0    172.71     0.40    -9999
KIEL       010415 300  235500-240000   00     170.38  995.0    171.97    -0.10    -9999
KIEL       010416 3600 000000-010000   00     170.96  995.1    172.69     0.30    -9999
KIEL       010416 3600 010000-020000   00     171.19  995.5    173.42     0.80    -9999
KIEL       010416 3600 020000-030000   00     171.21  996.0    174.07     1.20    -9999
KIEL       010416 3600 030000-040000   00     170.83  996.4    174.19     1.20    -9999
KIEL       010416 3600 040000-050000   00     169.89  997.1    174.10     1.20    -9999
KIEL       010416 3600 050000-060000   00     169.06  997.9    174.25     1.30    -9999
KIEL       010416 3600 060000-070000   00     167.82  998.8    174.09     1.20    -9999
KIEL       010416 3600 070000-080000   00     167.32  999.6    174.58     1.40    -9999
KIEL       010416 3600 080000-090000   00     166.41 1000.6    174.88     1.60    -9999
KIEL       010416 3600 090000-100000   00     165.07 1001.4    174.48     1.40    -9999
KIEL       010416 3600 100000-110000   00     164.02 1002.3    174.50     1.40    -9999
KIEL       010416 3600 110000-120000   00     163.89 1003.0    175.24     1.80    -9999
KIEL       010416 3600 120000-130000   00     163.77 1003.7    176.00     2.30    -9999
KIEL       010416 3600 130000-140000   00     163.38 1004.1    176.08     2.30    -9999
KIEL       010416 3600 140000-150000   00     162.39 1004.7    175.77     2.10    -9999
KIEL       010416 3600 150000-160000   00     162.30 1005.2    176.31     2.50    -9999
KIEL       010416 3600 160000-170000   00     161.74 1005.7    176.33     2.50    -9999
KIEL       010416 3600 170000-180000   00     161.40 1006.1    176.47     2.50    -9999
KIEL       010416 3600 180000-190000   00     160.05 1006.7    175.76     2.10    -9999
KIEL       010416 3600 190000-200000   00     158.25 1007.3    174.53     1.40    -9999
KIEL       010416 3600 200000-210000   00     158.02 1007.6    174.66     1.50    -9999
KIEL       010416 3600 210000-220000   00     157.97 1007.7    174.73     1.50    -9999
KIEL       010416 3600 220000-230000   00     158.13 1007.6    174.77     1.60    -9999
KIEL       010416 3600 230000-240000   00     158.12 1007.5    174.64     1.50    -9999
*
*	
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-04-05 10:02:56 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE60/C060KIEL_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
