MCMURDO    LATITUDE    -77.95    LONGITUDE     166.6     ALTITUDE    48 M
MCMURDO    INSTRUMENT   18NM64    NEUTRON MONITOR     	
MCMURDO    STANDARD PRESSURE    963.3   mb     COEFFICIENT   -0.74     % / mb
MCMURDO    PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
MCMURDO    PRE-INCREASE AVERAGE COUNTING RATE    245.95      COUNTS PER SECOND
MCMURDO    TIME INTERVALS    300         3600     
MCMURDO    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MCMURDO    010416 3600 030000-040000   00     248.58  966.9    255.32     3.80     1.08
MCMURDO    010416 3600 040000-050000   00     248.44  966.8    254.92     3.60     0.79
MCMURDO    010416 3600 050000-060000   00     247.03  967.5    254.73     3.60     0.71
MCMURDO    010416 3600 060000-070000   00     245.67  967.7    253.83     3.20     0.23
MCMURDO    010416 3600 070000-080000   00     244.50  968.0    253.12     2.90    -0.13
MCMURDO    010416 3600 080000-090000   00     243.86  968.5    253.46     3.10    -9999
MCMURDO    010416 3600 090000-100000   00     243.75  968.8    253.85     3.20    -9999
MCMURDO    010416 3600 100000-110000   00     244.00  969.2    254.86     3.60    -9999
MCMURDO    010416 3600 110000-120000   00     242.33  969.7    254.13     3.30    -9999
MCMURDO    010416 3600 120000-130000   00     241.61  969.9    253.62     3.10    -9999
MCMURDO    010416 3600 130000-140000   00     241.67  969.7    253.43     3.00    -9999
MCMURDO    010416 3600 140000-150000   00     241.36  969.9    253.36     3.00    -9999
MCMURDO    010416 3600 150000-160000   00     240.69  970.3    253.41     3.00    -9999
MCMURDO    010416 3600 160000-170000   00     240.17  970.7    253.61     3.10    -9999
MCMURDO    010416 3600 170000-180000   00     238.08  971.5    252.90     2.80    -9999
MCMURDO    010416 3600 180000-190000   00     237.56  971.7    252.84     2.80    -9999
MCMURDO    010416 3600 190000-200000   00     237.28  972.0    253.05     2.90    -9999
MCMURDO    010416 3600 200000-210000   00     236.00  972.5    252.68     2.70    -9999
MCMURDO    010416 3600 210000-220000   00     235.39  973.1    253.03     2.90    -9999
MCMURDO    010416 3600 220000-230000   00     235.06  973.2    252.92     2.80    -9999
MCMURDO    010416 3600 230000-240000   00     234.28  973.7    253.09     2.90    -9999
*
*	
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-04-05 10:02:56 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE60/C060MCMD_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
