OULU       LATITUDE    65.02     LONGITUDE     25.5      ALTITUDE    0 M
OULU       INSTRUMENT   9NM64    NEUTRON MONITOR     	
OULU       STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.74     % / MB
OULU       PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
OULU       PRE-INCREASE AVERAGE COUNTING RATE    112.25      COUNTS PER SECOND
OULU       TIME INTERVALS    300         3600     
OULU       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
OULU       211028 300  233500-234000   00     111.58  999.3    111.22    -0.92    -9999
OULU       211028 300  234000-234500   00     111.84  999.3    111.50    -0.66    -9999
OULU       211028 300  234500-235000   00     112.75  999.3    112.41     0.14    -9999
OULU       211028 300  235000-235500   00     111.79  999.2    111.33    -0.81    -9999
OULU       211028 300  235500-000000   00     110.57  999.1    110.06    -1.95    -9999
OULU       211029 3600 000000-010000   00     111.87  998.9    111.19    -0.94    -9999
OULU       211029 3600 010000-020000   00     111.96  998.4    110.81    -1.28    -9999
OULU       211029 3600 020000-030000   00     112.80  998.0    111.33    -0.81    -9999
OULU       211029 3600 030000-040000   00     112.77  997.6    110.98    -1.13    -9999
OULU       211029 3600 040000-050000   00     112.73  997.4    110.77    -1.31    -9999
OULU       211029 3600 050000-060000   00     113.22  997.7    111.49    -0.68    -9999
OULU       211029 3600 060000-070000   00     114.49  997.7    112.77     0.46    -9999
OULU       211029 3600 070000-080000   00     113.43  998.0    111.96    -0.26    -9999
OULU       211029 3600 080000-090000   00     113.55  998.3    112.37     0.11    -9999
OULU       211029 3600 090000-100000   00     113.74  998.5    112.71     0.42    -9999
OULU       211029 3600 100000-110000   00     113.18  998.6    112.23    -0.01    -9999
OULU       211029 3600 110000-120000   00     113.31  998.9    112.60     0.32    -9999
OULU       211029 3600 120000-130000   00     112.66  999.3    112.32     0.06    -9999
OULU       211029 3600 130000-140000   00     112.00  999.8    112.07    -0.16    -9999
OULU       211029 3600 140000-150000   00     111.56 1000.2    111.94    -0.27    -9999
OULU       211029 3600 150000-160000   00     111.46 1000.6    112.20    -0.05    -9999
OULU       211029 3600 160000-170000   00     110.34 1001.3    111.60    -0.58    -9999
OULU       211029 3600 170000-180000   00     110.18 1001.9    111.96    -0.26    -9999
