NEWARK     LATITUDE    39.7      LONGITUDE     -75.7     ALTITUDE    50 M
NEWARK     INSTRUMENT   9NM64    NEUTRON MONITOR     	
NEWARK     STANDARD PRESSURE    1013    mb     COEFFICIENT   -0.71     % / mb
NEWARK     PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
NEWARK     PRE-INCREASE AVERAGE COUNTING RATE     92.26      COUNTS PER SECOND
NEWARK     TIME INTERVALS    300         3600     
NEWARK     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
NEWARK     120517 300  141000-141500   00      93.85 1014.5     94.69     2.60    -9999
NEWARK     120517 300  141500-142000   00      93.09 1014.5     93.93     1.80    -9999
NEWARK     120517 300  142000-142500   00      92.08 1014.5     92.95     0.70    -9999
NEWARK     120517 300  142500-143000   00      92.19 1014.6     93.08     0.90    -9999
NEWARK     120517 300  143000-143500   00      93.18 1014.6     94.09     2.00    -9999
NEWARK     120517 300  143500-144000   00      92.08 1014.6     92.98     0.80    -9999
NEWARK     120517 300  144000-144500   00      92.34 1014.5     93.20     1.00    -9999
NEWARK     120517 300  144500-145000   00      90.52 1014.5     91.35    -1.00    -9999
NEWARK     120517 300  145000-145500   00      92.35 1014.5     93.18     1.00    -9999
NEWARK     120517 300  145500-150000   00      92.50 1014.5     93.34     1.20    -9999
NEWARK     120517 300  150000-150500   00      92.03 1014.6     92.92     0.70    -9999
NEWARK     120517 300  150500-151000   00      93.01 1014.6     93.96     1.80    -9999
NEWARK     120517 300  151000-151500   00      92.49 1014.5     93.35     1.20    -9999
NEWARK     120517 300  151500-152000   00      92.54 1014.4     93.34     1.20    -9999
NEWARK     120517 300  152000-152500   00      92.99 1014.5     93.86     1.70    -9999
NEWARK     120517 300  152500-153000   00      94.05 1014.6     95.01     3.00    -9999
NEWARK     120517 300  153000-153500   00      92.82 1014.7     93.78     1.60    -9999
NEWARK     120517 300  153500-154000   00      92.61 1014.7     93.59     1.40    -9999
NEWARK     120517 300  154000-154500   00      92.77 1014.7     93.78     1.60    -9999
NEWARK     120517 300  154500-155000   00      92.42 1014.7     93.39     1.20    -9999
NEWARK     120517 300  155000-155500   00      92.09 1014.7     93.10     0.90    -9999
NEWARK     120517 300  155500-160000   00      91.94 1014.7     92.93     0.70    -9999
NEWARK     120517 300  160000-160500   00      90.96 1014.7     91.95    -0.30    -9999
NEWARK     120517 300  160500-161000   00      92.96 1014.8     94.03     1.90    -9999
NEWARK     120517 300  161000-161500   00      90.76 1014.9     91.85    -0.40    -9999
NEWARK     120517 300  161500-162000   00      91.37 1014.8     92.44     0.20    -9999
NEWARK     120517 300  162000-162500   00      92.50 1014.7     93.49     1.30    -9999
NEWARK     120517 300  162500-163000   00      92.28 1014.7     93.25     1.10    -9999
NEWARK     120517 300  163000-163500   00      92.31 1014.6     93.26     1.10    -9999
NEWARK     120517 300  163500-164000   00      92.36 1014.6     93.28     1.10    -9999
NEWARK     120517 300  164000-164500   00      92.80 1014.5     93.66     1.50    -9999
NEWARK     120517 300  164500-165000   00      91.85 1014.4     92.65     0.40    -9999
NEWARK     120517 300  165000-165500   00      92.35 1014.4     93.12     0.90    -9999
NEWARK     120517 300  165500-170000   00      92.68 1014.3     93.37     1.20    -9999
NEWARK     120517 300  170000-170500   00      92.51 1014.1     93.08     0.90    -9999
NEWARK     120517 300  170500-171000   00      92.08 1014.0     92.61     0.40    -9999
NEWARK     120517 300  171000-171500   00      92.49 1014.0     92.99     0.80    -9999
