NORILSK    LATITUDE    69.26     LONGITUDE     88.05     ALTITUDE    0 M
NORILSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
NORILSK    STANDARD PRESSURE    998.5   mb     COEFFICIENT   -0.71     % / mb
NORILSK    PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
NORILSK    PRE-INCREASE AVERAGE COUNTING RATE    111.40      COUNTS PER SECOND
NORILSK    TIME INTERVALS    300         3600     
NORILSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
NORILSK    031029 300  003000-003500   00     108.40 1005.4    113.85     2.20     2.20
NORILSK    031029 300  003500-004000   00     110.80 1005.4    116.40     4.50     4.50
NORILSK    031029 300  004000-004500   00     109.36 1005.5    114.92     3.20     3.20
NORILSK    031029 300  004500-005000   00     111.45 1005.5    117.14     5.20     5.20
NORILSK    031029 300  005000-005500   00     110.76 1005.5    116.44     4.50     4.50
NORILSK    031029 300  005500-010000   00     109.11 1005.6    114.74     3.00     3.00
NORILSK    031029 300  010000-010500   00     109.31 1005.6    114.97     3.20     3.20
NORILSK    031029 300  010500-011000   00     109.59 1005.6    115.30     3.50     3.50
NORILSK    031029 300  011000-011500   00     110.44 1005.7    116.22     4.30     4.30
NORILSK    031029 300  011500-012000   00     107.96 1005.7    113.63     2.00     2.00
NORILSK    031029 300  012000-012500   00     110.08 1005.7    115.89     4.00     4.00
NORILSK    031029 300  012500-013000   00     109.75 1005.8    115.57     3.70     3.70
NORILSK    031029 300  013000-013500   00     107.27 1005.8    112.99     1.40     1.40
NORILSK    031029 300  013500-014000   00     111.26 1005.8    117.22     5.20     5.20
NORILSK    031029 300  014000-014500   00     108.49 1005.9    114.33     2.60     2.60
NORILSK    031029 300  014500-015000   00     107.38 1005.9    113.18     1.60     1.60
NORILSK    031029 300  015000-015500   00     110.23 1005.9    116.22     4.30     4.30
NORILSK    031029 300  015500-020000   00     109.88 1006.0    115.88     4.00     4.00
NORILSK    031029 300  020000-020500   00     108.53 1006.0    114.48     2.80     2.80
NORILSK    031029 300  020500-021000   00     109.48 1006.0    115.50     3.70     3.70
NORILSK    031029 300  021000-021500   00     106.97 1006.1    112.86     1.30     1.30
NORILSK    031029 300  021500-022000   00     109.31 1006.1    115.36     3.60     3.60
NORILSK    031029 300  022000-022500   00     110.18 1006.1    116.30     4.40     4.40
NORILSK    031029 300  022500-023000   00     109.17 1006.1    115.25     3.50     3.50
NORILSK    031029 300  023000-023500   00     108.48 1006.2    114.54     2.80     2.80
NORILSK    031029 300  023500-024000   00     109.59 1006.2    115.74     3.90     3.90
NORILSK    031029 300  024000-024500   00     108.93 1006.2    115.06     3.30     3.30
NORILSK    031029 300  024500-025000   00     109.82 1006.2    116.02     4.10     4.10
NORILSK    031029 300  025000-025500   00     107.06 1006.3    113.12     1.50     1.50
NORILSK    031029 300  025500-030000   00     109.07 1006.3    115.27     3.50     3.50
NORILSK    031029 300  030000-030500   00     106.38 1006.3    112.46     1.00     1.00
NORILSK    031029 300  030500-031000   00     109.34 1006.3    115.60     3.80     3.80
NORILSK    031029 300  031000-031500   00     109.63 1006.4    115.94     4.10     4.10
NORILSK    031029 300  031500-032000   00     107.20 1006.4    113.40     1.80     1.80
NORILSK    031029 300  032000-032500   00     108.66 1006.4    114.96     3.20     3.20
NORILSK    031029 300  032500-033000   00     110.66 1006.5    117.11     5.10     5.10
NORILSK    031029 300  033000-033500   00     107.98 1006.5    114.30     2.60     2.60
NORILSK    031029 300  033500-034000   00     108.89 1006.5    115.29     3.50     3.50
NORILSK    031029 300  034000-034500   00     108.29 1006.6    114.68     2.90     2.90
NORILSK    031029 300  034500-035000   00     107.56 1006.6    113.94     2.30     2.30
NORILSK    031029 300  035000-035500   00     107.94 1006.6    114.36     2.70     2.70
NORILSK    031029 300  035500-040000   00     107.66 1006.7    114.09     2.40     2.40
NORILSK    031029 300  040000-040500   00     108.69 1006.7    115.21     3.40     3.40
NORILSK    031029 300  040500-041000   00     106.80 1006.7    113.23     1.60     1.60
NORILSK    031029 300  041000-041500   00     108.09 1006.8    114.62     2.90     2.90
NORILSK    031029 300  041500-042000   00     107.64 1006.8    114.17     2.50     2.50
NORILSK    031029 300  042000-042500   00     109.54 1006.8    116.19     4.30     4.30
NORILSK    031029 300  042500-043000   00     108.21 1006.8    114.81     3.10     3.10
NORILSK    031029 300  043000-043500   00     106.69 1006.9    113.22     1.60     1.60
NORILSK    031029 300  043500-044000   00     106.47 1006.9    113.00     1.40     1.40
NORILSK    031029 300  044000-044500   00     107.10 1006.9    113.69     2.10     2.10
NORILSK    031029 300  044500-045000   00     108.05 1006.9    114.72     3.00     3.00
NORILSK    031029 300  045000-045500   00     108.73 1007.0    115.46     3.60     3.60
NORILSK    031029 300  045500-050000   00     107.86 1007.0    114.55     2.80     2.80
NORILSK    031029 300  050000-050500   00     109.78 1007.0    116.62     4.70     4.70
NORILSK    031029 300  050500-051000   00     110.49 1007.0    117.40     5.40     5.40
NORILSK    031029 300  051000-051500   00     107.77 1007.1    114.54     2.80     2.80
NORILSK    031029 300  051500-052000   00     109.09 1007.1    115.97     4.10     4.10
NORILSK    031029 300  052000-052500   00     108.58 1007.1    115.45     3.60     3.60
NORILSK    031029 300  052500-053000   00     106.72 1007.2    113.50     1.90     1.90
NORILSK    031029 300  053000-053500   00     107.52 1007.2    114.38     2.70     2.70
NORILSK    031029 300  053500-054000   00     107.69 1007.2    114.59     2.90     2.90
NORILSK    031029 300  054000-054500   00     105.62 1007.3    112.42     0.90     0.90
NORILSK    031029 300  054500-055000   00     108.10 1007.3    115.08     3.30     3.30
NORILSK    031029 300  055000-055500   00     107.35 1007.3    114.30     2.60     2.60
NORILSK    031029 300  055500-060000   00     107.64 1007.4    114.65     2.90     2.90
NORILSK    031029 300  060000-060500   00     105.77 1007.4    112.68     1.10     1.10
NORILSK    031029 300  060500-061000   00     107.57 1007.4    114.61     2.90     2.90
NORILSK    031029 300  061000-061500   00     108.82 1007.5    115.97     4.10     4.10
NORILSK    031029 300  061500-062000   00     108.32 1007.5    115.46     3.60     3.60
NORILSK    031029 300  062000-062500   00     108.21 1007.5    115.36     3.60     3.60
NORILSK    031029 300  062500-063000   00     107.55 1007.5    114.68     2.90     2.90
NORILSK    031029 300  063000-063500   00     107.40 1007.6    114.54     2.80     2.80
NORILSK    031029 300  063500-064000   00     105.54 1007.6    112.57     1.10     1.10
NORILSK    031029 300  064000-064500   00     104.44 1007.6    111.41     0.00    -9999
NORILSK    031029 300  064500-065000   00     101.83 1007.6    108.66    -2.50    -9999
NORILSK    031029 300  065000-065500   00     101.85 1007.7    108.69    -2.40    -9999
NORILSK    031029 300  065500-070000   00     101.69 1007.7    108.54    -2.60    -9999
NORILSK    031029 300  070000-070500   00     101.02 1007.7    107.85    -3.20    -9999
NORILSK    031029 300  070500-071000   00     102.36 1007.7    109.31    -1.90    -9999
NORILSK    031029 300  071000-071500   00     103.74 1007.8    110.81    -0.50    -9999
NORILSK    031029 300  071500-072000   00     102.33 1007.8    109.32    -1.90    -9999
NORILSK    031029 300  072000-072500   00     101.71 1007.8    108.69    -2.40    -9999
NORILSK    031029 300  072500-073000   00     101.74 1007.9    108.74    -2.40    -9999
NORILSK    031029 300  073000-073500   00     100.28 1007.9    107.21    -3.80    -9999
NORILSK    031029 300  073500-074000   00     102.85 1007.9    109.99    -1.30    -9999
NORILSK    031029 300  074000-074500   00     101.86 1008.0    108.95    -2.20    -9999
NORILSK    031029 300  074500-075000   00     101.95 1008.0    109.07    -2.10    -9999
NORILSK    031029 300  075000-075500   00     101.79 1008.0    108.93    -2.20    -9999
