APATITY  L LATITUDE    67.55     LONGITUDE     33.33     ALTITUDE    177 M
APATITY  L INSTRUMENT   18NM64    NEUTRON MONITOR	
APATITY  L STANDARD PRESSURE    1000    mB     COEFFICIENT   -0.74     % / mB
APATITY  L PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
APATITY  L PRE-INCREASE AVERAGE COUNTING RATE    162.19      COUNTS PER SECOND
APATITY  L TIME INTERVALS    300         3600     
APATITY  L SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mB)      C/S
APATITY  L 061213 300  140500-141000   00     210.40  974.6    163.28     0.70     0.70
APATITY  L 061213 300  141000-141500   00     210.66  974.6    163.45     0.80     0.80
APATITY  L 061213 300  141500-142000   00     210.20  974.6    163.00     0.50     0.50
APATITY  L 061213 300  142000-142500   00     210.28  974.5    162.99     0.50     0.50
APATITY  L 061213 300  142500-143000   00     209.32  974.5    162.19     0.00     0.00
APATITY  L 061213 300  143000-143500   00     209.84  974.4    162.44     0.20     0.20
APATITY  L 061213 300  143500-144000   00     210.14  974.4    162.67     0.30     0.30
APATITY  L 061213 300  144000-144500   00     210.30  974.4    162.79     0.40     0.40
APATITY  L 061213 300  144500-145000   00     211.28  974.4    163.60     0.90     0.90
APATITY  L 061213 300  145000-145500   00     211.02  974.5    163.46     0.80     0.80
APATITY  L 061213 300  145500-150000   00     211.76  974.5    164.04     1.10     1.10
APATITY  L 061213 300  150000-150500   00     210.38  974.5    163.04     0.50     0.50
APATITY  L 061213 300  150500-151000   00     211.56  974.5    163.92     1.10     1.10
APATITY  L 061213 300  151000-151500   00     211.34  974.4    163.67     0.90     0.90
APATITY  L 061213 300  151500-152000   00     213.14  974.5    165.09     1.80     1.80
APATITY  L 061213 300  152000-152500   00     211.28  974.5    163.70     0.90     0.90
APATITY  L 061213 300  152500-153000   00     211.46  974.5    163.90     1.10     1.10
APATITY  L 061213 300  153000-153500   00     212.12  974.5    164.31     1.30     1.30
APATITY  L 061213 300  153500-154000   00     208.82  974.5    161.82    -0.20    -0.20
APATITY  L 061213 300  154000-154500   00     209.36  974.5    162.21     0.00     0.00
APATITY  L 061213 300  154500-155000   00     210.70  974.4    163.19     0.60     0.60
APATITY  L 061213 300  155000-155500   00     209.40  974.5    162.20     0.00     0.00
APATITY  L 061213 300  155500-160000   00     210.94  974.4    163.36     0.70     0.70
APATITY  L 061213 300  160000-160500   00     209.44  974.5    162.29     0.10    -9999
APATITY  L 061213 300  160500-161000   00     209.40  974.6    162.36     0.10    -9999
APATITY  L 061213 300  161000-161500   00     209.32  974.6    162.41     0.10    -9999
APATITY  L 061213 300  161500-162000   00     210.30  974.6    163.17     0.60    -9999
APATITY  L 061213 300  162000-162500   00     210.08  974.6    162.92     0.50    -9999
APATITY  L 061213 300  162500-163000   00     208.00  974.6    161.32    -0.50    -9999
APATITY  L 061213 300  163000-163500   00     208.90  974.6    162.07    -0.10    -9999
APATITY  L 061213 300  163500-164000   00     208.66  974.6    161.92    -0.20    -9999
APATITY  L 061213 300  164000-164500   00     207.50  974.6    160.99    -0.70    -9999
APATITY  L 061213 300  164500-165000   00     210.76  974.5    163.36     0.70    -9999
APATITY  L 061213 300  165000-165500   00     209.92  974.5    162.70     0.30    -9999
APATITY  L 061213 300  165500-170000   00     212.94  974.6    165.11     1.80    -9999
