APATITY  L LATITUDE    67.55     LONGITUDE     33.33     ALTITUDE    177 M
APATITY  L INSTRUMENT   18NM64    NEUTRON MONITOR	
APATITY  L STANDARD PRESSURE    951.7   mb     COEFFICIENT   -0.74     % / mb
APATITY  L PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
APATITY  L PRE-INCREASE AVERAGE COUNTING RATE    153.44      COUNTS PER SECOND
APATITY  L TIME INTERVALS    300         3600     
APATITY  L SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
APATITY  L 031029 300  064500-065000   00     144.54  960.5    154.30     0.60    -0.41
APATITY  L 031029 300  065000-065500   00     142.84  960.6    152.56    -0.60    -1.61
APATITY  L 031029 300  065500-070000   00     144.58  960.7    154.49     0.70    -0.31
APATITY  L 031029 300  070000-070500   00     143.66  960.7    153.59     0.10    -0.91
APATITY  L 031029 300  070500-071000   00     142.76  960.8    152.72    -0.50    -9999
APATITY  L 031029 300  071000-071500   00     144.08  960.9    154.23     0.50    -9999
APATITY  L 031029 300  071500-072000   00     144.56  961.0    154.84     0.90    -9999
APATITY  L 031029 300  072000-072500   00     143.72  961.1    154.03     0.40    -9999
APATITY  L 031029 300  072500-073000   00     143.42  961.2    153.81     0.20    -9999
APATITY  L 031029 300  073000-073500   00     143.84  961.2    154.35     0.60    -9999
APATITY  L 031029 300  073500-074000   00     143.66  961.3    154.25     0.60    -9999
APATITY  L 031029 300  074000-074500   00     144.04  961.4    154.76     0.90    -9999
APATITY  L 031029 300  074500-075000   00     144.54  961.5    155.39     1.30    -9999
