MEXICOCITY LATITUDE    19.33     LONGITUDE     260.82    ALTITUDE    2274 M
MEXICOCITY INSTRUMENT   6-NM-64  NEUTRON MONITOR
MEXICOCITY STANDARD PRESSURE    779     MB     COEFFICIENT   -0.7125   % / MB
MEXICOCITY PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
MEXICOCITY PRE-INCREASE AVERAGE COUNTING RATE    203.78      COUNTS PER SECOND
MEXICOCITY TIME INTERVALS    300         3600     
MEXICOCITY SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MEXICOCITY 010415 300  173500-174000   00     211.83  773.9    204.77     0.50    -9999
MEXICOCITY 010415 300  174000-174500   00     211.37  773.9    204.30     0.30    -9999
MEXICOCITY 010415 300  174500-175000   00     214.53  773.8    207.23     1.70    -9999
MEXICOCITY 010415 300  175000-175500   00     212.90  773.7    205.50     0.80    -9999
MEXICOCITY 010415 300  175500-180000   00     215.23  773.7    207.77     2.00    -9999
MEXICOCITY 010415 300  180000-180500   00     211.13  773.6    203.63    -0.10    -9999
MEXICOCITY 010415 300  180500-181000   00     214.97  773.6    207.33     1.70    -9999
MEXICOCITY 010415 300  181000-181500   00     210.23  773.6    202.77    -0.50    -9999
MEXICOCITY 010415 300  181500-182000   00     210.00  773.6    202.57    -0.60    -9999
MEXICOCITY 010415 300  182000-182500   00     211.77  773.5    204.10     0.20    -9999
MEXICOCITY 010415 300  182500-183000   00     211.77  773.4    203.97     0.10    -9999
MEXICOCITY 010415 300  183000-183500   00     211.53  773.3    203.60    -0.10    -9999
MEXICOCITY 010415 300  183500-184000   00     210.90  773.3    203.00    -0.40    -9999
MEXICOCITY 010415 300  184000-184500   00     212.37  773.3    204.40     0.30    -9999
MEXICOCITY 010415 300  184500-185000   00     211.97  773.2    203.87     0.00    -9999
MEXICOCITY 010415 300  185000-185500   00     211.80  773.2    203.70     0.00    -9999
MEXICOCITY 010415 300  185500-190000   00     210.20  773.1    202.03    -0.90    -9999
MEXICOCITY 010415 300  190000-190500   00     215.00  773.0    206.50     1.30    -9999
MEXICOCITY 010415 300  190500-191000   00     212.50  772.8    203.80     0.00    -9999
MEXICOCITY 010415 300  191000-191500   00     214.70  772.8    205.90     1.00    -9999
MEXICOCITY 010415 300  191500-192000   00     214.83  772.6    205.73     1.00    -9999
MEXICOCITY 010415 300  192000-192500   00     214.03  772.6    204.97     0.60    -9999
MEXICOCITY 010415 300  192500-193000   00     212.67  772.5    203.53    -0.10    -9999
MEXICOCITY 010415 300  193000-193500   00     213.77  772.5    204.57     0.40    -9999
MEXICOCITY 010415 300  193500-194000   00     212.50  772.4    203.23    -0.30    -9999
MEXICOCITY 010415 300  194000-194500   00     213.93  772.3    204.43     0.30    -9999
MEXICOCITY 010415 300  194500-195000   00     210.83  772.3    201.47    -1.10    -9999
