IRKUTSK    LATITUDE    52.47     LONGITUDE     104.03    ALTITUDE    433 M
IRKUTSK    INSTRUMENT   IGY     NEUTRON MONITOR
IRKUTSK    STANDARD PRESSURE    948.3   MB     COEFFICIENT   -0.71     % / MB
IRKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
IRKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    188.20      COUNTS PER SECOND
IRKUTSK    TIME INTERVALS    300         3600     
IRKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
IRKUTSK    000714 300  210000-210500   00     188.31  948.8    188.94     0.40    -9999
IRKUTSK    000714 300  210500-211000   00     188.50  948.8    189.11     0.50    -9999
IRKUTSK    000714 300  211000-211500   00     186.50  948.7    187.08    -0.60    -9999
IRKUTSK    000714 300  211500-212000   00     188.01  948.7    188.58     0.20    -9999
IRKUTSK    000714 300  212000-212500   00     188.07  948.7    188.63     0.20    -9999
IRKUTSK    000714 300  212500-213000   00     188.88  948.7    189.43     0.70    -9999
IRKUTSK    000714 300  213000-213500   00     188.52  948.7    189.06     0.50    -9999
IRKUTSK    000714 300  213500-214000   00     187.07  948.7    187.59    -0.30    -9999
IRKUTSK    000714 300  214000-214500   00     189.45  948.7    189.97     0.90    -9999
IRKUTSK    000714 300  214500-215000   00     189.60  948.7    190.12     1.00    -9999
IRKUTSK    000714 300  215000-215500   00     186.56  948.7    187.06    -0.60    -9999
IRKUTSK    000714 300  215500-220000   00     189.01  948.7    189.51     0.70    -9999
IRKUTSK    000714 300  220000-220500   00     188.98  948.7    189.54     0.70    -9999
IRKUTSK    000714 300  220500-221000   00     185.58  948.7    186.13    -1.10    -9999
IRKUTSK    000714 300  221000-221500   00     186.49  948.7    187.04    -0.60    -9999
IRKUTSK    000714 300  221500-222000   00     186.67  948.7    187.21    -0.50    -9999
IRKUTSK    000714 300  222000-222500   00     187.38  948.7    187.92    -0.20    -9999
IRKUTSK    000714 300  222500-223000   00     188.55  948.7    189.09     0.50    -9999
IRKUTSK    000714 300  223000-223500   00     186.70  948.7    187.23    -0.50    -9999
IRKUTSK    000714 300  223500-224000   00     188.82  948.7    189.35     0.60    -9999
IRKUTSK    000714 300  224000-224500   00     186.13  948.7    186.64    -0.80    -9999
IRKUTSK    000714 300  224500-225000   00     189.19  948.7    189.70     0.80    -9999
IRKUTSK    000714 300  225000-225500   00     189.02  948.7    189.52     0.70    -9999
IRKUTSK    000714 300  225500-230000   00     188.82  948.7    189.32     0.60    -9999
IRKUTSK    000714 300  230000-230500   00     187.77  948.7    188.27     0.00    -9999
IRKUTSK    000714 300  230500-231000   00     186.92  948.7    187.41    -0.40    -9999
