TERREADELI LATITUDE    -66.65    LONGITUDE     140       ALTITUDE    32 M
TERREADELI INSTRUMENT   9-NM-64  NEUTRON MONITOR	
TERREADELI STANDARD PRESSURE    987     mb     COEFFICIENT   -0.7425   % / mb
TERREADELI PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
TERREADELI PRE-INCREASE AVERAGE COUNTING RATE    116.32      COUNTS PER SECOND
TERREADELI TIME INTERVALS    300         3600     
TERREADELI SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
TERREADELI 120517 300  150500-151000   00     121.47  981.9    117.33     0.90    -9999
TERREADELI 120517 300  151000-151500   00     122.67  981.9    118.44     1.80    -9999
TERREADELI 120517 300  151500-152000   00     119.47  981.9    115.38    -0.80    -9999
TERREADELI 120517 300  152000-152500   00     119.80  981.9    115.67    -0.60    -9999
TERREADELI 120517 300  152500-153000   00     119.67  981.8    115.48    -0.70    -9999
TERREADELI 120517 300  153000-153500   00     119.33  981.8    115.15    -1.00    -9999
TERREADELI 120517 300  153500-154000   00     122.07  981.8    117.79     1.30    -9999
TERREADELI 120517 300  154000-154500   00     119.80  981.7    115.54    -0.70    -9999
TERREADELI 120517 300  154500-155000   00     121.53  981.7    117.18     0.70    -9999
TERREADELI 120517 300  155000-155500   00     119.20  981.6    114.84    -1.30    -9999
TERREADELI 120517 300  155500-160000   00     120.60  981.4    116.06    -0.20    -9999
TERREADELI 120517 300  160000-160500   00     120.80  981.4    116.27     0.00    -9999
TERREADELI 120517 300  160500-161000   00     120.47  981.4    115.90    -0.40    -9999
TERREADELI 120517 300  161000-161500   00     119.73  981.4    115.20    -1.00    -9999
TERREADELI 120517 300  161500-162000   00     120.40  981.3    115.80    -0.40    -9999
TERREADELI 120517 300  162000-162500   00     122.13  981.3    117.44     1.00    -9999
TERREADELI 120517 300  162500-163000   00     120.87  981.2    116.15    -0.10    -9999
TERREADELI 120517 300  163000-163500   00     120.53  981.2    115.81    -0.40    -9999
TERREADELI 120517 300  163500-164000   00     121.67  981.1    116.83     0.40    -9999
TERREADELI 120517 300  164000-164500   00     121.40  981.1    116.55     0.20    -9999
TERREADELI 120517 300  164500-165000   00     121.07  981.0    116.18    -0.10    -9999
TERREADELI 120517 300  165000-165500   00     121.93  981.0    116.97     0.60    -9999
TERREADELI 120517 300  165500-170000   00     122.13  980.8    116.97     0.60    -9999
TERREADELI 120517 300  170000-170500   00     121.33  980.7    116.14    -0.20    -9999
TERREADELI 120517 300  170500-171000   00     121.87  980.6    116.58     0.20    -9999
TERREADELI 120517 300  171000-171500   00     121.60  980.5    116.26    -0.10    -9999
TERREADELI 120517 300  171500-172000   00     121.80  980.3    116.28     0.00    -9999
TERREADELI 120517 300  172000-172500   00     121.33  980.3    115.79    -0.50    -9999
TERREADELI 120517 300  172500-173000   00     123.73  980.1    117.92     1.40    -9999
TERREADELI 120517 300  173000-173500   00     123.07  980.1    117.28     0.80    -9999
TERREADELI 120517 300  173500-174000   00     122.80  979.9    116.89     0.50    -9999
TERREADELI 120517 300  174000-174500   00     121.80  979.9    115.92    -0.30    -9999
TERREADELI 120517 300  174500-175000   00     122.07  979.7    116.01    -0.30    -9999
TERREADELI 120517 300  175000-175500   00     122.67  979.8    116.63     0.30    -9999
TERREADELI 120517 300  175500-180000   00     120.67  979.8    114.75    -1.30    -9999
TERREADELI 120517 300  180000-180500   00     121.67  979.5    115.42    -0.80    -9999
TERREADELI 120517 300  180500-181000   00     122.93  979.4    116.51     0.20    -9999
TERREADELI 120517 300  181000-181500   00     123.00  979.3    116.50     0.20    -9999
TERREADELI 120517 300  181500-182000   00     122.00  979.1    115.44    -0.80    -9999
TERREADELI 120517 300  182000-182500   00     122.00  979.2    115.47    -0.70    -9999
TERREADELI 120517 300  182500-183000   00     122.47  979.1    115.86    -0.40    -9999
TERREADELI 120517 300  183000-183500   00     124.47  979.0    117.66     1.20    -9999
TERREADELI 120517 300  183500-184000   00     123.27  978.9    116.39     0.10    -9999
TERREADELI 120517 300  184000-184500   00     121.33  978.8    114.54    -1.50    -9999
TERREADELI 120517 300  184500-185000   00     122.40  978.8    115.50    -0.70    -9999
TERREADELI 120517 300  185000-185500   00     122.67  978.7    115.71    -0.50    -9999
TERREADELI 120517 300  185500-190000   00     122.40  978.8    115.50    -0.70    -9999
TERREADELI 120517 300  190000-190500   00     124.87  978.8    117.83     1.30    -9999
TERREADELI 120517 300  190500-191000   00     122.93  978.7    115.94    -0.30    -9999
TERREADELI 120517 300  191000-191500   00     122.67  978.7    115.71    -0.50    -9999
TERREADELI 120517 300  191500-192000   00     122.07  978.8    115.19    -1.00    -9999
TERREADELI 120517 300  192000-192500   00     123.53  979.0    116.73     0.40    -9999
TERREADELI 120517 300  192500-193000   00     123.60  978.9    116.77     0.40    -9999
