ALMA-ATA-B LATITUDE    43.14     LONGITUDE     76.6      ALTITUDE    3340 M
ALMA-ATA-B INSTRUMENT   18NM64    NEUTRON MONITOR     
ALMA-ATA-B STANDARD PRESSURE    675     mb     COEFFICIENT   -0.72     % / mb
ALMA-ATA-B PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
ALMA-ATA-B PRE-INCREASE AVERAGE COUNTING RATE  1,388.62      COUNTS PER SECOND
ALMA-ATA-B TIME INTERVALS    300         3600     
ALMA-ATA-B SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
ALMA-ATA-B 211028 300  231000-231500   00    1295.14  680.8   1390.30     0.12    -9999
ALMA-ATA-B 211028 300  231500-232000   00    1306.24  680.9   1402.76     1.02    -9999
ALMA-ATA-B 211028 300  232000-232500   00    1300.50  680.9   1396.44     0.56    -9999
ALMA-ATA-B 211028 300  232500-233000   00    1302.36  680.9   1398.92     0.74    -9999
ALMA-ATA-B 211028 300  233000-233500   00    1302.64  680.9   1398.90     0.74    -9999
ALMA-ATA-B 211028 300  233500-234000   00    1305.94  680.8   1402.26     0.98    -9999
ALMA-ATA-B 211028 300  234000-234500   00    1291.12  680.9   1386.96    -0.12    -9999
ALMA-ATA-B 211028 300  234500-235000   00    1315.30  680.8   1412.28     1.70    -9999
ALMA-ATA-B 211028 300  235000-235500   00    1296.90  680.9   1392.78     0.30    -9999
ALMA-ATA-B 211028 300  235500-000000   00    1301.54  680.9   1398.08     0.68    -9999
ALMA-ATA-B 211029 3600 000000-010000   00    1303.23  680.9   1399.88     0.81    -9999
ALMA-ATA-B 211029 3600 010000-020000   00    1303.50  680.9   1399.66     0.79    -9999
ALMA-ATA-B 211029 3600 020000-030000   00    1301.41  680.9   1397.85     0.66    -9999
ALMA-ATA-B 211029 3600 030000-040000   00    1302.38  681.0   1399.85     0.81    -9999
ALMA-ATA-B 211029 3600 040000-050000   00    1300.53  681.0   1398.05     0.68    -9999
ALMA-ATA-B 211029 3600 050000-060000   00    1303.43  681.0   1401.02     0.89    -9999
ALMA-ATA-B 211029 3600 060000-070000   00    1307.54  680.7   1402.54     1.00    -9999
ALMA-ATA-B 211029 3600 070000-080000   00    1307.95  680.6   1401.57     0.93    -9999
ALMA-ATA-B 211029 3600 080000-090000   00    1305.96  680.6   1399.80     0.81    -9999
ALMA-ATA-B 211029 3600 090000-100000   00    1302.67  680.9   1399.01     0.75    -9999
ALMA-ATA-B 211029 3600 100000-110000   00    1293.74  681.4   1394.16     0.40    -9999
ALMA-ATA-B 211029 3600 110000-120000   00    1283.72  681.9   1388.38    -0.02    -9999
ALMA-ATA-B 211029 3600 120000-130000   00    1278.29  682.4   1387.36    -0.09    -9999
ALMA-ATA-B 211029 3600 130000-140000   00    1272.45  682.8   1385.60    -0.22    -9999
ALMA-ATA-B 211029 3600 140000-150000   00    1268.53  683.1   1384.19    -0.32    -9999
ALMA-ATA-B 211029 3600 150000-160000   00    1268.65  683.2   1385.31    -0.24    -9999
ALMA-ATA-B 211029 3600 160000-170000   00    1266.63  683.3   1383.59    -0.36    -9999
ALMA-ATA-B 211029 3600 170000-180000   00    1266.88  683.3   1383.79    -0.35    -9999
ALMA-ATA-B 211029 3600 180000-190000   00    1269.97  683.2   1386.47    -0.15    -9999
ALMA-ATA-B 211029 3600 190000-200000   00    1269.06  683.2   1385.63    -0.22    -9999
ALMA-ATA-B 211029 3600 200000-210000   00    1268.70  683.4   1386.56    -0.15    -9999
ALMA-ATA-B 211029 3600 210000-220000   00    1269.23  683.4   1387.21    -0.10    -9999
ALMA-ATA-B 211029 3600 220000-230000   00    1270.31  683.3   1388.04    -0.04    -9999
ALMA-ATA-B 211029 3600 230000-000000   00    1270.69  683.4   1388.88     0.02    -9999
*
COMMENT  FILE COMPOSED BY ILYA USOSKIN OF THE UNIVERSITY OF OULU
COMMENT  DATA OBTAINED FROM NMDB (30.10.2021)
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-03-30 17:39:06 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE73/C073AATB.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
