APATITY  L LATITUDE    67.55     LONGITUDE     33.33     ALTITUDE    177 M
APATITY  L INSTRUMENT   18NM64    NEUTRON MONITOR	
APATITY  L STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
APATITY  L PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
APATITY  L PRE-INCREASE AVERAGE COUNTING RATE    173.69      COUNTS PER SECOND
APATITY  L TIME INTERVALS    300         3600     
APATITY  L SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
APATITY  L 120517 300  082500-083000   00     176.21 1000.5    176.89     1.80    -9999
APATITY  L 120517 300  083000-083500   00     174.12 1000.5    174.71     0.60    -9999
APATITY  L 120517 300  083500-084000   00     174.38 1000.4    174.87     0.70    -9999
APATITY  L 120517 300  084000-084500   00     173.79 1000.4    174.25     0.30    -9999
APATITY  L 120517 300  084500-085000   00     176.09 1000.3    176.45     1.60    -9999
APATITY  L 120517 300  085000-085500   00     175.49 1000.1    175.68     1.10    -9999
APATITY  L 120517 300  085500-090000   00     173.35 1000.1    173.48    -0.10    -9999
APATITY  L 120517 300  090000-090500   00     175.70 1000.0    175.76     1.20    -9999
APATITY  L 120517 300  090500-091000   00     176.30  999.9    176.18     1.40    -9999
APATITY  L 120517 300  091000-091500   00     175.85  999.8    175.62     1.10    -9999
APATITY  L 120517 300  091500-092000   00     175.73  999.7    175.40     1.00    -9999
APATITY  L 120517 300  092000-092500   00     175.35  999.7    174.92     0.70    -9999
APATITY  L 120517 300  092500-093000   00     174.98  999.6    174.50     0.50    -9999
APATITY  L 120517 300  093000-093500   00     177.39  999.5    176.75     1.80    -9999
APATITY  L 120517 300  093500-094000   00     176.52  999.4    175.70     1.20    -9999
APATITY  L 120517 300  094000-094500   00     174.55  999.3    173.65     0.00    -9999
APATITY  L 120517 300  094500-095000   00     174.98  999.2    173.97     0.20    -9999
APATITY  L 120517 300  095000-095500   00     178.74  999.1    177.57     2.20    -9999
APATITY  L 120517 300  095500-100000   00     178.89  999.0    177.64     2.30    -9999
APATITY  L 120517 300  100000-100500   00     177.73  998.9    176.38     1.50    -9999
APATITY  L 120517 300  100500-101000   00     178.06  999.0    176.72     1.70    -9999
APATITY  L 120517 300  101000-101500   00     176.05  998.9    174.64     0.50    -9999
APATITY  L 120517 300  101500-102000   00     179.71  998.8    178.21     2.60    -9999
APATITY  L 120517 300  102000-102500   00     177.13  998.8    175.66     1.10    -9999
APATITY  L 120517 300  102500-103000   00     178.47  998.9    177.01     1.90    -9999
APATITY  L 120517 300  103000-103500   00     177.28  998.8    175.74     1.20    -9999
APATITY  L 120517 300  103500-104000   00     176.34  998.7    174.75     0.60    -9999
APATITY  L 120517 300  104000-104500   00     177.35  998.7    175.68     1.10    -9999
