KINGSTON   LATITUDE    -42.99    LONGITUDE     147.29    ALTITUDE    65 M
KINGSTON   INSTRUMENT   18NM64    NEUTRON MONITOR	
KINGSTON   STANDARD PRESSURE    1013    mb     COEFFICIENT   -0.71     % / mb
KINGSTON   PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
KINGSTON   PRE-INCREASE AVERAGE COUNTING RATE    207.41      COUNTS PER SECOND
KINGSTON   TIME INTERVALS    300         3600     
KINGSTON   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
KINGSTON   120517 300  113500-114000   00    -999.00 -999.0    206.15    -0.60    -9999
KINGSTON   120517 300  114000-114500   00    -999.00 -999.0    205.50    -0.90    -9999
KINGSTON   120517 300  114500-115000   00    -999.00 -999.0    206.65    -0.40    -9999
KINGSTON   120517 300  115000-115500   00    -999.00 -999.0    204.77    -1.30    -9999
KINGSTON   120517 300  115500-120000   00    -999.00 -999.0    206.42    -0.50    -9999
KINGSTON   120517 300  120000-120500   00    -999.00 -999.0    205.57    -0.90    -9999
KINGSTON   120517 300  120500-121000   00    -999.00 -999.0    203.13    -2.10    -9999
KINGSTON   120517 300  121000-121500   00    -999.00 -999.0    205.37    -1.00    -9999
KINGSTON   120517 300  121500-122000   00    -999.00 -999.0    205.47    -0.90    -9999
KINGSTON   120517 300  122000-122500   00    -999.00 -999.0    206.05    -0.70    -9999
KINGSTON   120517 300  122500-123000   00    -999.00 -999.0    204.98    -1.20    -9999
KINGSTON   120517 300  123000-123500   00    -999.00 -999.0    206.12    -0.60    -9999
KINGSTON   120517 300  123500-124000   00    -999.00 -999.0    204.72    -1.30    -9999
KINGSTON   120517 300  124000-124500   00    -999.00 -999.0    207.90     0.20    -9999
KINGSTON   120517 300  124500-125000   00    -999.00 -999.0    206.87    -0.30    -9999
KINGSTON   120517 300  125000-125500   00    -999.00 -999.0    205.68    -0.80    -9999
KINGSTON   120517 300  125500-130000   00    -999.00 -999.0    203.70    -1.80    -9999
KINGSTON   120517 300  130000-130500   00    -999.00 -999.0    203.45    -1.90    -9999
KINGSTON   120517 300  130500-131000   00    -999.00 -999.0    206.32    -0.50    -9999
