MOSCOW     LATITUDE    55.47     LONGITUDE     37.32     ALTITUDE    200 M
MOSCOW     INSTRUMENT   24NM64    NEUTRON MONITOR	
MOSCOW     STANDARD PRESSURE    991.5   MB     COEFFICIENT   -0.71     % / MB
MOSCOW     PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
MOSCOW     PRE-INCREASE AVERAGE COUNTING RATE    211.16      COUNTS PER SECOND
MOSCOW     TIME INTERVALS    300         3600     
MOSCOW     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MOSCOW     010415 300  204000-204500   00     210.09  993.7    213.37     1.10     0.82
MOSCOW     010415 300  204500-205000   00     209.14  993.7    212.44     0.60     0.31
MOSCOW     010415 300  205000-205500   00     208.02  993.7    211.36     0.10    -0.19
MOSCOW     010415 300  205500-210000   00     209.24  993.8    212.65     0.70     0.40
MOSCOW     010415 300  210000-210500   00     208.80  993.8    212.30     0.50     0.19
MOSCOW     010415 300  210500-211000   00     209.45  993.9    213.01     0.90     0.59
MOSCOW     010415 300  211000-211500   00     210.29  993.9    213.92     1.30     0.98
MOSCOW     010415 300  211500-212000   00     209.42  993.9    213.08     0.90     0.57
MOSCOW     010415 300  212000-212500   00     208.95  994.0    212.64     0.70     0.37
MOSCOW     010415 300  212500-213000   00     207.89  994.0    211.61     0.20    -0.14
MOSCOW     010415 300  213000-213500   00     209.12  994.0    212.90     0.80     0.46
MOSCOW     010415 300  213500-214000   00     208.95  994.0    212.76     0.80     0.45
MOSCOW     010415 300  214000-214500   00     207.61  994.0    211.43     0.10    -0.26
MOSCOW     010415 300  214500-215000   00     206.97  994.1    210.81    -0.20    -0.56
MOSCOW     010415 300  215000-215500   00     208.37  994.1    212.26     0.50     0.13
MOSCOW     010415 300  215500-220000   00     209.38  994.1    213.33     1.00     0.62
MOSCOW     010415 300  220000-220500   00     208.04  994.1    211.98     0.40     0.02
MOSCOW     010415 300  220500-221000   00     207.48  994.1    211.44     0.10    -9999
MOSCOW     010415 300  221000-221500   00     208.98  994.2    212.99     0.90    -9999
MOSCOW     010415 300  221500-222000   00     207.50  994.2    211.50     0.20    -9999
MOSCOW     010415 300  222000-222500   00     207.97  994.2    211.99     0.40    -9999
MOSCOW     010415 300  222500-223000   00     209.26  994.2    213.32     1.00    -9999
MOSCOW     010415 300  223000-223500   00     208.42  994.2    212.48     0.60    -9999
MOSCOW     010415 300  223500-224000   00     206.49  994.2    210.53    -0.30    -9999
MOSCOW     010415 300  224000-224500   00     210.00  994.2    214.12     1.40    -9999
MOSCOW     010415 300  224500-225000   00     207.32  994.2    211.39     0.10    -9999
MOSCOW     010415 300  225000-225500   00     208.34  994.2    212.43     0.60    -9999
MOSCOW     010415 300  225500-230000   00     208.24  994.2    212.34     0.50    -9999
MOSCOW     010415 300  230000-230500   00     207.52  994.2    211.59     0.20    -9999
MOSCOW     010415 300  230500-231000   00     207.29  994.2    211.35     0.10    -9999
MOSCOW     010415 300  231000-231500   00     206.26  994.2    210.30    -0.40    -9999
MOSCOW     010415 300  231500-232000   00     207.99  994.2    212.06     0.40    -9999
MOSCOW     010415 300  232000-232500   00     209.02  994.2    213.10     0.90    -9999
MOSCOW     010415 300  232500-233000   00     206.68  994.2    210.72    -0.20    -9999
MOSCOW     010415 300  233000-233500   00     206.63  994.2    210.66    -0.30    -9999
MOSCOW     010415 300  233500-234000   00     209.88  994.2    213.97     1.30    -9999
MOSCOW     010415 300  234000-234500   00     210.02  994.2    214.10     1.40    -9999
MOSCOW     010415 300  234500-235000   00     206.76  994.2    210.77    -0.20    -9999
MOSCOW     010415 300  235000-235500   00     208.61  994.2    212.64     0.70    -9999
MOSCOW     010415 300  235500-240000   00     208.83  994.2    212.86     0.80    -9999
MOSCOW     010416 3600 000000-010000   00     208.15  994.1    212.06     0.40    -9999
MOSCOW     010416 3600 010000-020000   00     208.78  994.3    213.00     0.90    -9999
MOSCOW     010416 3600 020000-030000   00     208.93  994.3    213.16     0.90    -9999
MOSCOW     010416 3600 030000-040000   00     208.85  994.2    212.92     0.80    -9999
MOSCOW     010416 3600 040000-050000   00     209.45  994.3    213.68     1.20    -9999
MOSCOW     010416 3600 050000-060000   00     209.60  994.2    213.68     1.20    -9999
MOSCOW     010416 3600 060000-070000   00     210.00  994.1    213.94     1.30    -9999
MOSCOW     010416 3600 070000-080000   00     210.70  993.9    214.34     1.50    -9999
MOSCOW     010416 3600 080000-090000   00     209.91  993.7    213.24     1.00    -9999
MOSCOW     010416 3600 090000-100000   00     212.38  993.5    215.44     2.00    -9999
MOSCOW     010416 3600 100000-110000   00     213.21  993.3    215.97     2.30    -9999
MOSCOW     010416 3600 110000-120000   00     214.07  992.8    216.07     2.30    -9999
MOSCOW     010416 3600 120000-130000   00     214.16  992.5    215.69     2.10    -9999
MOSCOW     010416 3600 130000-140000   00     213.96  992.3    215.18     1.90    -9999
MOSCOW     010416 3600 140000-150000   00     214.22  992.1    215.14     1.90    -9999
MOSCOW     010416 3600 150000-160000   00     213.69  991.9    214.30     1.50    -9999
MOSCOW     010416 3600 160000-170000   00     213.54  991.8    214.00     1.30    -9999
MOSCOW     010416 3600 170000-180000   00     212.73  991.8    213.18     1.00    -9999
MOSCOW     010416 3600 180000-190000   00     212.66  991.9    213.27     1.00    -9999
MOSCOW     010416 3600 190000-200000   00     212.63  991.7    212.93     0.80    -9999
MOSCOW     010416 3600 200000-210000   00     213.57  991.6    213.73     1.20    -9999
MOSCOW     010416 3600 210000-220000   00     214.01  991.2    213.55     1.10    -9999
MOSCOW     010416 3600 220000-230000   00     213.77  991.2    213.32     1.00    -9999
MOSCOW     010416 3600 230000-240000   00     213.27  991.3    212.97     0.90    -9999
*
*	
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-04-05 10:02:56 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE60/C060MOSC_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
