JUNGFRAU1  LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3570 M
JUNGFRAU1  INSTRUMENT   IGY     NEUTRON MONITOR
JUNGFRAU1  STANDARD PRESSURE    641.06  MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU1  PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
JUNGFRAU1  PRE-INCREASE AVERAGE COUNTING RATE    352.70      COUNTS PER SECOND
JUNGFRAU1  TIME INTERVALS    300         3600     
JUNGFRAU1  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU1  120517 300  115000-115500   00     304.59  664.8    356.56     1.10    -9999
JUNGFRAU1  120517 300  115500-120000   00     306.39  664.8    358.61     1.70    -9999
JUNGFRAU1  120517 300  120000-120500   00     304.69  664.9    356.95     1.20    -9999
JUNGFRAU1  120517 300  120500-121000   00     304.89  664.9    357.15     1.30    -9999
JUNGFRAU1  120517 300  121000-121500   00     304.94  664.9    357.19     1.30    -9999
JUNGFRAU1  120517 300  121500-122000   00     302.77  664.9    354.70     0.60    -9999
JUNGFRAU1  120517 300  122000-122500   00     305.35  664.9    357.74     1.40    -9999
JUNGFRAU1  120517 300  122500-123000   00     306.44  665.0    359.10     1.80    -9999
JUNGFRAU1  120517 300  123000-123500   00     305.84  665.0    358.53     1.70    -9999
JUNGFRAU1  120517 300  123500-124000   00     306.80  665.0    359.64     2.00    -9999
JUNGFRAU1  120517 300  124000-124500   00     304.61  665.0    357.14     1.30    -9999
JUNGFRAU1  120517 300  124500-125000   00     304.34  665.0    356.74     1.10    -9999
JUNGFRAU1  120517 300  125000-125500   00     307.76  665.0    360.86     2.30    -9999
JUNGFRAU1  120517 300  125500-130000   00     304.51  665.1    357.15     1.30    -9999
JUNGFRAU1  120517 300  130000-130500   00     302.44  665.1    354.81     0.60    -9999
JUNGFRAU1  120517 300  130500-131000   00     305.06  665.1    357.86     1.50    -9999
JUNGFRAU1  120517 300  131000-131500   00     303.50  665.1    356.05     0.90    -9999
JUNGFRAU1  120517 300  131500-132000   00     306.04  665.1    359.05     1.80    -9999
JUNGFRAU1  120517 300  132000-132500   00     303.02  665.1    355.49     0.80    -9999
JUNGFRAU1  120517 300  132500-133000   00     306.56  665.1    359.64     2.00    -9999
JUNGFRAU1  120517 300  133000-133500   00     303.83  665.1    356.45     1.10    -9999
