SOUTH POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH POLE INSTRUMENT   3NM64    NEUTRON MONITOR     	
SOUTH POLE STANDARD PRESSURE    680     mb     COEFFICIENT   -0.69     % / mb
SOUTH POLE PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
SOUTH POLE PRE-INCREASE AVERAGE COUNTING RATE    301.39      COUNTS PER SECOND
SOUTH POLE TIME INTERVALS    300         3600     
SOUTH POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
SOUTH POLE 120517 300  064500-065000   00     297.94  682.5    303.62     0.70     0.52
SOUTH POLE 120517 300  065000-065500   00     296.77  682.5    302.33     0.30     0.12
SOUTH POLE 120517 300  065500-070000   00     298.26  682.5    303.88     0.80     0.61
SOUTH POLE 120517 300  070000-070500   00     300.27  682.5    305.92     1.50     1.31
SOUTH POLE 120517 300  070500-071000   00     295.77  682.5    301.33     0.00    -0.19
SOUTH POLE 120517 300  071000-071500   00     295.66  682.4    301.12    -0.10    -0.29
SOUTH POLE 120517 300  071500-072000   00     297.84  682.4    303.31     0.60     0.40
SOUTH POLE 120517 300  072000-072500   00     296.92  682.4    302.29     0.30     0.10
SOUTH POLE 120517 300  072500-073000   00     299.27  682.4    304.69     1.10     0.90
SOUTH POLE 120517 300  073000-073500   00     300.03  682.4    305.43     1.30     1.10
SOUTH POLE 120517 300  073500-074000   00     300.01  682.3    305.25     1.30     1.09
SOUTH POLE 120517 300  074000-074500   00     293.92  682.3    299.04    -0.80    -1.01
SOUTH POLE 120517 300  074500-075000   00     299.79  682.3    305.00     1.20     0.99
SOUTH POLE 120517 300  075000-075500   00     298.50  682.2    303.62     0.70     0.49
SOUTH POLE 120517 300  075500-080000   00     299.21  682.2    304.24     0.90     0.68
SOUTH POLE 120517 300  080000-080500   00     297.75  682.1    302.64     0.40     0.18
SOUTH POLE 120517 300  080500-081000   00     297.18  682.1    302.03     0.20    -9999
SOUTH POLE 120517 300  081000-081500   00     295.64  682.1    300.39    -0.30    -9999
SOUTH POLE 120517 300  081500-082000   00     297.50  682.1    302.19     0.30    -9999
SOUTH POLE 120517 300  082000-082500   00     298.55  682.0    303.21     0.60    -9999
SOUTH POLE 120517 300  082500-083000   00     297.47  682.0    302.10     0.20    -9999
SOUTH POLE 120517 300  083000-083500   00     295.69  682.0    300.29    -0.40    -9999
SOUTH POLE 120517 300  083500-084000   00     296.94  682.0    301.51     0.00    -9999
SOUTH POLE 120517 300  084000-084500   00     298.65  681.9    303.02     0.50    -9999
SOUTH POLE 120517 300  084500-085000   00     296.84  681.8    300.96    -0.10    -9999
SOUTH POLE 120517 300  085000-085500   00     298.05  681.8    302.22     0.30    -9999
SOUTH POLE 120517 300  085500-090000   00     295.64  681.9    299.88    -0.50    -9999
SOUTH POLE 120517 300  090000-090500   00     297.22  681.8    301.43     0.00    -9999
SOUTH POLE 120517 300  090500-091000   00     295.70  681.8    299.84    -0.50    -9999
SOUTH POLE 120517 300  091000-091500   00     298.09  681.8    302.26     0.30    -9999
SOUTH POLE 120517 300  091500-092000   00     299.33  681.8    303.50     0.70    -9999
SOUTH POLE 120517 300  092000-092500   00     299.07  681.8    303.11     0.60    -9999
SOUTH POLE 120517 300  092500-093000   00     298.74  681.7    302.69     0.40    -9999
SOUTH POLE 120517 300  093000-093500   00     299.56  681.7    303.40     0.70    -9999
SOUTH POLE 120517 300  093500-094000   00     293.94  681.6    297.65    -1.20    -9999
SOUTH POLE 120517 300  094000-094500   00     298.72  681.6    302.41     0.30    -9999
SOUTH POLE 120517 300  094500-095000   00     297.21  681.6    300.85    -0.20    -9999
SOUTH POLE 120517 300  095000-095500   00     300.62  681.5    304.20     0.90    -9999
SOUTH POLE 120517 300  095500-100000   00     300.09  681.6    303.69     0.80    -9999
SOUTH POLE 120517 300  100000-100500   00     297.21  681.6    300.77    -0.20    -9999
SOUTH POLE 120517 300  100500-101000   00     298.18  681.5    301.69     0.10    -9999
SOUTH POLE 120517 300  101000-101500   00     299.82  681.6    303.40     0.70    -9999
