TIXIE BAY  LATITUDE    71.6      LONGITUDE     128.9     ALTITUDE    0 M
TIXIE BAY  INSTRUMENT   18NM64    NEUTRON MONITOR     	
TIXIE BAY  STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.72     % / mb
TIXIE BAY  PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
TIXIE BAY  PRE-INCREASE AVERAGE COUNTING RATE     99.34      COUNTS PER SECOND
TIXIE BAY  TIME INTERVALS    300         3600     
TIXIE BAY  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
TIXIE BAY  120517 300  131000-131500   00     107.23  999.1     98.37    -1.00    -9999
TIXIE BAY  120517 300  131500-132000   00     107.63  999.2     98.75    -0.60    -9999
TIXIE BAY  120517 300  132000-132500   00     107.28  999.2     98.51    -0.80    -9999
TIXIE BAY  120517 300  132500-133000   00     108.24  999.2     99.41     0.10    -9999
TIXIE BAY  120517 300  133000-133500   00     109.07  999.3    100.16     0.80    -9999
TIXIE BAY  120517 300  133500-134000   00     106.27  999.3     97.68    -1.70    -9999
TIXIE BAY  120517 300  134000-134500   00     107.73  999.4     99.04    -0.30    -9999
TIXIE BAY  120517 300  134500-135000   00     108.43  999.5     99.73     0.40    -9999
TIXIE BAY  120517 300  135000-135500   00     107.33  999.6     98.83    -0.50    -9999
TIXIE BAY  120517 300  135500-140000   00     107.81  999.7     99.33     0.00    -9999
TIXIE BAY  120517 300  140000-140500   00     106.96  999.8     98.61    -0.70    -9999
TIXIE BAY  120517 300  140500-141000   00     108.21  999.9     99.84     0.50    -9999
TIXIE BAY  120517 300  141000-141500   00     106.72 1000.0     98.53    -0.80    -9999
TIXIE BAY  120517 300  141500-142000   00     105.76 1000.1     97.73    -1.60    -9999
TIXIE BAY  120517 300  142000-142500   00     106.93 1000.2     98.85    -0.50    -9999
TIXIE BAY  120517 300  142500-143000   00     107.84 1000.2     99.68     0.30    -9999
TIXIE BAY  120517 300  143000-143500   00     106.72 1000.3     98.69    -0.70    -9999
TIXIE BAY  120517 300  143500-144000   00     107.39 1000.3     99.33     0.00    -9999
TIXIE BAY  120517 300  144000-144500   00     106.56 1000.3     98.61    -0.70    -9999
TIXIE BAY  120517 300  144500-145000   00     107.65 1000.3     99.63     0.30    -9999
TIXIE BAY  120517 300  145000-145500   00     105.60 1000.4     97.73    -1.60    -9999
TIXIE BAY  120517 300  145500-150000   00     106.03 1000.4     98.19    -1.20    -9999
TIXIE BAY  120517 300  150000-150500   00     107.52 1000.5     99.63     0.30    -9999
TIXIE BAY  120517 300  150500-151000   00     105.73 1000.6     98.03    -1.30    -9999
TIXIE BAY  120517 300  151000-151500   00     107.01 1000.5     99.15    -0.20    -9999
TIXIE BAY  120517 300  151500-152000   00     106.75 1000.5     98.85    -0.50    -9999
TIXIE BAY  120517 300  152000-152500   00     107.39 1000.6     99.55     0.20    -9999
TIXIE BAY  120517 300  152500-153000   00     107.23 1000.6     99.41     0.10    -9999
TIXIE BAY  120517 300  153000-153500   00     104.91 1000.6     97.28    -2.10    -9999
