TSUMEB     LATITUDE    -19.2     LONGITUDE     17.6      ALTITUDE    1240 M
TSUMEB     INSTRUMENT   18NM64    NEUTRON MONITOR     
TSUMEB     STANDARD PRESSURE    660     MMHG   COEFFICIENT   0.935     % / MMHG
TSUMEB     PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
TSUMEB     PRE-INCREASE AVERAGE COUNTING RATE    348.81      COUNTS PER SECOND
TSUMEB     TIME INTERVALS    300         3600     
TSUMEB     SCALE FACTORS     1.066       1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
TSUMEB     061213 300  174000-174500   00     357.90  657.1    348.33    -0.20    -9999
TSUMEB     061213 300  174500-175000   00     357.03  657.1    347.61    -0.40    -9999
TSUMEB     061213 300  175000-175500   00     362.91  657.2    353.53     1.40    -9999
TSUMEB     061213 300  175500-180000   00     354.91  657.2    345.73    -0.90    -9999
TSUMEB     061213 300  180000-180500   00     360.42  657.2    351.24     0.70    -9999
TSUMEB     061213 300  180500-181000   00     358.54  657.3    349.60     0.20    -9999
TSUMEB     061213 300  181000-181500   00     359.47  657.3    350.64     0.50    -9999
TSUMEB     061213 300  181500-182000   00     361.65  657.4    352.97     1.20    -9999
TSUMEB     061213 300  182000-182500   00     359.51  657.5    351.07     0.60    -9999
TSUMEB     061213 300  182500-183000   00     359.32  657.5    351.02     0.60    -9999
TSUMEB     061213 300  183000-183500   00     361.84  657.5    353.61     1.40    -9999
TSUMEB     061213 300  183500-184000   00     355.70  657.6    347.81    -0.30    -9999
TSUMEB     061213 300  184000-184500   00     357.51  657.6    349.71     0.30    -9999
TSUMEB     061213 300  184500-185000   00     351.25  657.7    343.78    -1.40    -9999
TSUMEB     061213 300  185000-185500   00     355.63  657.7    348.06    -0.20    -9999
TSUMEB     061213 300  185500-190000   00     357.11  657.7    349.51     0.20    -9999
TSUMEB     061213 300  190000-190500   00     358.64  657.7    351.01     0.70    -9999
TSUMEB     061213 300  190500-191000   00     354.53  657.8    347.31    -0.40    -9999
TSUMEB     061213 300  191000-191500   00     355.07  657.8    347.84    -0.30    -9999
TSUMEB     061213 300  191500-192000   00     357.91  657.9    350.82     0.60    -9999
TSUMEB     061213 300  192000-192500   00     357.94  657.9    351.11     0.60    -9999
TSUMEB     061213 300  192500-193000   00     357.70  658.0    351.07     0.60    -9999
TSUMEB     061213 300  193000-193500   00     356.62  658.0    350.01     0.30    -9999
TSUMEB     061213 300  193500-194000   00     353.14  658.1    346.92    -0.50    -9999
TSUMEB     061213 300  194000-194500   00     353.12  658.1    346.90    -0.50    -9999
TSUMEB     061213 300  194500-195000   00     356.34  658.1    350.19     0.40    -9999
TSUMEB     061213 300  195000-195500   00     352.79  658.2    346.90    -0.50    -9999
TSUMEB     061213 300  195500-200000   00     358.10  658.2    352.13     1.00    -9999
TSUMEB     061213 300  200000-200500   00     356.84  658.3    351.08     0.60    -9999
TSUMEB     061213 300  200500-201000   00     357.24  658.3    351.61     0.80    -9999
TSUMEB     061213 300  201000-201500   00     352.91  658.4    347.61    -0.30    -9999
TSUMEB     061213 300  201500-202000   00     356.97  658.4    351.67     0.80    -9999
TSUMEB     061213 300  202000-202500   00     354.66  658.4    349.40     0.10    -9999
TSUMEB     061213 300  202500-203000   00     352.09  658.4    346.99    -0.50    -9999
TSUMEB     061213 300  203000-203500   00     351.24  658.5    346.35    -0.70    -9999
TSUMEB     061213 300  203500-204000   00     352.19  658.5    347.29    -0.40    -9999
TSUMEB     061213 300  204000-204500   00     350.93  658.5    346.17    -0.80    -9999
TSUMEB     061213 300  204500-205000   00     349.02  658.6    344.48    -1.20    -9999
TSUMEB     061213 300  205000-205500   00     354.75  658.6    350.14     0.40    -9999
TSUMEB     061213 300  205500-210000   00     352.27  658.6    347.75    -0.30    -9999
TSUMEB     061213 300  210000-210500   00     352.33  658.6    347.75    -0.30    -9999
TSUMEB     061213 300  210500-211000   00     353.81  658.6    349.27     0.10    -9999
TSUMEB     061213 300  211000-211500   00     356.90  658.7    352.58     1.10    -9999
TSUMEB     061213 300  211500-212000   00     351.57  658.7    347.32    -0.40    -9999
TSUMEB     061213 300  212000-212500   00     352.08  658.7    347.83    -0.30    -9999
TSUMEB     061213 300  212500-213000   00     351.68  658.7    347.30    -0.40    -9999
TSUMEB     061213 300  213000-213500   00     351.14  658.7    346.89    -0.60    -9999
TSUMEB     061213 300  213500-214000   00     354.18  658.7    349.90     0.30    -9999
TSUMEB     061213 300  214000-214500   00     351.88  658.7    347.63    -0.30    -9999
TSUMEB     061213 300  214500-215000   00     353.84  658.7    349.57     0.20    -9999
TSUMEB     061213 300  215000-215500   00     354.69  658.6    350.14     0.40    -9999
TSUMEB     061213 300  215500-220000   00     352.00  658.7    347.68    -0.30    -9999
TSUMEB     061213 300  220000-220500   00     353.29  658.6    348.70     0.00    -9999
TSUMEB     061213 300  220500-221000   00     353.49  658.6    348.89     0.00    -9999
TSUMEB     061213 300  221000-221500   00     353.95  658.5    349.15     0.10    -9999
TSUMEB     061213 300  221500-222000   00     347.25  658.5    342.55    -1.80    -9999
TSUMEB     061213 300  222000-222500   00     350.29  658.5    345.54    -0.90    -9999
TSUMEB     061213 300  222500-223000   00     356.92  658.5    352.08     0.90    -9999
TSUMEB     061213 300  223000-223500   00     355.76  658.5    350.81     0.60    -9999
TSUMEB     061213 300  223500-224000   00     353.79  658.5    348.79     0.00    -9999
TSUMEB     061213 300  224000-224500   00     354.65  658.4    349.38     0.10    -9999
TSUMEB     061213 300  224500-225000   00     357.30  658.4    351.99     0.90    -9999
TSUMEB     061213 300  225000-225500   00     351.93  658.3    346.51    -0.70    -9999
TSUMEB     061213 300  225500-230000   00     352.26  658.3    346.71    -0.60    -9999
TSUMEB     061213 300  230000-230500   00     355.77  658.3    350.16     0.40    -9999
TSUMEB     061213 300  230500-231000   00     352.34  658.2    346.59    -0.60    -9999
TSUMEB     061213 300  231000-231500   00     353.58  658.2    347.54    -0.40    -9999
