YAKUTSK    LATITUDE    62.02     LONGITUDE     129.72    ALTITUDE    105 M
YAKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
YAKUTSK    STANDARD PRESSURE    991.6   mb     COEFFICIENT   -0.72     % / mb
YAKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
YAKUTSK    PRE-INCREASE AVERAGE COUNTING RATE     10.97      COUNTS PER SECOND
YAKUTSK    TIME INTERVALS    300         3600     
YAKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
YAKUTSK    031029 300  041000-041500   00      10.93  998.7     11.51     4.90     4.90
YAKUTSK    031029 300  041500-042000   00      10.90  998.7     11.47     4.60     4.60
YAKUTSK    031029 300  042000-042500   00      10.85  998.7     11.42     4.20     4.20
YAKUTSK    031029 300  042500-043000   00      10.75  998.8     11.32     3.20     3.20
YAKUTSK    031029 300  043000-043500   00      10.75  998.8     11.32     3.20     3.20
YAKUTSK    031029 300  043500-044000   00      10.80  998.8     11.38     3.80     3.80
YAKUTSK    031029 300  044000-044500   00      10.80  998.9     11.38     3.80     3.80
YAKUTSK    031029 300  044500-045000   00      10.95  998.9     11.54     5.20     5.20
YAKUTSK    031029 300  045000-045500   00      10.73  998.9     11.32     3.20     3.20
YAKUTSK    031029 300  045500-050000   00      10.90  999.0     11.49     4.80     4.80
YAKUTSK    031029 300  050000-050500   00      10.75  999.0     11.34     3.40     3.40
YAKUTSK    031029 300  050500-051000   00      10.78  999.0     11.38     3.70     3.70
YAKUTSK    031029 300  051000-051500   00      10.82  999.0     11.41     4.10     4.10
YAKUTSK    031029 300  051500-052000   00      10.87  999.1     11.47     4.60     4.60
YAKUTSK    031029 300  052000-052500   00      10.82  999.1     11.41     4.10     4.10
YAKUTSK    031029 300  052500-053000   00      10.87  999.1     11.47     4.60     4.60
YAKUTSK    031029 300  053000-053500   00      10.88  999.1     11.49     4.80     4.80
YAKUTSK    031029 300  053500-054000   00      10.88  999.1     11.49     4.80     4.80
YAKUTSK    031029 300  054000-054500   00      10.88  999.1     11.49     4.80     4.80
YAKUTSK    031029 300  054500-055000   00      10.73  999.2     11.33     3.30     3.30
YAKUTSK    031029 300  055000-055500   00      10.75  999.2     11.35     3.50     3.50
YAKUTSK    031029 300  055500-060000   00      10.60  999.2     11.20     2.10     2.10
YAKUTSK    031029 300  060000-060500   00      10.75  999.2     11.36     3.50     3.50
YAKUTSK    031029 300  060500-061000   00      10.83  999.2     11.45     4.40     4.40
YAKUTSK    031029 300  061000-061500   00      10.95  999.3     11.57     5.50     5.50
YAKUTSK    031029 300  061500-062000   00      10.73  999.3     11.35     3.50     3.50
YAKUTSK    031029 300  062000-062500   00      10.80  999.3     11.42     4.10     4.10
YAKUTSK    031029 300  062500-063000   00      10.77  999.4     11.39     3.80     3.80
YAKUTSK    031029 300  063000-063500   00      10.87  999.4     11.50     4.80    -9999
YAKUTSK    031029 300  063500-064000   00      10.63  999.4     11.25     2.60    -9999
YAKUTSK    031029 300  064000-064500   00      10.30  999.5     10.90    -0.60    -9999
YAKUTSK    031029 300  064500-065000   00      10.25  999.5     10.85    -1.10    -9999
YAKUTSK    031029 300  065000-065500   00      10.42  999.5     11.03     0.60    -9999
YAKUTSK    031029 300  065500-070000   00      10.40  999.6     11.02     0.40    -9999
