ALMA-ATA-B LATITUDE    43.14     LONGITUDE     76.6      ALTITUDE    3340 M
ALMA-ATA-B INSTRUMENT   18-NM-64  NEUTRON MONITOR
ALMA-ATA-B STANDARD PRESSURE    679.3   MB     COEFFICIENT   -0.72     % / MB
ALMA-ATA-B PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
ALMA-ATA-B PRE-INCREASE AVERAGE COUNTING RATE  1,138.36      COUNTS PER SECOND
ALMA-ATA-B TIME INTERVALS    60          3600     
ALMA-ATA-B SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ALMA-ATA-B 000714 60   104300-104400   00    1121.87  679.0   1119.07    -1.70    -9999
ALMA-ATA-B 000714 60   104400-104500   00    1145.73  679.0   1142.85     0.40    -9999
ALMA-ATA-B 000714 60   104500-104600   00    1140.93  678.9   1138.03     0.00    -9999
ALMA-ATA-B 000714 60   104600-104700   00    1140.53  678.9   1137.60    -0.10    -9999
ALMA-ATA-B 000714 60   104700-104800   00    1141.07  678.9   1138.10     0.00    -9999
ALMA-ATA-B 000714 60   104800-104900   00    1148.00  678.9   1144.99     0.60    -9999
ALMA-ATA-B 000714 60   104900-105000   00    1128.93  678.9   1125.94    -1.10    -9999
ALMA-ATA-B 000714 60   105000-105100   00    1148.93  678.9   1145.86     0.70    -9999
ALMA-ATA-B 000714 60   105100-105200   00    1139.07  678.9   1135.99    -0.20    -9999
ALMA-ATA-B 000714 60   105200-105300   00    1144.53  678.9   1141.41     0.30    -9999
ALMA-ATA-B 000714 60   105300-105400   00    1150.80  678.9   1147.63     0.80    -9999
ALMA-ATA-B 000714 60   105400-105500   00    1132.13  678.9   1128.99    -0.80    -9999
ALMA-ATA-B 000714 60   105500-105600   00    1122.80  678.9   1119.65    -1.60    -9999
ALMA-ATA-B 000714 60   105600-105700   00    1144.80  678.9   1141.56     0.30    -9999
ALMA-ATA-B 000714 60   105700-105800   00    1142.93  678.9   1139.67     0.10    -9999
ALMA-ATA-B 000714 60   105800-105900   00    1140.80  678.9   1137.51    -0.10    -9999
ALMA-ATA-B 000714 60   105900-110000   00    1152.27  678.9   1148.92     0.90    -9999
ALMA-ATA-B 000714 60   110000-110100   00    1136.67  678.9   1133.34    -0.40    -9999
ALMA-ATA-B 000714 60   110100-110200   00    1151.60  678.9   1148.20     0.90    -9999
ALMA-ATA-B 000714 60   110200-110300   00    1128.93  678.9   1125.57    -1.10    -9999
ALMA-ATA-B 000714 60   110300-110400   00    1140.13  678.9   1136.71    -0.10    -9999
ALMA-ATA-B 000714 60   110400-110500   00    1126.93  678.9   1123.52    -1.30    -9999
ALMA-ATA-B 000714 60   110500-110600   00    1137.87  678.9   1134.40    -0.30    -9999
ALMA-ATA-B 000714 60   110600-110700   00    1148.40  678.9   1144.87     0.60    -9999
ALMA-ATA-B 000714 60   110700-110800   00    1144.27  678.9   1140.73     0.20    -9999
ALMA-ATA-B 000714 60   110800-110900   00    1150.67  678.9   1147.08     0.80    -9999
ALMA-ATA-B 000714 60   110900-111000   00    1138.80  678.9   1135.22    -0.30    -9999
ALMA-ATA-B 000714 60   111000-111100   00    1134.40  678.9   1130.81    -0.70    -9999
ALMA-ATA-B 000714 60   111100-111200   00    1145.60  678.9   1141.95     0.30    -9999
ALMA-ATA-B 000714 60   111200-111300   00    1138.80  678.9   1135.15    -0.30    -9999
ALMA-ATA-B 000714 60   111300-111400   00    1146.13  678.9   1142.43     0.40    -9999
ALMA-ATA-B 000714 60   111400-111500   00    1140.80  678.8   1137.09    -0.10    -9999
ALMA-ATA-B 000714 60   111500-111600   00    1135.47  678.8   1131.75    -0.60    -9999
ALMA-ATA-B 000714 60   111600-111700   00    1135.07  678.8   1131.33    -0.60    -9999
ALMA-ATA-B 000714 60   111700-111800   00    1148.67  678.8   1144.86     0.60    -9999
ALMA-ATA-B 000714 60   111800-111900   00    1146.00  678.8   1142.18     0.30    -9999
ALMA-ATA-B 000714 60   111900-112000   00    1136.53  678.8   1132.72    -0.50    -9999
ALMA-ATA-B 000714 60   112000-112100   00    1149.33  678.8   1145.46     0.60    -9999
ALMA-ATA-B 000714 60   112100-112200   00    1128.27  678.8   1124.44    -1.20    -9999
ALMA-ATA-B 000714 60   112200-112300   00    1139.73  678.8   1135.84    -0.20    -9999
ALMA-ATA-B 000714 60   112300-112400   00    1124.00  678.8   1120.14    -1.60    -9999
ALMA-ATA-B 000714 60   112400-112500   00    1136.53  678.8   1132.61    -0.50    -9999
ALMA-ATA-B 000714 60   112500-112600   00    1120.00  678.8   1116.11    -2.00    -9999
ALMA-ATA-B 000714 60   112600-112700   00    1137.20  678.8   1133.23    -0.50    -9999
ALMA-ATA-B 000714 60   112700-112800   00    1160.67  678.8   1156.59     1.60    -9999
ALMA-ATA-B 000714 60   112800-112900   00    1133.20  678.8   1129.20    -0.80    -9999
ALMA-ATA-B 000714 60   112900-113000   00    1149.47  678.8   1145.39     0.60    -9999
ALMA-ATA-B 000714 60   113000-113100   00    1140.67  678.8   1136.60    -0.20    -9999
ALMA-ATA-B 000714 60   113100-113200   00    1123.20  678.8   1119.17    -1.70    -9999
ALMA-ATA-B 000714 60   113200-113300   00    1149.20  678.8   1145.06     0.60    -9999
ALMA-ATA-B 000714 60   113300-113400   00    1152.67  678.8   1148.49     0.90    -9999
ALMA-ATA-B 000714 60   113400-113500   00    1128.53  678.8   1124.43    -1.20    -9999
ALMA-ATA-B 000714 60   113500-113600   00    1133.73  678.8   1129.59    -0.80    -9999
ALMA-ATA-B 000714 60   113600-113700   00    1143.73  678.8   1139.53     0.10    -9999
ALMA-ATA-B 000714 60   113700-113800   00    1152.00  678.8   1147.75     0.80    -9999
ALMA-ATA-B 000714 60   113800-113900   00    1138.40  678.8   1134.18    -0.40    -9999
ALMA-ATA-B 000714 60   113900-114000   00    1153.87  678.8   1149.57     1.00    -9999
ALMA-ATA-B 000714 60   114000-114100   00    1142.93  678.8   1138.66     0.00    -9999
ALMA-ATA-B 000714 60   114100-114200   00    1153.20  678.8   1148.87     0.90    -9999
ALMA-ATA-B 000714 60   114200-114300   00    1148.00  678.8   1143.67     0.50    -9999
ALMA-ATA-B 000714 60   114300-114400   00    1143.20  678.8   1138.87     0.00    -9999
ALMA-ATA-B 000714 60   114400-114500   00    1136.00  678.8   1131.68    -0.60    -9999
ALMA-ATA-B 000714 60   114500-114600   00    1145.47  678.8   1141.09     0.20    -9999
ALMA-ATA-B 000714 60   114600-114700   00    1143.20  678.8   1138.82     0.00    -9999
ALMA-ATA-B 000714 60   114700-114800   00    1158.00  678.8   1153.54     1.30    -9999
ALMA-ATA-B 000714 60   114800-114900   00    1165.60  678.8   1161.10     2.00    -9999
