EREVAN     LATITUDE    40.5      LONGITUDE     44.17     ALTITUDE    2000 M
EREVAN     INSTRUMENT   18NM64    NEUTRON MONITOR     
EREVAN     STANDARD PRESSURE    792.8   mb     COEFFICIENT   -0.71     % / mb
EREVAN     PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
EREVAN     PRE-INCREASE AVERAGE COUNTING RATE     22.79      COUNTS PER SECOND
EREVAN     TIME INTERVALS    300         3600     
EREVAN     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
EREVAN     031029 300  041500-042000   00      23.02  792.7     23.01     1.00    -9999
EREVAN     031029 300  042000-042500   00      23.12  792.8     23.12     1.40    -9999
EREVAN     031029 300  042500-043000   00      23.22  792.9     23.24     2.00    -9999
EREVAN     031029 300  043000-043500   00      23.22  793.0     23.25     2.00    -9999
EREVAN     031029 300  043500-044000   00      23.16  793.1     23.21     1.80    -9999
EREVAN     031029 300  044000-044500   00      23.16  793.2     23.22     1.90    -9999
EREVAN     031029 300  044500-045000   00      23.27  793.3     23.35     2.50    -9999
EREVAN     031029 300  045000-045500   00      23.39  793.4     23.48     3.00    -9999
EREVAN     031029 300  045500-050000   00      23.32  793.4     23.42     2.80    -9999
EREVAN     031029 300  050000-050500   00      23.31  793.5     23.43     2.80    -9999
EREVAN     031029 300  050500-051000   00      23.12  793.6     23.25     2.00    -9999
EREVAN     031029 300  051000-051500   00      23.21  793.6     23.35     2.50    -9999
EREVAN     031029 300  051500-052000   00      23.39  793.6     23.53     3.30    -9999
EREVAN     031029 300  052000-052500   00      23.29  793.7     23.43     2.80    -9999
EREVAN     031029 300  052500-053000   00      23.20  793.7     23.36     2.50    -9999
EREVAN     031029 300  053000-053500   00      23.18  793.8     23.34     2.40    -9999
EREVAN     031029 300  053500-054000   00      23.23  793.8     23.40     2.70    -9999
EREVAN     031029 300  054000-054500   00      23.22  793.8     23.39     2.60    -9999
EREVAN     031029 300  054500-055000   00      23.26  793.9     23.44     2.90    -9999
EREVAN     031029 300  055000-055500   00      23.11  793.9     23.30     2.20    -9999
EREVAN     031029 300  055500-060000   00      23.17  794.0     23.37     2.50    -9999
EREVAN     031029 300  060000-060500   00      23.04  794.0     23.24     2.00    -9999
EREVAN     031029 300  060500-061000   00      23.22  794.0     23.42     2.80    -9999
EREVAN     031029 300  061000-061500   00      23.08  794.0     23.29     2.20    -9999
EREVAN     031029 300  061500-062000   00      22.99  794.1     23.20     1.80    -9999
EREVAN     031029 300  062000-062500   00      22.82  794.1     23.03     1.00    -9999
EREVAN     031029 300  062500-063000   00      22.79  794.1     23.00     0.90    -9999
EREVAN     031029 300  063000-063500   00      22.78  794.1     22.99     0.90    -9999
EREVAN     031029 300  063500-064000   00      22.62  794.1     22.83     0.20    -9999
EREVAN     031029 300  064000-064500   00      22.44  794.1     22.65    -0.60    -9999
EREVAN     031029 300  064500-065000   00      22.84  794.2     23.06     1.20    -9999
EREVAN     031029 300  065000-065500   00      22.83  794.2     23.05     1.20    -9999
EREVAN     031029 300  065500-070000   00      23.01  794.2     23.24     2.00    -9999
EREVAN     031029 300  070000-070500   00      22.86  794.2     23.08     1.30    -9999
EREVAN     031029 300  070500-071000   00      22.93  794.2     23.16     1.60    -9999
EREVAN     031029 300  071000-071500   00      22.81  794.2     23.03     1.10    -9999
EREVAN     031029 300  071500-072000   00      22.87  794.1     23.09     1.30    -9999
EREVAN     031029 300  072000-072500   00      22.74  794.1     22.96     0.70    -9999
EREVAN     031029 300  072500-073000   00      22.86  794.1     23.08     1.30    -9999
EREVAN     031029 300  073000-073500   00      22.74  794.1     22.94     0.70    -9999
EREVAN     031029 300  073500-074000   00      22.74  794.1     22.94     0.70    -9999
EREVAN     031029 300  074000-074500   00      22.51  794.1     22.72    -0.30    -9999
EREVAN     031029 300  074500-075000   00      22.51  794.0     22.71    -0.30    -9999
EREVAN     031029 300  075000-075500   00      22.65  794.0     22.85     0.30    -9999
EREVAN     031029 300  075500-080000   00      22.54  794.0     22.74    -0.20    -9999
EREVAN     031029 300  080000-080500   00      22.57  794.0     22.76    -0.10    -9999
EREVAN     031029 300  080500-081000   00      22.46  794.0     22.65    -0.60    -9999
