THULE      LATITUDE    76.6      LONGITUDE     -68.8     ALTITUDE    260 M
THULE      INSTRUMENT   9NM64    NEUTRON MONITOR     	
THULE      STANDARD PRESSURE    990.85  MB     COEFFICIENT   -0.74     % / MB
THULE      PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
THULE      PRE-INCREASE AVERAGE COUNTING RATE    122.35      COUNTS PER SECOND
THULE      TIME INTERVALS    300         3600     
THULE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
THULE      120517 300  142500-143000   00     118.60 1010.1    122.92     0.50    -9999
THULE      120517 300  143000-143500   00     119.67 1010.1    124.03     1.40    -9999
THULE      120517 300  143500-144000   00     118.98 1010.1    123.32     0.80    -9999
THULE      120517 300  144000-144500   00     119.02 1010.0    123.32     0.80    -9999
THULE      120517 300  144500-145000   00     119.93 1010.0    124.25     1.60    -9999
THULE      120517 300  145000-145500   00     118.12 1010.0    122.34     0.00    -9999
THULE      120517 300  145500-150000   00     120.00 1009.9    124.25     1.60    -9999
THULE      120517 300  150000-150500   00     117.84 1009.9    121.99    -0.30    -9999
THULE      120517 300  150500-151000   00     118.21 1009.9    122.35     0.00    -9999
THULE      120517 300  151000-151500   00     117.47 1009.9    121.61    -0.60    -9999
THULE      120517 300  151500-152000   00     119.28 1009.9    123.42     0.90    -9999
THULE      120517 300  152000-152500   00     117.81 1009.8    121.83    -0.40    -9999
THULE      120517 300  152500-153000   00     119.32 1009.7    123.33     0.80    -9999
THULE      120517 300  153000-153500   00     117.81 1009.6    121.71    -0.50    -9999
THULE      120517 300  153500-154000   00     118.02 1009.6    121.91    -0.40    -9999
THULE      120517 300  154000-154500   00     119.82 1009.6    123.77     1.20    -9999
THULE      120517 300  154500-155000   00     119.78 1009.6    123.71     1.10    -9999
THULE      120517 300  155000-155500   00     119.33 1009.6    123.22     0.70    -9999
THULE      120517 300  155500-160000   00     118.13 1009.6    122.01    -0.30    -9999
THULE      120517 300  160000-160500   00     119.80 1009.6    123.73     1.10    -9999
THULE      120517 300  160500-161000   00     118.66 1009.6    122.57     0.20    -9999
THULE      120517 300  161000-161500   00     119.93 1009.6    123.88     1.30    -9999
THULE      120517 300  161500-162000   00     119.09 1009.6    122.99     0.50    -9999
THULE      120517 300  162000-162500   00     118.27 1009.6    122.13    -0.20    -9999
THULE      120517 300  162500-163000   00     119.22 1009.6    123.13     0.60    -9999
THULE      120517 300  163000-163500   00     119.04 1009.6    122.94     0.50    -9999
THULE      120517 300  163500-164000   00     119.65 1009.6    123.54     1.00    -9999
THULE      120517 300  164000-164500   00     119.48 1009.5    123.33     0.80    -9999
THULE      120517 300  164500-165000   00     118.60 1009.5    122.38     0.00    -9999
THULE      120517 300  165000-165500   00     118.69 1009.5    122.48     0.10    -9999
THULE      120517 300  165500-170000   00     119.56 1009.5    123.39     0.90    -9999
THULE      120517 300  170000-170500   00     118.45 1009.5    122.24    -0.10    -9999
THULE      120517 300  170500-171000   00     120.26 1009.5    124.08     1.40    -9999
THULE      120517 300  171000-171500   00     117.79 1009.5    121.53    -0.70    -9999
THULE      120517 300  171500-172000   00     120.08 1009.5    123.89     1.30    -9999
THULE      120517 300  172000-172500   00     117.78 1009.5    121.53    -0.70    -9999
THULE      120517 300  172500-173000   00     119.47 1009.5    123.26     0.70    -9999
THULE      120517 300  173000-173500   00     119.23 1009.4    122.99     0.50    -9999
THULE      120517 300  173500-174000   00     118.47 1009.4    122.20    -0.10    -9999
THULE      120517 300  174000-174500   00     119.88 1009.4    123.64     1.10    -9999
THULE      120517 300  174500-175000   00     120.41 1009.4    124.15     1.50    -9999
THULE      120517 300  175000-175500   00     119.32 1009.3    123.00     0.50    -9999
THULE      120517 300  175500-180000   00     119.95 1009.3    123.66     1.10    -9999
THULE      120517 300  180000-180500   00     121.28 1009.3    124.98     2.10    -9999
THULE      120517 300  180500-181000   00     118.91 1009.3    122.54     0.20    -9999
THULE      120517 300  181000-181500   00     119.14 1009.3    122.75     0.30    -9999
THULE      120517 300  181500-182000   00     119.54 1009.3    123.19     0.70    -9999
THULE      120517 300  182000-182500   00     118.97 1009.3    122.61     0.20    -9999
THULE      120517 300  182500-183000   00     120.08 1009.3    123.77     1.20    -9999
THULE      120517 300  183000-183500   00     120.22 1009.4    123.95     1.30    -9999
THULE      120517 300  183500-184000   00     120.15 1009.3    123.85     1.20    -9999
THULE      120517 300  184000-184500   00     119.90 1009.3    123.57     1.00    -9999
THULE      120517 300  184500-185000   00     120.61 1009.3    124.29     1.60    -9999
THULE      120517 300  185000-185500   00     120.38 1009.3    124.03     1.40    -9999
THULE      120517 300  185500-190000   00     118.33 1009.2    121.87    -0.40    -9999
THULE      120517 300  190000-190500   00     119.31 1009.2    122.86     0.40    -9999
THULE      120517 300  190500-191000   00     119.67 1009.2    123.22     0.70    -9999
THULE      120517 300  191000-191500   00     118.07 1009.2    121.54    -0.70    -9999
THULE      120517 300  191500-192000   00     120.17 1009.1    123.67     1.10    -9999
THULE      120517 300  192000-192500   00     120.57 1009.1    124.05     1.40    -9999
THULE      120517 300  192500-193000   00     120.18 1009.1    123.65     1.10    -9999
THULE      120517 300  193000-193500   00     120.56 1009.1    124.07     1.40    -9999
THULE      120517 300  193500-194000   00     120.07 1009.1    123.57     1.00    -9999
THULE      120517 300  194000-194500   00     117.22 1009.1    120.60    -1.40    -9999
THULE      120517 300  194500-195000   00     119.59 1009.0    123.02     0.50    -9999
THULE      120517 300  195000-195500   00     119.33 1009.1    122.75     0.30    -9999
THULE      120517 300  195500-200000   00     119.73 1009.0    123.12     0.60    -9999
THULE      120517 300  200000-200500   00     121.62 1009.0    125.06     2.20    -9999
THULE      120517 300  200500-201000   00     118.76 1009.0    122.11    -0.20    -9999
THULE      120517 300  201000-201500   00     119.93 1009.0    123.29     0.80    -9999
THULE      120517 300  201500-202000   00     118.53 1008.9    121.82    -0.40    -9999
THULE      120517 300  202000-202500   00     118.97 1008.9    122.25    -0.10    -9999
THULE      120517 300  202500-203000   00     119.32 1008.9    122.61     0.20    -9999
THULE      120517 300  203000-203500   00     119.99 1008.8    123.24     0.70    -9999
THULE      120517 300  203500-204000   00     118.45 1008.8    121.63    -0.60    -9999
THULE      120517 300  204000-204500   00     120.04 1008.8    123.23     0.70    -9999
THULE      120517 300  204500-205000   00     118.89 1008.8    122.04    -0.30    -9999
THULE      120517 300  205000-205500   00     120.50 1008.7    123.66     1.10    -9999
THULE      120517 300  205500-210000   00     119.66 1008.7    122.78     0.40    -9999
THULE      120517 300  210000-210500   00     119.63 1008.7    122.74     0.30    -9999
THULE      120517 300  210500-211000   00     119.11 1008.7    122.21    -0.10    -9999
THULE      120517 300  211000-211500   00     119.86 1008.7    122.93     0.50    -9999
THULE      120517 300  211500-212000   00     119.77 1008.6    122.79     0.40    -9999
THULE      120517 300  212000-212500   00     119.29 1008.6    122.28    -0.10    -9999
THULE      120517 300  212500-213000   00     120.45 1008.6    123.45     0.90    -9999
THULE      120517 300  213000-213500   00     119.04 1008.5    121.97    -0.30    -9999
THULE      120517 300  213500-214000   00     120.08 1008.5    123.00     0.50    -9999
THULE      120517 300  214000-214500   00     119.87 1008.4    122.75     0.30    -9999
THULE      120517 300  214500-215000   00     120.35 1008.4    123.22     0.70    -9999
THULE      120517 300  215000-215500   00     118.99 1008.4    121.80    -0.40    -9999
THULE      120517 300  215500-220000   00     119.21 1008.3    121.98    -0.30    -9999
THULE      120517 300  220000-220500   00     119.17 1008.3    121.91    -0.40    -9999
THULE      120517 300  220500-221000   00     118.57 1008.3    121.27    -0.90    -9999
