TSUMEB     LATITUDE    -19.2     LONGITUDE     17.6      ALTITUDE    1240 M
TSUMEB     INSTRUMENT   18NM64    NEUTRON MONITOR     
TSUMEB     STANDARD PRESSURE    878.5   mb     COEFFICIENT   -0.701    % / mb
TSUMEB     PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
TSUMEB     PRE-INCREASE AVERAGE COUNTING RATE    290.22      COUNTS PER SECOND
TSUMEB     TIME INTERVALS    300         3600     
TSUMEB     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
TSUMEB     031029 300  025500-030000   00     285.63  880.8    290.22     0.00    -9999
TSUMEB     031029 300  030000-030500   00     288.18  880.8    292.82     0.90    -9999
TSUMEB     031029 300  030500-031000   00     287.13  880.7    291.65     0.50    -9999
TSUMEB     031029 300  031000-031500   00     285.32  880.7    289.71    -0.20    -9999
TSUMEB     031029 300  031500-032000   00     287.90  880.6    292.23     0.70    -9999
TSUMEB     031029 300  032000-032500   00     287.95  880.6    292.18     0.70    -9999
TSUMEB     031029 300  032500-033000   00     285.35  880.5    289.44    -0.30    -9999
TSUMEB     031029 300  033000-033500   00     285.85  880.5    289.85    -0.10    -9999
TSUMEB     031029 300  033500-034000   00     282.62  880.4    286.47    -1.30    -9999
TSUMEB     031029 300  034000-034500   00     281.98  880.4    285.72    -1.60    -9999
TSUMEB     031029 300  034500-035000   00     282.28  880.3    285.92    -1.50    -9999
TSUMEB     031029 300  035000-035500   00     282.41  880.3    285.96    -1.50    -9999
TSUMEB     031029 300  035500-040000   00     286.10  880.2    289.59    -0.20    -9999
TSUMEB     031029 300  040000-040500   00     281.71  880.2    285.11    -1.80    -9999
TSUMEB     031029 300  040500-041000   00     288.03  880.2    291.56     0.50    -9999
TSUMEB     031029 300  041000-041500   00     287.70  880.3    291.27     0.40    -9999
TSUMEB     031029 300  041500-042000   00     290.07  880.3    293.73     1.20    -9999
TSUMEB     031029 300  042000-042500   00     289.84  880.3    293.54     1.10    -9999
TSUMEB     031029 300  042500-043000   00     291.36  880.3    295.13     1.70    -9999
TSUMEB     031029 300  043000-043500   00     289.53  880.4    293.33     1.10    -9999
TSUMEB     031029 300  043500-044000   00     287.80  880.4    291.63     0.50    -9999
TSUMEB     031029 300  044000-044500   00     291.24  880.4    295.17     1.70    -9999
TSUMEB     031029 300  044500-045000   00     291.35  880.4    295.33     1.80    -9999
TSUMEB     031029 300  045000-045500   00     287.73  880.5    291.71     0.50    -9999
TSUMEB     031029 300  045500-050000   00     287.14  880.5    291.16     0.30    -9999
TSUMEB     031029 300  050000-050500   00     290.28  880.5    294.45     1.50    -9999
TSUMEB     031029 300  050500-051000   00     288.24  880.6    292.57     0.80    -9999
TSUMEB     031029 300  051000-051500   00     292.04  880.7    296.62     2.20    -9999
TSUMEB     031029 300  051500-052000   00     287.69  880.8    292.39     0.70    -9999
TSUMEB     031029 300  052000-052500   00     289.49  880.9    294.41     1.40    -9999
TSUMEB     031029 300  052500-053000   00     290.15  881.0    295.27     1.70    -9999
TSUMEB     031029 300  053000-053500   00     291.32  881.1    296.65     2.20    -9999
TSUMEB     031029 300  053500-054000   00     288.96  881.2    294.43     1.50    -9999
TSUMEB     031029 300  054000-054500   00     289.75  881.3    295.43     1.80    -9999
TSUMEB     031029 300  054500-055000   00     287.49  881.4    293.31     1.10    -9999
TSUMEB     031029 300  055000-055500   00     288.82  881.5    294.86     1.60    -9999
TSUMEB     031029 300  055500-060000   00     290.75  881.5    297.02     2.30    -9999
TSUMEB     031029 300  060000-060500   00     290.28  881.6    296.70     2.20    -9999
TSUMEB     031029 300  060500-061000   00     290.72  881.7    297.25     2.40    -9999
TSUMEB     031029 300  061000-061500   00     289.80  881.7    296.41     2.10    -9999
TSUMEB     031029 300  061500-062000   00     286.75  881.8    293.40     1.10    -9999
TSUMEB     031029 300  062000-062500   00     287.79  881.8    294.57     1.50    -9999
TSUMEB     031029 300  062500-063000   00     287.02  881.9    293.88     1.30    -9999
TSUMEB     031029 300  063000-063500   00     281.38  881.9    288.21    -0.70    -9999
TSUMEB     031029 300  063500-064000   00     280.39  882.0    287.29    -1.00    -9999
TSUMEB     031029 300  064000-064500   00     281.25  882.0    288.28    -0.70    -9999
TSUMEB     031029 300  064500-065000   00     278.01  882.1    285.05    -1.80    -9999
TSUMEB     031029 300  065000-065500   00     284.59  882.1    291.90     0.60    -9999
TSUMEB     031029 300  065500-070000   00     281.41  882.2    288.75    -0.50    -9999
TSUMEB     031029 300  070000-070500   00     283.61  882.2    291.05     0.30    -9999
