KINGSTON   LATITUDE    -42.99    LONGITUDE     147.29    ALTITUDE    65 M
KINGSTON   INSTRUMENT   18-NM-64   IQSY 18 Section Neutron Monitor	
KINGSTON   STANDARD PRESSURE    1012.5  MB     COEFFICIENT   -0.739    % / MB
KINGSTON   PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
KINGSTON   PRE-INCREASE AVERAGE COUNTING RATE    204.42      COUNTS PER SECOND
KINGSTON   TIME INTERVALS    300         3600     
KINGSTON   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
KINGSTON   061213 300  141000-141500   00     224.62 1000.0    204.77     0.20    -9999
KINGSTON   061213 300  141500-142000   00     223.01  999.9    203.15    -0.60    -9999
KINGSTON   061213 300  142000-142500   00     224.49  999.8    204.32     0.00    -9999
KINGSTON   061213 300  142500-143000   00     223.34  999.6    203.01    -0.70    -9999
KINGSTON   061213 300  143000-143500   00     222.26  999.3    201.66    -1.40    -9999
KINGSTON   061213 300  143500-144000   00     224.29  999.3    203.42    -0.50    -9999
KINGSTON   061213 300  144000-144500   00     222.29  999.2    201.45    -1.50    -9999
KINGSTON   061213 300  144500-145000   00     223.96  999.1    202.87    -0.80    -9999
KINGSTON   061213 300  145000-145500   00     224.77  999.1    203.56    -0.40    -9999
KINGSTON   061213 300  145500-150000   00     224.00  999.1    202.82    -0.80    -9999
KINGSTON   061213 300  150000-150500   00     226.87  998.9    205.21     0.40    -9999
KINGSTON   061213 300  150500-151000   00     224.01  998.8    202.44    -1.00    -9999
KINGSTON   061213 300  151000-151500   00     225.59  998.7    203.71    -0.30    -9999
KINGSTON   061213 300  151500-152000   00     228.03  998.6    205.71     0.60    -9999
KINGSTON   061213 300  152000-152500   00     224.09  998.4    201.89    -1.20    -9999
KINGSTON   061213 300  152500-153000   00     224.00  998.3    201.62    -1.40    -9999
KINGSTON   061213 300  153000-153500   00     225.14  998.1    202.36    -1.00    -9999
KINGSTON   061213 300  153500-154000   00     224.22  997.9    201.35    -1.50    -9999
KINGSTON   061213 300  154000-154500   00     226.99  997.8    203.57    -0.40    -9999
KINGSTON   061213 300  154500-155000   00     229.67  997.6    205.79     0.70    -9999
KINGSTON   061213 300  155000-155500   00     225.60  997.5    201.90    -1.20    -9999
KINGSTON   061213 300  155500-160000   00     226.12  997.3    202.12    -1.10    -9999
KINGSTON   061213 300  160000-160500   00     225.63  997.2    201.51    -1.40    -9999
KINGSTON   061213 300  160500-161000   00     228.95  997.1    204.29    -0.10    -9999
KINGSTON   061213 300  161000-161500   00     228.47  997.0    203.68    -0.40    -9999
KINGSTON   061213 300  161500-162000   00     226.60  996.9    201.93    -1.20    -9999
KINGSTON   061213 300  162000-162500   00     226.57  996.8    201.78    -1.30    -9999
KINGSTON   061213 300  162500-163000   00     226.28  996.7    201.29    -1.50    -9999
KINGSTON   061213 300  163000-163500   00     227.82  996.5    202.41    -1.00    -9999
KINGSTON   061213 300  163500-164000   00     228.86  996.5    203.37    -0.50    -9999
KINGSTON   061213 300  164000-164500   00     227.88  996.5    202.52    -0.90    -9999
KINGSTON   061213 300  164500-165000   00     223.59  996.5    198.66    -2.80    -9999
