PEAWANUCK  LATITUDE    55        LONGITUDE     -85       ALTITUDE    0 M
PEAWANUCK  INSTRUMENT   18NM64    NEUTRON MONITOR     
PEAWANUCK  STANDARD PRESSURE    1021.1  MB     COEFFICIENT   -0.74     % / MB
PEAWANUCK  PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
PEAWANUCK  PRE-INCREASE AVERAGE COUNTING RATE    174.81      COUNTS PER SECOND
PEAWANUCK  TIME INTERVALS    300         3600     
PEAWANUCK  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
PEAWANUCK  010415 300  210500-211000   00     186.59 1020.9    186.36     6.60     5.39
PEAWANUCK  010415 300  211000-211500   00     185.70 1020.9    185.47     6.10     4.88
PEAWANUCK  010415 300  211500-212000   00     186.32 1020.9    186.10     6.50     5.27
PEAWANUCK  010415 300  212000-212500   00     186.69 1020.9    186.48     6.70     5.46
PEAWANUCK  010415 300  212500-213000   00     186.40 1020.9    186.20     6.50     5.25
PEAWANUCK  010415 300  213000-213500   00     187.63 1020.9    187.44     7.20     5.94
PEAWANUCK  010415 300  213500-214000   00     183.30 1020.9    183.14     4.80     3.53
PEAWANUCK  010415 300  214000-214500   00     183.62 1021.0    183.48     5.00     3.72
PEAWANUCK  010415 300  214500-215000   00     184.93 1021.0    184.81     5.70     4.41
PEAWANUCK  010415 300  215000-215500   00     185.81 1021.0    185.71     6.20     4.90
PEAWANUCK  010415 300  215500-220000   00     181.99 1021.0    181.92     4.10     2.79
PEAWANUCK  010415 300  220000-220500   00     184.55 1021.1    184.58     5.60     4.28
PEAWANUCK  010415 300  220500-221000   00     184.90 1021.1    184.95     5.80     4.47
PEAWANUCK  010415 300  221000-221500   00     181.85 1021.1    181.93     4.10     2.76
PEAWANUCK  010415 300  221500-222000   00     184.37 1021.1    184.49     5.50     4.15
PEAWANUCK  010415 300  222000-222500   00     184.13 1021.2    184.26     5.40     4.04
PEAWANUCK  010415 300  222500-223000   00     187.60 1021.2    187.77     7.40     6.03
PEAWANUCK  010415 300  223000-223500   00     184.77 1021.2    184.96     5.80     4.42
PEAWANUCK  010415 300  223500-224000   00     184.46 1021.2    184.67     5.60     4.21
PEAWANUCK  010415 300  224000-224500   00     183.63 1021.2    183.86     5.20     3.80
PEAWANUCK  010415 300  224500-225000   00     184.12 1021.2    184.36     5.50     4.09
PEAWANUCK  010415 300  225000-225500   00     181.65 1021.3    181.91     4.10     2.68
PEAWANUCK  010415 300  225500-230000   00     181.51 1021.3    181.79     4.00     2.57
PEAWANUCK  010415 300  230000-230500   00     182.41 1021.3    182.66     4.50     3.05
PEAWANUCK  010415 300  230500-231000   00     184.58 1021.3    184.84     5.70     4.24
PEAWANUCK  010415 300  231000-231500   00     180.74 1021.3    181.02     3.60     2.13
