MAWSON     LATITUDE    -67.6     LONGITUDE     62.88     ALTITUDE    30 M
MAWSON     INSTRUMENT   IGY     NEUTRON MONITOR
MAWSON     STANDARD PRESSURE    990     MB     COEFFICIENT   -0.739    % / MB
MAWSON     PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
MAWSON     PRE-INCREASE AVERAGE COUNTING RATE    240.49      COUNTS PER SECOND
MAWSON     TIME INTERVALS    300         3600     
MAWSON     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MAWSON     061213 300  123000-123500   00     264.72  978.9    243.87     1.40     1.40
MAWSON     061213 300  123500-124000   00     263.61  978.9    242.85     1.00     1.00
MAWSON     061213 300  124000-124500   00     267.49  978.9    246.42     2.50     2.50
MAWSON     061213 300  124500-125000   00     266.24  978.9    245.27     2.00     2.00
MAWSON     061213 300  125000-125500   00     263.73  978.9    242.96     1.00     1.00
MAWSON     061213 300  125500-130000   00     266.28  979.0    245.49     2.10     2.10
MAWSON     061213 300  130000-130500   00     268.69  979.0    247.72     3.00     3.00
MAWSON     061213 300  130500-131000   00     265.19  978.9    244.34     1.60     1.60
MAWSON     061213 300  131000-131500   00     265.99  978.9    245.05     1.90     1.90
MAWSON     061213 300  131500-132000   00     264.72  978.9    243.87     1.40     1.40
MAWSON     061213 300  132000-132500   00     265.59  978.9    244.67     1.70     1.70
MAWSON     061213 300  132500-133000   00     265.88  978.9    244.94     1.90     1.90
MAWSON     061213 300  133000-133500   00     265.80  978.9    244.87     1.80     1.80
MAWSON     061213 300  133500-134000   00     267.25  978.9    246.21     2.40     2.40
MAWSON     061213 300  134000-134500   00     266.20  979.0    245.42     2.00     2.00
MAWSON     061213 300  134500-135000   00     265.04  979.0    244.35     1.60     1.60
MAWSON     061213 300  135000-135500   00     266.80  979.0    245.97     2.30     2.30
MAWSON     061213 300  135500-140000   00     266.15  979.0    245.38     2.00     2.00
MAWSON     061213 300  140000-140500   00     266.26  979.0    245.47     2.10     2.10
MAWSON     061213 300  140500-141000   00     264.13  979.0    243.51     1.30     1.30
MAWSON     061213 300  141000-141500   00     266.30  979.0    245.51     2.10     2.10
MAWSON     061213 300  141500-142000   00     264.30  979.0    243.67     1.30     1.30
MAWSON     061213 300  142000-142500   00     266.43  979.0    245.63     2.10     2.10
MAWSON     061213 300  142500-143000   00     263.25  979.0    242.70     0.90     0.90
MAWSON     061213 300  143000-143500   00     262.35  979.0    241.87     0.60     0.60
MAWSON     061213 300  143500-144000   00     264.13  979.0    243.51     1.30     1.30
MAWSON     061213 300  144000-144500   00     264.93  979.0    244.24     1.60     1.60
MAWSON     061213 300  144500-145000   00     265.50  979.0    244.77     1.80     1.80
MAWSON     061213 300  145000-145500   00     262.74  979.0    242.22     0.70     0.70
MAWSON     061213 300  145500-150000   00     265.42  979.0    244.73     1.80     1.80
MAWSON     061213 300  150000-150500   00     262.68  979.1    242.35     0.80     0.80
MAWSON     061213 300  150500-151000   00     264.65  979.1    244.16     1.50     1.50
MAWSON     061213 300  151000-151500   00     262.59  979.1    242.27     0.70     0.70
MAWSON     061213 300  151500-152000   00     263.33  979.1    242.96     1.00     1.00
MAWSON     061213 300  152000-152500   00     267.37  979.1    246.71     2.60     2.60
MAWSON     061213 300  152500-153000   00     265.56  979.2    245.19     2.00     2.00
MAWSON     061213 300  153000-153500   00     262.90  979.2    242.74     0.90     0.90
MAWSON     061213 300  153500-154000   00     264.12  979.2    243.82     1.40     1.40
MAWSON     061213 300  154000-154500   00     265.97  979.1    245.39     2.00     2.00
MAWSON     061213 300  154500-155000   00     264.96  979.2    244.59     1.70     1.70
MAWSON     061213 300  155000-155500   00     263.26  979.1    242.96     1.00     1.00
MAWSON     061213 300  155500-160000   00     263.59  979.1    243.19     1.10     1.10
MAWSON     061213 300  160000-160500   00     262.60  979.1    242.28     0.70     0.70
MAWSON     061213 300  160500-161000   00     263.61  979.2    243.35     1.20     1.20
MAWSON     061213 300  161000-161500   00     263.61  979.2    243.39     1.20     1.20
MAWSON     061213 300  161500-162000   00     261.31  979.2    241.27     0.30     0.30
MAWSON     061213 300  162000-162500   00     263.56  979.2    243.34     1.20     1.20
MAWSON     061213 300  162500-163000   00     264.49  979.3    244.38     1.60     1.60
MAWSON     061213 300  163000-163500   00     262.49  979.3    242.54     0.90     0.90
MAWSON     061213 300  163500-164000   00     261.59  979.3    241.70     0.50     0.50
MAWSON     061213 300  164000-164500   00     262.99  979.4    243.14     1.10     1.10
MAWSON     061213 300  164500-165000   00     262.51  979.4    242.74     0.90     0.90
MAWSON     061213 300  165000-165500   00     261.42  979.4    241.72     0.50     0.50
MAWSON     061213 300  165500-170000   00     261.79  979.4    242.06     0.70     0.70
MAWSON     061213 300  170000-170500   00     265.67  979.4    245.65     2.10     2.10
MAWSON     061213 300  170500-171000   00     263.30  979.4    243.46     1.20     1.20
MAWSON     061213 300  171000-171500   00     260.66  979.4    241.06     0.20     0.20
MAWSON     061213 300  171500-172000   00     261.06  979.5    241.57     0.40     0.40
MAWSON     061213 300  172000-172500   00     260.03  979.5    240.62     0.10     0.10
MAWSON     061213 300  172500-173000   00     263.62  979.5    243.94     1.40     1.40
MAWSON     061213 300  173000-173500   00     264.36  979.5    244.63     1.70     1.70
MAWSON     061213 300  173500-174000   00     261.27  979.5    241.76     0.50     0.50
MAWSON     061213 300  174000-174500   00     262.48  979.6    242.99     1.00     1.00
MAWSON     061213 300  174500-175000   00     262.70  979.6    243.26     1.20     1.20
MAWSON     061213 300  175000-175500   00     261.97  979.6    242.59     0.90     0.90
MAWSON     061213 300  175500-180000   00     260.00  979.7    240.87     0.20     0.20
MAWSON     061213 300  180000-180500   00     261.70  979.7    242.52     0.80     0.80
MAWSON     061213 300  180500-181000   00     262.49  979.7    243.25     1.10     1.10
MAWSON     061213 300  181000-181500   00     260.48  979.7    241.39     0.40     0.40
MAWSON     061213 300  181500-182000   00     260.65  979.7    241.55     0.40     0.40
MAWSON     061213 300  182000-182500   00     258.76  979.7    239.80    -0.30    -0.30
MAWSON     061213 300  182500-183000   00     260.96  979.7    241.83     0.60     0.60
MAWSON     061213 300  183000-183500   00     262.32  979.7    243.09     1.10     1.10
MAWSON     061213 300  183500-184000   00     260.09  979.8    241.20     0.30     0.30
