KERGUELEN  LATITUDE    -49.35    LONGITUDE     70.25     ALTITUDE    33 M
KERGUELEN  INSTRUMENT   18-NM-64  NEUTRON MONITOR	
KERGUELEN  STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.7575   % / MB
KERGUELEN  PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
KERGUELEN  PRE-INCREASE AVERAGE COUNTING RATE    222.38      COUNTS PER SECOND
KERGUELEN  TIME INTERVALS    300         3600     
KERGUELEN  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
KERGUELEN  120517 300  155000-155500   00     244.93  986.7    221.53    -0.40    -9999
KERGUELEN  120517 300  155500-160000   00     246.93  986.7    223.35     0.40    -9999
KERGUELEN  120517 300  160000-160500   00     246.80  986.8    223.41     0.50    -9999
KERGUELEN  120517 300  160500-161000   00     244.13  986.8    220.99    -0.60    -9999
KERGUELEN  120517 300  161000-161500   00     246.80  986.6    223.18     0.40    -9999
KERGUELEN  120517 300  161500-162000   00     243.07  986.5    219.63    -1.20    -9999
KERGUELEN  120517 300  162000-162500   00     247.47  986.5    223.56     0.50    -9999
KERGUELEN  120517 300  162500-163000   00     247.07  986.6    223.29     0.40    -9999
KERGUELEN  120517 300  163000-163500   00     247.73  986.6    223.93     0.70    -9999
KERGUELEN  120517 300  163500-164000   00     247.33  986.6    223.53     0.50    -9999
KERGUELEN  120517 300  164000-164500   00     247.87  986.7    224.24     0.80    -9999
KERGUELEN  120517 300  164500-165000   00     246.67  986.7    223.19     0.40    -9999
KERGUELEN  120517 300  165000-165500   00     244.80  986.7    221.51    -0.40    -9999
KERGUELEN  120517 300  165500-170000   00     246.27  986.7    222.88     0.20    -9999
KERGUELEN  120517 300  170000-170500   00     245.60  986.8    222.37     0.00    -9999
KERGUELEN  120517 300  170500-171000   00     247.20  986.8    223.86     0.70    -9999
KERGUELEN  120517 300  171000-171500   00     246.13  986.8    222.89     0.20    -9999
KERGUELEN  120517 300  171500-172000   00     246.67  987.0    223.60     0.50    -9999
KERGUELEN  120517 300  172000-172500   00     245.47  987.0    222.65     0.10    -9999
KERGUELEN  120517 300  172500-173000   00     246.13  987.0    223.25     0.40    -9999
KERGUELEN  120517 300  173000-173500   00     242.80  987.1    220.32    -0.90    -9999
KERGUELEN  120517 300  173500-174000   00     247.20  987.1    224.27     0.80    -9999
KERGUELEN  120517 300  174000-174500   00     245.07  987.0    222.28     0.00    -9999
KERGUELEN  120517 300  174500-175000   00     247.60  987.1    224.63     1.00    -9999
KERGUELEN  120517 300  175000-175500   00     243.20  987.1    220.64    -0.80    -9999
KERGUELEN  120517 300  175500-180000   00     248.27  987.1    225.32     1.30    -9999
KERGUELEN  120517 300  180000-180500   00     247.87  987.0    224.82     1.10    -9999
KERGUELEN  120517 300  180500-181000   00     246.27  987.0    223.33     0.40    -9999
KERGUELEN  120517 300  181000-181500   00     246.13  987.1    223.30     0.40    -9999
KERGUELEN  120517 300  181500-182000   00     248.00  987.2    225.17     1.30    -9999
KERGUELEN  120517 300  182000-182500   00     248.40  987.2    225.58     1.40    -9999
KERGUELEN  120517 300  182500-183000   00     246.93  987.2    224.34     0.90    -9999
KERGUELEN  120517 300  183000-183500   00     247.73  987.3    225.16     1.30    -9999
KERGUELEN  120517 300  183500-184000   00     246.27  987.2    223.74     0.60    -9999
KERGUELEN  120517 300  184000-184500   00     244.13  987.3    221.93    -0.20    -9999
KERGUELEN  120517 300  184500-185000   00     247.07  987.5    224.87     1.10    -9999
KERGUELEN  120517 300  185000-185500   00     242.80  987.6    221.12    -0.60    -9999
KERGUELEN  120517 300  185500-190000   00     245.20  987.7    223.49     0.50    -9999
KERGUELEN  120517 300  190000-190500   00     242.93  987.8    221.60    -0.40    -9999
KERGUELEN  120517 300  190500-191000   00     245.33  987.7    223.70     0.60    -9999
KERGUELEN  120517 300  191000-191500   00     244.13  987.7    222.51     0.10    -9999
KERGUELEN  120517 300  191500-192000   00     242.93  987.6    221.38    -0.40    -9999
KERGUELEN  120517 300  192000-192500   00     244.93  987.6    223.15     0.30    -9999
KERGUELEN  120517 300  192500-193000   00     243.87  987.5    222.00    -0.20    -9999
KERGUELEN  120517 300  193000-193500   00     243.33  987.6    221.74    -0.30    -9999
KERGUELEN  120517 300  193500-194000   00     242.27  987.8    221.04    -0.60    -9999
KERGUELEN  120517 300  194000-194500   00     244.00  987.7    222.49     0.00    -9999
KERGUELEN  120517 300  194500-195000   00     247.07  987.5    224.96     1.20    -9999
KERGUELEN  120517 300  195000-195500   00     245.20  987.6    223.31     0.40    -9999
