YAKUTSK    LATITUDE    62.02     LONGITUDE     129.72    ALTITUDE    105 M
YAKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
YAKUTSK    STANDARD PRESSURE    1003    mb     COEFFICIENT   -0.715    % / mb
YAKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
YAKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    210.77      COUNTS PER SECOND
YAKUTSK    TIME INTERVALS    300         3600     
YAKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
YAKUTSK    061213 300  135900-140400   00     203.20 1007.9    210.48    -0.10    -9999
YAKUTSK    061213 300  140400-140900   00     203.72 1007.9    210.96     0.10    -9999
YAKUTSK    061213 300  140900-141400   00     201.32 1007.9    208.52    -1.10    -9999
YAKUTSK    061213 300  141400-141900   00     202.74 1007.9    209.98    -0.40    -9999
YAKUTSK    061213 300  141900-142400   00     201.48 1008.0    208.76    -1.00    -9999
YAKUTSK    061213 300  142400-142900   00     204.24 1008.0    211.58     0.40    -9999
YAKUTSK    061213 300  142900-143400   00     199.74 1007.9    206.96    -1.80    -9999
YAKUTSK    061213 300  143400-143900   00     201.80 1008.0    209.14    -0.80    -9999
YAKUTSK    061213 300  143900-144400   00     202.90 1008.0    210.28    -0.20    -9999
YAKUTSK    061213 300  144400-144900   00     202.00 1007.9    209.18    -0.80    -9999
YAKUTSK    061213 300  144900-145400   00     200.54 1007.9    207.70    -1.50    -9999
YAKUTSK    061213 300  145400-145900   00     203.50 1008.0    210.90     0.10    -9999
YAKUTSK    061213 300  145900-150400   00     202.10 1008.0    209.48    -0.60    -9999
YAKUTSK    061213 300  150400-150900   00     201.42 1008.0    208.74    -1.00    -9999
YAKUTSK    061213 300  150900-151400   00     202.48 1008.0    209.86    -0.40    -9999
YAKUTSK    061213 300  151400-151900   00     199.58 1008.0    206.86    -1.90    -9999
YAKUTSK    061213 300  151900-152400   00     201.78 1007.9    209.02    -0.80    -9999
YAKUTSK    061213 300  152400-152900   00     201.64 1008.0    208.96    -0.90    -9999
YAKUTSK    061213 300  152900-153400   00     199.36 1008.0    206.58    -2.00    -9999
YAKUTSK    061213 300  153400-153900   00     201.94 1007.9    209.20    -0.70    -9999
YAKUTSK    061213 300  153900-154400   00     202.80 1007.9    210.02    -0.40    -9999
YAKUTSK    061213 300  154400-154900   00     201.12 1007.9    208.30    -1.20    -9999
YAKUTSK    061213 300  154900-155400   00     202.40 1007.9    209.58    -0.60    -9999
YAKUTSK    061213 300  155400-155900   00     202.94 1007.9    210.12    -0.30    -9999
YAKUTSK    061213 300  155900-160400   00     201.30 1007.9    208.54    -1.10    -9999
YAKUTSK    061213 300  160400-160900   00     200.48 1008.0    207.78    -1.40    -9999
YAKUTSK    061213 300  160900-161400   00     201.10 1008.1    208.54    -1.10    -9999
YAKUTSK    061213 300  161400-161900   00     202.54 1008.2    210.18    -0.30    -9999
YAKUTSK    061213 300  161900-162400   00     200.80 1008.2    208.40    -1.10    -9999
YAKUTSK    061213 300  162400-162900   00     202.44 1008.2    210.12    -0.30    -9999
YAKUTSK    061213 300  162900-163400   00     201.72 1008.3    209.48    -0.60    -9999
YAKUTSK    061213 300  163400-163900   00     200.78 1008.3    208.52    -1.10    -9999
YAKUTSK    061213 300  163900-164400   00     201.60 1008.3    209.38    -0.70    -9999
YAKUTSK    061213 300  164400-164900   00     202.64 1008.3    210.42    -0.20    -9999
YAKUTSK    061213 300  164900-165400   00     201.00 1008.3    208.78    -0.90    -9999
YAKUTSK    061213 300  165400-165900   00     201.06 1008.3    208.82    -0.90    -9999
YAKUTSK    061213 300  165900-170400   00     201.40 1008.3    209.14    -0.80    -9999
YAKUTSK    061213 300  170400-170900   00     203.26 1008.3    211.10     0.20    -9999
YAKUTSK    061213 300  170900-171400   00     203.06 1008.3    210.84     0.00    -9999
YAKUTSK    061213 300  171400-171900   00     203.36 1008.3    211.20     0.20    -9999
YAKUTSK    061213 300  171900-172400   00     204.26 1008.4    212.26     0.70    -9999
YAKUTSK    061213 300  172400-172900   00     200.16 1008.4    207.94    -1.30    -9999
YAKUTSK    061213 300  172900-173400   00     200.66 1008.4    208.54    -1.10    -9999
YAKUTSK    061213 300  173400-173900   00     200.94 1008.4    208.84    -0.90    -9999
YAKUTSK    061213 300  173900-174400   00     203.22 1008.4    211.22     0.20    -9999
YAKUTSK    061213 300  174400-174900   00     202.00 1008.4    209.94    -0.40    -9999
YAKUTSK    061213 300  174900-175400   00     202.48 1008.3    210.34    -0.20    -9999
YAKUTSK    061213 300  175400-175900   00     201.60 1008.3    209.40    -0.60    -9999
YAKUTSK    061213 300  175900-180400   00     199.56 1008.3    207.32    -1.60    -9999
YAKUTSK    061213 300  180400-180900   00     202.24 1008.4    210.22    -0.30    -9999
YAKUTSK    061213 300  180900-181400   00     201.58 1008.5    209.66    -0.50    -9999
YAKUTSK    061213 300  181400-181900   00     202.14 1008.6    210.38    -0.20    -9999
YAKUTSK    061213 300  181900-182400   00     200.26 1008.6    208.44    -1.10    -9999
YAKUTSK    061213 300  182400-182900   00     200.50 1008.7    208.80    -0.90    -9999
YAKUTSK    061213 300  182900-183400   00     199.38 1008.7    207.66    -1.50    -9999
YAKUTSK    061213 300  183400-183900   00     200.78 1008.7    209.14    -0.80    -9999
YAKUTSK    061213 300  183900-184400   00     200.62 1008.8    209.06    -0.80    -9999
YAKUTSK    061213 300  184400-184900   00     200.94 1008.8    209.44    -0.60    -9999
YAKUTSK    061213 300  184900-185400   00     200.12 1008.8    208.56    -1.00    -9999
YAKUTSK    061213 300  185400-185900   00     201.44 1008.8    209.98    -0.40    -9999
YAKUTSK    061213 300  185900-190400   00     201.94 1008.8    210.50    -0.10    -9999
YAKUTSK    061213 300  190400-190900   00     200.38 1008.9    209.02    -0.80    -9999
