CALGARY    LATITUDE    51.08     LONGITUDE     -114.13   ALTITUDE    1128 M
CALGARY    INSTRUMENT   12NM64    NEUTRON MONITOR     	
CALGARY    STANDARD PRESSURE    885     mb     COEFFICIENT   -0.73     % / mb
CALGARY    PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
CALGARY    PRE-INCREASE AVERAGE COUNTING RATE    263.82      COUNTS PER SECOND
CALGARY    TIME INTERVALS    300         3600     
CALGARY    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
CALGARY    031028 300  233500-234000   00     330.42  866.0    287.63     9.00     8.20
CALGARY    031028 300  234000-234500   00     332.70  866.0    289.61     9.80     9.00
CALGARY    031028 300  234500-235000   00     334.63  866.0    291.29    10.40     9.60
CALGARY    031028 300  235000-235500   00     330.88  866.0    288.03     9.20     8.39
CALGARY    031028 300  235500-240000   00     329.85  866.0    287.13     8.80     7.99
CALGARY    031029 300  000000-000500   00     331.82  866.0    288.85     9.50     8.68
CALGARY    031029 300  000500-001000   00     331.52  866.0    288.58     9.40     8.58
CALGARY    031029 300  001000-001500   00     333.30  866.0    290.13    10.00     9.17
CALGARY    031029 300  001500-002000   00     333.87  866.0    290.63    10.20     9.37
CALGARY    031029 300  002000-002500   00     331.22  866.0    288.32     9.30     8.47
CALGARY    031029 300  002500-003000   00     333.13  866.0    289.99     9.90     9.06
CALGARY    031029 300  003000-003500   00     328.18  866.0    285.68     8.30     7.46
CALGARY    031029 300  003500-004000   00     328.38  866.0    285.85     8.40     7.55
CALGARY    031029 300  004000-004500   00     331.88  866.0    288.90     9.50     8.65
CALGARY    031029 300  004500-005000   00     334.17  866.0    290.89    10.30     9.45
CALGARY    031029 300  005000-005500   00     331.55  866.0    288.61     9.40     8.54
CALGARY    031029 300  005500-010000   00     330.15  866.0    287.39     8.90     8.04
CALGARY    031029 300  010000-010500   00     329.45  866.0    286.78     8.70     7.83
CALGARY    031029 300  010500-011000   00     329.32  866.0    286.67     8.70     7.83
CALGARY    031029 300  011000-011500   00     331.92  866.0    288.93     9.50     8.62
CALGARY    031029 300  011500-012000   00     333.50  866.0    290.31    10.00     9.12
CALGARY    031029 300  012000-012500   00     333.57  866.0    290.37    10.10     9.22
CALGARY    031029 300  012500-013000   00     331.18  866.0    288.29     9.30     8.41
CALGARY    031029 300  013000-013500   00     330.58  866.0    287.77     9.10     8.21
CALGARY    031029 300  013500-014000   00     331.95  866.0    288.96     9.50     8.60
CALGARY    031029 300  014000-014500   00     329.55  866.0    286.87     8.70     7.80
CALGARY    031029 300  014500-015000   00     326.63  866.0    284.33     7.80     6.89
CALGARY    031029 300  015000-015500   00     329.62  866.0    286.93     8.80     7.89
CALGARY    031029 300  015500-020000   00     330.28  866.0    287.51     9.00     8.09
CALGARY    031029 300  020000-020500   00     328.78  866.0    286.20     8.50     7.58
CALGARY    031029 300  020500-021000   00     323.43  866.0    281.54     6.70     5.78
CALGARY    031029 300  021000-021500   00     328.38  866.0    285.85     8.40     7.47
CALGARY    031029 300  021500-022000   00     327.75  866.0    285.30     8.10     7.17
CALGARY    031029 300  022000-022500   00     332.02  866.0    289.02     9.60     8.66
