HERMANUS   LATITUDE    -34.42    LONGITUDE     19.22     ALTITUDE    26 M
HERMANUS   INSTRUMENT   12NM64    NEUTRON MONITOR     
HERMANUS   STANDARD PRESSURE    760     MMHG   COEFFICIENT   0.95      % / MMHG
HERMANUS   PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
HERMANUS   PRE-INCREASE AVERAGE COUNTING RATE    119.84      COUNTS PER SECOND
HERMANUS   TIME INTERVALS    300         3600     
HERMANUS   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
HERMANUS   061213 300  220500-221000   00     120.07  759.1    119.05    -0.70    -9999
HERMANUS   061213 300  221000-221500   00     120.04  759.1    119.01    -0.70    -9999
HERMANUS   061213 300  221500-222000   00     122.75  759.0    121.61     1.50    -9999
HERMANUS   061213 300  222000-222500   00     120.48  758.9    119.27    -0.50    -9999
HERMANUS   061213 300  222500-223000   00     120.89  758.9    119.63    -0.20    -9999
HERMANUS   061213 300  223000-223500   00     120.81  758.9    119.51    -0.30    -9999
HERMANUS   061213 300  223500-224000   00     118.92  758.9    117.66    -1.80    -9999
HERMANUS   061213 300  224000-224500   00     121.92  758.7    120.45     0.50    -9999
HERMANUS   061213 300  224500-225000   00     121.91  758.7    120.39     0.40    -9999
HERMANUS   061213 300  225000-225500   00     120.51  758.7    119.08    -0.60    -9999
HERMANUS   061213 300  225500-230000   00     121.28  758.7    119.79     0.00    -9999
HERMANUS   061213 300  230000-230500   00     119.59  758.8    118.21    -1.40    -9999
HERMANUS   061213 300  230500-231000   00     120.97  758.8    119.55    -0.20    -9999
HERMANUS   061213 300  231000-231500   00     120.84  758.7    119.38    -0.40    -9999
