Fort SMITH LATITUDE    60        LONGITUDE     -112      ALTITUDE    0 M
Fort SMITH INSTRUMENT   18NM64    NEUTRON MONITOR     	
Fort SMITH STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
Fort SMITH PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
Fort SMITH PRE-INCREASE AVERAGE COUNTING RATE    226.72      COUNTS PER SECOND
Fort SMITH TIME INTERVALS    300         3600     
Fort SMITH SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
Fort SMITH 211028 300  233500-234000   00     299.64  977.7    230.65     1.73     0.68
Fort SMITH 211028 300  234000-234500   00     296.96  977.7    228.57     0.81    -0.23
Fort SMITH 211028 300  234500-235000   00     300.75  977.7    231.38     2.06     1.03
Fort SMITH 211028 300  235000-235500   00     296.95  977.6    228.37     0.73    -0.30
Fort SMITH 211028 300  235500-240000   00     298.14  977.6    229.22     1.10     0.08
Fort SMITH 211029 3600 000000-010000   00     297.92  977.4    228.75     0.89    -9999
Fort SMITH 211029 3600 010000-020000   00     299.05  977.1    229.16     1.07    -9999
Fort SMITH 211029 3600 020000-030000   00     298.84  977.0    228.67     0.86    -9999
Fort SMITH 211029 3600 030000-040000   00     296.98  976.9    227.23     0.22    -9999
Fort SMITH 211029 3600 040000-050000   00     296.33  977.0    226.92     0.09    -9999
Fort SMITH 211029 3600 050000-060000   00     295.22  976.9    225.80    -0.41    -9999
Fort SMITH 211029 3600 060000-070000   00     295.91  976.9    226.38    -0.15    -9999
Fort SMITH 211029 3600 070000-080000   00     295.88  976.7    226.03    -0.31    -9999
Fort SMITH 211029 3600 080000-090000   00     295.86  976.6    225.73    -0.44    -9999
Fort SMITH 211029 3600 090000-100000   00     296.70  976.5    226.40    -0.14    -9999
Fort SMITH 211029 3600 100000-110000   00     296.46  976.6    226.30    -0.19    -9999
Fort SMITH 211029 3600 110000-120000   00     295.60  977.0    226.38    -0.15    -9999
Fort SMITH 211029 3600 120000-130000   00     294.47  977.5    226.34    -0.17    -9999
Fort SMITH 211029 3600 130000-140000   00     293.74  977.8    226.27    -0.20    -9999
Fort SMITH 211029 3600 140000-150000   00     292.50  978.2    225.91    -0.36    -9999
Fort SMITH 211029 3600 150000-160000   00     293.20  978.5    226.95     0.10    -9999
Fort SMITH 211029 3600 160000-170000   00     293.00  979.0    227.74     0.45    -9999
Fort SMITH 211029 3600 170000-180000   00     292.54  979.5    228.25     0.67    -9999
Fort SMITH 211029 3600 180000-190000   00     293.92  979.8    229.74     1.33    -9999
Fort SMITH 211029 3600 190000-200000   00     292.06  980.1    228.84     0.93    -9999
Fort SMITH 211029 3600 200000-210000   00     290.67  980.7    228.77     0.90    -9999
Fort SMITH 211029 3600 210000-220000   00     289.72  981.4    229.16     1.08    -9999
Fort SMITH 211029 3600 220000-230000   00     287.89  982.1    228.92     0.97    -9999
Fort SMITH 211029 3600 230000-240000   00     285.60  982.9    228.50     0.79    -9999
*
COMMENT  FILE COMPOSED BY ILYA USOSKIN OF THE UNIVERSITY OF OULU
COMMENT  DATA OBTAINED FROM NMDB (15.05.2022)
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-03-30 17:39:06 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE73/C073FSMT_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
