POTCHEFSTR LATITUDE    -26.68    LONGITUDE     27.92     ALTITUDE    1351 M
POTCHEFSTR INSTRUMENT   12IGY    NEUTRON MONITOR     
POTCHEFSTR STANDARD PRESSURE    869.7   mb     COEFFICIENT   -0.743    % / mb
POTCHEFSTR PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
POTCHEFSTR PRE-INCREASE AVERAGE COUNTING RATE     52.98      COUNTS PER SECOND
POTCHEFSTR TIME INTERVALS    300         3600     
POTCHEFSTR SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
POTCHEFSTR 031029 300  015500-020000   00      52.53  871.1     53.08     0.20    -9999
POTCHEFSTR 031029 300  020000-020500   00      52.29  871.1     52.85    -0.20    -9999
POTCHEFSTR 031029 300  020500-021000   00      51.03  871.2     51.59    -2.60    -9999
POTCHEFSTR 031029 300  021000-021500   00      52.72  871.2     53.32     0.60    -9999
POTCHEFSTR 031029 300  021500-022000   00      52.51  871.3     53.13     0.30    -9999
POTCHEFSTR 031029 300  022000-022500   00      53.11  871.3     53.75     1.50    -9999
POTCHEFSTR 031029 300  022500-023000   00      52.23  871.4     52.88    -0.20    -9999
POTCHEFSTR 031029 300  023000-023500   00      52.59  871.4     53.26     0.50    -9999
POTCHEFSTR 031029 300  023500-024000   00      52.14  871.5     52.83    -0.30    -9999
POTCHEFSTR 031029 300  024000-024500   00      52.30  871.5     53.02     0.10    -9999
POTCHEFSTR 031029 300  024500-025000   00      52.02  871.6     52.75    -0.40    -9999
POTCHEFSTR 031029 300  025000-025500   00      52.12  871.6     52.87    -0.20    -9999
POTCHEFSTR 031029 300  025500-030000   00      53.87  871.7     54.66     3.20    -9999
POTCHEFSTR 031029 300  030000-030500   00      51.96  871.7     52.74    -0.50    -9999
POTCHEFSTR 031029 300  030500-031000   00      52.74  871.7     53.54     1.10    -9999
POTCHEFSTR 031029 300  031000-031500   00      53.50  871.7     54.30     2.50    -9999
POTCHEFSTR 031029 300  031500-032000   00      52.61  871.7     53.41     0.80    -9999
POTCHEFSTR 031029 300  032000-032500   00      52.30  871.7     53.09     0.20    -9999
POTCHEFSTR 031029 300  032500-033000   00      52.06  871.7     52.85    -0.20    -9999
POTCHEFSTR 031029 300  033000-033500   00      51.48  871.8     52.26    -1.40    -9999
POTCHEFSTR 031029 300  033500-034000   00      52.75  871.8     53.56     1.10    -9999
POTCHEFSTR 031029 300  034000-034500   00      51.52  871.8     52.32    -1.20    -9999
POTCHEFSTR 031029 300  034500-035000   00      50.68  871.8     51.47    -2.90    -9999
POTCHEFSTR 031029 300  035000-035500   00      52.48  871.8     53.30     0.60    -9999
POTCHEFSTR 031029 300  035500-040000   00      50.99  871.8     51.79    -2.20    -9999
POTCHEFSTR 031029 300  040000-040500   00      51.93  871.8     52.74    -0.50    -9999
POTCHEFSTR 031029 300  040500-041000   00      51.16  871.8     51.97    -1.90    -9999
POTCHEFSTR 031029 300  041000-041500   00      51.97  871.8     52.78    -0.40    -9999
POTCHEFSTR 031029 300  041500-042000   00      51.68  871.8     52.49    -0.90    -9999
POTCHEFSTR 031029 300  042000-042500   00      49.55  871.8     50.33    -5.00    -9999
POTCHEFSTR 031029 300  042500-043000   00      53.41  871.8     54.25     2.40    -9999
POTCHEFSTR 031029 300  043000-043500   00      53.15  871.8     53.99     1.90    -9999
POTCHEFSTR 031029 300  043500-044000   00      51.45  871.8     52.26    -1.40    -9999
POTCHEFSTR 031029 300  044000-044500   00      52.05  871.8     52.87    -0.20    -9999
POTCHEFSTR 031029 300  044500-045000   00      53.09  871.8     53.92     1.80    -9999
POTCHEFSTR 031029 300  045000-045500   00      51.73  871.8     52.55    -0.80    -9999
POTCHEFSTR 031029 300  045500-050000   00      53.25  871.8     54.09     2.10    -9999
POTCHEFSTR 031029 300  050000-050500   00      52.60  871.8     53.43     0.80    -9999
POTCHEFSTR 031029 300  050500-051000   00      51.84  871.8     52.66    -0.60    -9999
POTCHEFSTR 031029 300  051000-051500   00      51.41  871.8     52.21    -1.50    -9999
POTCHEFSTR 031029 300  051500-052000   00      53.13  871.8     53.96     1.80    -9999
POTCHEFSTR 031029 300  052000-052500   00      53.20  871.8     54.03     2.00    -9999
POTCHEFSTR 031029 300  052500-053000   00      52.95  871.8     53.77     1.50    -9999
POTCHEFSTR 031029 300  053000-053500   00      51.14  871.7     51.93    -2.00    -9999
POTCHEFSTR 031029 300  053500-054000   00      54.26  871.7     55.09     4.00    -9999
POTCHEFSTR 031029 300  054000-054500   00      52.09  871.7     52.88    -0.20    -9999
POTCHEFSTR 031029 300  054500-055000   00      53.48  871.7     54.29     2.50    -9999
POTCHEFSTR 031029 300  055000-055500   00      53.63  871.7     54.43     2.70    -9999
POTCHEFSTR 031029 300  055500-060000   00      52.93  871.7     53.72     1.40    -9999
POTCHEFSTR 031029 300  060000-060500   00      53.86  871.7     54.67     3.20    -9999
POTCHEFSTR 031029 300  060500-061000   00      52.05  871.7     52.84    -0.30    -9999
POTCHEFSTR 031029 300  061000-061500   00      42.70  871.7     43.35   -18.20    -9999
POTCHEFSTR 031029 300  061500-062000   00    -999.00  871.7   -999.00    -9999    -9999
