PEAWANUCK  LATITUDE    55        LONGITUDE     -85       ALTITUDE    0 M
PEAWANUCK  INSTRUMENT   18NM64    NEUTRON MONITOR     
PEAWANUCK  STANDARD PRESSURE    1013.3  mb     COEFFICIENT   -0.75     % / mb
PEAWANUCK  PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
PEAWANUCK  PRE-INCREASE AVERAGE COUNTING RATE    215.15      COUNTS PER SECOND
PEAWANUCK  TIME INTERVALS    300         3600     
PEAWANUCK  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
PEAWANUCK  120517 300  175500-180000   00     222.45 1011.7    219.86     2.20    -9999
PEAWANUCK  120517 300  180000-180500   00     219.80 1011.7    217.24     1.00    -9999
PEAWANUCK  120517 300  180500-181000   00     221.93 1011.7    219.33     1.90    -9999
PEAWANUCK  120517 300  181000-181500   00     217.63 1011.6    215.02    -0.10    -9999
PEAWANUCK  120517 300  181500-182000   00     219.54 1011.7    217.02     0.90    -9999
PEAWANUCK  120517 300  182000-182500   00     219.00 1011.7    216.39     0.60    -9999
PEAWANUCK  120517 300  182500-183000   00     219.35 1011.6    216.65     0.70    -9999
PEAWANUCK  120517 300  183000-183500   00     216.99 1011.6    214.35    -0.40    -9999
PEAWANUCK  120517 300  183500-184000   00     223.32 1011.6    220.64     2.60    -9999
PEAWANUCK  120517 300  184000-184500   00     219.92 1011.7    217.30     1.00    -9999
