JUNGFRAU2  LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3475 M
JUNGFRAU2  INSTRUMENT   3-NM-64  NEUTRON MONITOR	
JUNGFRAU2  STANDARD PRESSURE    482     MMHG   COEFFICIENT   -0.96     % / MMHG
JUNGFRAU2  PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
JUNGFRAU2  PRE-INCREASE AVERAGE COUNTING RATE    309.66      COUNTS PER SECOND
JUNGFRAU2  TIME INTERVALS    60          3600     
JUNGFRAU2  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
JUNGFRAU2  010415 60   114700-114800   30     278.70  491.7    305.90    -1.20    -9999
JUNGFRAU2  010415 60   114800-114900   30     281.38  491.9    309.43    -0.10    -9999
JUNGFRAU2  010415 60   114900-115000   30     280.35  492.0    308.60    -0.30    -9999
JUNGFRAU2  010415 60   115000-115100   30     282.50  492.0    310.97     0.40    -9999
JUNGFRAU2  010415 60   115100-115200   30     273.30  491.6    299.68    -3.20    -9999
JUNGFRAU2  010415 60   115200-115300   30     281.67  491.6    308.85    -0.30    -9999
JUNGFRAU2  010415 60   115300-115400   30     283.63  491.9    311.92     0.70    -9999
JUNGFRAU2  010415 60   115400-115500   30     283.70  491.8    311.68     0.70    -9999
JUNGFRAU2  010415 60   115500-115600   30     277.08  491.9    304.70    -1.60    -9999
JUNGFRAU2  010415 60   115600-115700   30     283.22  491.7    310.85     0.40    -9999
JUNGFRAU2  010415 60   115700-115800   30     279.80  491.9    307.70    -0.60    -9999
JUNGFRAU2  010415 60   115800-115900   30     284.05  491.6    311.47     0.60    -9999
JUNGFRAU2  010415 60   115900-120000   30     281.97  491.6    309.20    -0.10    -9999
JUNGFRAU2  010415 60   120000-120100   30     279.75  491.6    306.77    -0.90    -9999
JUNGFRAU2  010415 60   120100-120200   30     282.50  491.6    309.78     0.00    -9999
JUNGFRAU2  010415 60   120200-120300   30     287.20  491.7    315.22     1.80    -9999
JUNGFRAU2  010415 60   120300-120400   30     274.95  491.6    301.48    -2.60    -9999
JUNGFRAU2  010415 60   120400-120500   30     279.33  491.7    306.60    -1.00    -9999
JUNGFRAU2  010415 60   120500-120600   30     284.30  492.0    312.93     1.10    -9999
JUNGFRAU2  010415 60   120600-120700   30     288.32  491.8    316.77     2.30    -9999
JUNGFRAU2  010415 60   120700-120800   30     276.83  491.9    304.43    -1.70    -9999
JUNGFRAU2  010415 60   120800-120900   30     282.28  491.8    310.13     0.20    -9999
JUNGFRAU2  010415 60   120900-121000   30     278.57  491.7    305.77    -1.30    -9999
JUNGFRAU2  010415 60   121000-121100   30     284.45  491.7    312.22     0.80    -9999
JUNGFRAU2  010415 60   121100-121200   30     283.20  491.7    310.83     0.40    -9999
JUNGFRAU2  010415 60   121200-121300   30     276.73  491.4    302.88    -2.20    -9999
JUNGFRAU2  010415 60   121300-121400   30     280.48  491.9    308.45    -0.40    -9999
JUNGFRAU2  010415 60   121400-121500   30     282.85  491.4    309.57     0.00    -9999
JUNGFRAU2  010415 60   121500-121600   30     286.78  491.7    314.77     1.60    -9999
JUNGFRAU2  010415 60   121600-121700   30     278.93  491.6    305.85    -1.20    -9999
JUNGFRAU2  010415 60   121700-121800   30     285.35  491.6    312.90     1.00    -9999
JUNGFRAU2  010415 60   121800-121900   30     281.60  491.7    309.08    -0.20    -9999
JUNGFRAU2  010415 60   121900-122000   30     280.55  491.7    307.93    -0.60    -9999
JUNGFRAU2  010415 60   122000-122100   30     283.77  491.6    311.15     0.50    -9999
JUNGFRAU2  010415 60   122100-122200   30     276.03  491.5    302.40    -2.30    -9999
JUNGFRAU2  010415 60   122200-122300   30     281.18  491.6    308.33    -0.40    -9999
JUNGFRAU2  010415 60   122300-122400   30     283.63  491.6    311.02     0.40    -9999
JUNGFRAU2  010415 60   122400-122500   30     284.78  491.7    312.58     0.90    -9999
JUNGFRAU2  010415 60   122500-122600   30     277.65  491.3    303.58    -2.00    -9999
JUNGFRAU2  010415 60   122600-122700   30     277.15  491.8    304.50    -1.70    -9999
JUNGFRAU2  010415 60   122700-122800   30     285.62  491.8    313.80     1.30    -9999
JUNGFRAU2  010415 60   122800-122900   30     288.18  491.7    316.32     2.10    -9999
JUNGFRAU2  010415 60   122900-123000   30     284.30  491.9    312.65     1.00    -9999
JUNGFRAU2  010415 60   123000-123100   30     279.33  491.8    306.88    -0.90    -9999
JUNGFRAU2  010415 60   123100-123200   30     279.70  491.8    307.28    -0.80    -9999
JUNGFRAU2  010415 60   123200-123300   30     285.87  491.3    312.57     0.90    -9999
JUNGFRAU2  010415 60   123300-123400   30     282.03  491.9    310.15     0.20    -9999
JUNGFRAU2  010415 60   123400-123500   30     278.33  491.8    305.80    -1.20    -9999
JUNGFRAU2  010415 60   123500-123600   30     278.60  491.9    306.37    -1.10    -9999
JUNGFRAU2  010415 60   123600-123700   30     283.63  491.7    311.30     0.50    -9999
JUNGFRAU2  010415 60   123700-123800   30     285.18  491.7    313.02     1.10    -9999
JUNGFRAU2  010415 60   123800-123900   30     287.68  491.7    315.77     2.00    -9999
JUNGFRAU2  010415 60   123900-124000   30     280.53  491.8    308.20    -0.50    -9999
JUNGFRAU2  010415 60   124000-124100   30     285.23  491.6    312.78     1.00    -9999
JUNGFRAU2  010415 60   124100-124200   30     281.92  491.5    308.83    -0.30    -9999
JUNGFRAU2  010415 60   124200-124300   30     282.43  491.4    309.10    -0.20    -9999
JUNGFRAU2  010415 60   124300-124400   30     286.00  491.7    313.92     1.40    -9999
JUNGFRAU2  010415 60   124400-124500   30     278.15  491.4    304.42    -1.70    -9999
JUNGFRAU2  010415 60   124500-124600   30     279.67  491.6    306.67    -1.00    -9999
JUNGFRAU2  010415 60   124600-124700   30     285.88  491.7    313.78     1.30    -9999
JUNGFRAU2  010415 60   124700-124800   30     285.27  491.8    313.40     1.20    -9999
JUNGFRAU2  010415 60   124800-124900   30     281.48  491.9    309.53     0.00    -9999
JUNGFRAU2  010415 60   124900-125000   30     282.23  491.9    310.38     0.20    -9999
JUNGFRAU2  010415 60   125000-125100   30     278.75  491.7    305.97    -1.20    -9999
JUNGFRAU2  010415 60   125100-125200   30     287.22  491.8    315.55     1.90    -9999
JUNGFRAU2  010415 60   125200-125300   30     281.82  491.7    309.32    -0.10    -9999
JUNGFRAU2  010415 60   125300-125400   30     281.08  491.7    308.50    -0.40    -9999
JUNGFRAU2  010415 60   125400-125500   30     282.13  491.6    309.38    -0.10    -9999
JUNGFRAU2  010415 60   125500-125600   30     286.07  491.7    313.98     1.40    -9999
JUNGFRAU2  010415 60   125600-125700   30     276.92  491.4    303.07    -2.10    -9999
JUNGFRAU2  010415 60   125700-125800   30     278.93  491.6    305.87    -1.20    -9999
JUNGFRAU2  010415 60   125800-125900   30     288.85  491.7    317.03     2.40    -9999
JUNGFRAU2  010415 60   125900-130000   30     283.50  491.4    310.27     0.20    -9999
JUNGFRAU2  010415 60   130000-130100   30     280.27  491.4    306.73    -0.90    -9999
JUNGFRAU2  010415 60   130100-130200   30     278.90  491.7    306.12    -1.10    -9999
JUNGFRAU2  010415 60   130200-130300   30     280.83  491.7    308.23    -0.50    -9999
JUNGFRAU2  010415 60   130300-130400   30     276.42  491.7    303.40    -2.00    -9999
