IRKUTSK3   LATITUDE    52.28     LONGITUDE     104.02    ALTITUDE    3000 M
IRKUTSK3   INSTRUMENT   6NM64    NEUTRON MONITOR     
IRKUTSK3   STANDARD PRESSURE    707     mb     COEFFICIENT   -0.72     % / mb
IRKUTSK3   PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
IRKUTSK3   PRE-INCREASE AVERAGE COUNTING RATE    428.23      COUNTS PER SECOND
IRKUTSK3   TIME INTERVALS    300         3600     
IRKUTSK3   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
IRKUTSK3   120517 300  104000-104500   00     432.20  713.1    426.40    -0.40    -9999
IRKUTSK3   120517 300  104500-105000   00     433.20  713.1    427.40    -0.20    -9999
IRKUTSK3   120517 300  105000-105500   00     432.20  713.3    427.00    -0.30    -9999
IRKUTSK3   120517 300  105500-110000   00     434.00  713.2    428.40     0.00    -9999
IRKUTSK3   120517 300  110000-110500   00     434.80  713.2    429.40     0.30    -9999
IRKUTSK3   120517 300  110500-111000   00     433.20  713.4    428.40     0.00    -9999
IRKUTSK3   120517 300  111000-111500   00     430.20  713.3    425.00    -0.80    -9999
IRKUTSK3   120517 300  111500-112000   00     434.80  713.5    430.20     0.50    -9999
IRKUTSK3   120517 300  112000-112500   00     431.80  713.6    427.00    -0.30    -9999
IRKUTSK3   120517 300  112500-113000   00     433.20  713.5    428.40     0.00    -9999
IRKUTSK3   120517 300  113000-113500   00     431.20  713.6    427.00    -0.30    -9999
IRKUTSK3   120517 300  113500-114000   00     432.20  713.6    428.20     0.00    -9999
IRKUTSK3   120517 300  114000-114500   00     427.40  713.6    423.20    -1.20    -9999
IRKUTSK3   120517 300  114500-115000   00     429.00  713.7    425.20    -0.70    -9999
IRKUTSK3   120517 300  115000-115500   00     427.80  713.8    424.00    -1.00    -9999
IRKUTSK3   120517 300  115500-120000   00     425.80  713.8    422.00    -1.50    -9999
IRKUTSK3   120517 300  120000-120500   00     427.60  713.8    424.20    -0.90    -9999
IRKUTSK3   120517 300  120500-121000   00     427.80  713.9    424.60    -0.80    -9999
IRKUTSK3   120517 300  121000-121500   00     427.80  714.0    424.80    -0.80    -9999
IRKUTSK3   120517 300  121500-122000   00     425.20  714.0    422.40    -1.40    -9999
IRKUTSK3   120517 300  122000-122500   00     427.00  714.0    423.80    -1.00    -9999
IRKUTSK3   120517 300  122500-123000   00     426.00  714.1    423.20    -1.20    -9999
IRKUTSK3   120517 300  123000-123500   00     430.00  714.1    427.60    -0.10    -9999
IRKUTSK3   120517 300  123500-124000   00     430.00  714.3    428.00    -0.10    -9999
IRKUTSK3   120517 300  124000-124500   00     426.40  714.3    424.40    -0.90    -9999
IRKUTSK3   120517 300  124500-125000   00     426.00  714.4    424.20    -0.90    -9999
IRKUTSK3   120517 300  125000-125500   00     428.00  714.3    425.80    -0.60    -9999
