INUVIK     LATITUDE    68.35     LONGITUDE     -133.72   ALTITUDE    21 M
INUVIK     INSTRUMENT   18NM64    NEUTRON MONITOR     	
INUVIK     STANDARD PRESSURE    1008.14 MB     COEFFICIENT   -0.74     % / MB
INUVIK     PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
INUVIK     PRE-INCREASE AVERAGE COUNTING RATE    193.10      COUNTS PER SECOND
INUVIK     TIME INTERVALS    300         3600     
INUVIK     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
INUVIK     120517 300  105500-110000   00     172.34 1028.1    192.70    -0.20    -9999
INUVIK     120517 300  110000-110500   00     172.92 1028.1    193.35     0.10    -9999
INUVIK     120517 300  110500-111000   00     173.19 1028.1    193.63     0.30    -9999
INUVIK     120517 300  111000-111500   00     170.05 1028.1    190.09    -1.60    -9999
INUVIK     120517 300  111500-112000   00     173.42 1028.1    193.85     0.40    -9999
INUVIK     120517 300  112000-112500   00     170.32 1028.1    190.32    -1.40    -9999
INUVIK     120517 300  112500-113000   00     172.86 1028.0    193.09     0.00    -9999
INUVIK     120517 300  113000-113500   00     170.90 1028.0    190.85    -1.20    -9999
INUVIK     120517 300  113500-114000   00     172.08 1028.0    192.14    -0.50    -9999
INUVIK     120517 300  114000-114500   00     173.42 1028.0    193.68     0.30    -9999
INUVIK     120517 300  114500-115000   00     172.08 1028.0    192.19    -0.50    -9999
INUVIK     120517 300  115000-115500   00     172.02 1028.0    192.07    -0.50    -9999
INUVIK     120517 300  115500-120000   00     174.32 1027.9    194.59     0.80    -9999
INUVIK     120517 300  120000-120500   00     172.17 1027.9    192.20    -0.50    -9999
INUVIK     120517 300  120500-121000   00     172.06 1027.9    192.09    -0.50    -9999
INUVIK     120517 300  121000-121500   00     173.18 1027.9    193.35     0.10    -9999
INUVIK     120517 300  121500-122000   00     173.50 1027.9    193.70     0.30    -9999
INUVIK     120517 300  122000-122500   00     171.62 1027.9    191.58    -0.80    -9999
INUVIK     120517 300  122500-123000   00     172.80 1027.9    192.92    -0.10    -9999
INUVIK     120517 300  123000-123500   00     173.59 1027.9    193.81     0.40    -9999
INUVIK     120517 300  123500-124000   00     171.83 1027.9    191.85    -0.60    -9999
INUVIK     120517 300  124000-124500   00     170.89 1027.9    190.79    -1.20    -9999
INUVIK     120517 300  124500-125000   00     172.63 1027.9    192.70    -0.20    -9999
INUVIK     120517 300  125000-125500   00     171.38 1027.9    191.22    -1.00    -9999
INUVIK     120517 300  125500-130000   00     170.84 1027.8    190.51    -1.30    -9999
INUVIK     120517 300  130000-130500   00     172.88 1027.7    192.67    -0.20    -9999
INUVIK     120517 300  130500-131000   00     173.38 1027.7    193.19     0.00    -9999
INUVIK     120517 300  131000-131500   00     173.55 1027.6    193.31     0.10    -9999
INUVIK     120517 300  131500-132000   00     173.97 1027.6    193.71     0.30    -9999
INUVIK     120517 300  132000-132500   00     172.20 1027.6    191.73    -0.70    -9999
INUVIK     120517 300  132500-133000   00     172.22 1027.6    191.74    -0.70    -9999
INUVIK     120517 300  133000-133500   00     173.31 1027.5    192.89    -0.10    -9999
INUVIK     120517 300  133500-134000   00     175.30 1027.5    195.03     1.00    -9999
INUVIK     120517 300  134000-134500   00     170.71 1027.5    189.94    -1.60    -9999
INUVIK     120517 300  134500-135000   00     172.44 1027.5    191.90    -0.60    -9999
INUVIK     120517 300  135000-135500   00     174.79 1027.5    194.51     0.70    -9999
INUVIK     120517 300  135500-140000   00     173.07 1027.4    192.52    -0.30    -9999
INUVIK     120517 300  140000-140500   00     174.08 1027.4    193.57     0.20    -9999
INUVIK     120517 300  140500-141000   00     172.51 1027.4    191.81    -0.70    -9999
INUVIK     120517 300  141000-141500   00     172.59 1027.4    191.89    -0.60    -9999
INUVIK     120517 300  141500-142000   00     176.09 1027.4    195.74     1.40    -9999
INUVIK     120517 300  142000-142500   00     171.99 1027.3    191.13    -1.00    -9999
INUVIK     120517 300  142500-143000   00     173.68 1027.3    192.97    -0.10    -9999
INUVIK     120517 300  143000-143500   00     172.82 1027.3    192.02    -0.60    -9999
INUVIK     120517 300  143500-144000   00     174.31 1027.3    193.73     0.30    -9999
INUVIK     120517 300  144000-144500   00     174.28 1027.4    193.75     0.30    -9999
INUVIK     120517 300  144500-145000   00     172.94 1027.3    192.21    -0.50    -9999
INUVIK     120517 300  145000-145500   00     173.25 1027.3    192.47    -0.30    -9999
INUVIK     120517 300  145500-150000   00     175.76 1027.2    195.16     1.10    -9999
INUVIK     120517 300  150000-150500   00     175.16 1027.2    194.46     0.70    -9999
INUVIK     120517 300  150500-151000   00     174.66 1027.2    193.88     0.40    -9999
INUVIK     120517 300  151000-151500   00     176.47 1027.2    195.89     1.40    -9999
INUVIK     120517 300  151500-152000   00     172.11 1027.2    191.04    -1.10    -9999
INUVIK     120517 300  152000-152500   00     175.11 1027.2    194.36     0.70    -9999
INUVIK     120517 300  152500-153000   00     175.44 1027.2    194.73     0.80    -9999
INUVIK     120517 300  153000-153500   00     175.46 1027.1    194.68     0.80    -9999
INUVIK     120517 300  153500-154000   00     175.50 1027.1    194.67     0.80    -9999
INUVIK     120517 300  154000-154500   00     171.59 1027.0    190.28    -1.50    -9999
INUVIK     120517 300  154500-155000   00     173.20 1027.0    192.06    -0.50    -9999
INUVIK     120517 300  155000-155500   00     174.07 1027.0    193.01     0.00    -9999
INUVIK     120517 300  155500-160000   00     174.68 1027.0    193.62     0.30    -9999
INUVIK     120517 300  160000-160500   00     174.37 1026.9    193.22     0.10    -9999
INUVIK     120517 300  160500-161000   00     173.81 1026.9    192.59    -0.30    -9999
INUVIK     120517 300  161000-161500   00     172.78 1026.9    191.41    -0.90    -9999
INUVIK     120517 300  161500-162000   00     176.69 1026.9    195.70     1.30    -9999
INUVIK     120517 300  162000-162500   00     173.65 1026.9    192.34    -0.40    -9999
INUVIK     120517 300  162500-163000   00     176.16 1026.9    195.16     1.10    -9999
INUVIK     120517 300  163000-163500   00     176.03 1026.9    195.01     1.00    -9999
INUVIK     120517 300  163500-164000   00     172.84 1026.9    191.48    -0.80    -9999
INUVIK     120517 300  164000-164500   00     174.87 1026.9    193.73     0.30    -9999
INUVIK     120517 300  164500-165000   00     173.52 1026.9    192.22    -0.50    -9999
INUVIK     120517 300  165000-165500   00     175.91 1026.9    194.85     0.90    -9999
INUVIK     120517 300  165500-170000   00     175.18 1026.9    194.03     0.50    -9999
INUVIK     120517 300  170000-170500   00     174.84 1026.9    193.62     0.30    -9999
INUVIK     120517 300  170500-171000   00     171.82 1026.9    190.28    -1.50    -9999
INUVIK     120517 300  171000-171500   00     176.16 1026.8    195.07     1.00    -9999
INUVIK     120517 300  171500-172000   00     173.79 1026.8    192.42    -0.40    -9999
INUVIK     120517 300  172000-172500   00     173.06 1026.8    191.60    -0.80    -9999
INUVIK     120517 300  172500-173000   00     175.36 1026.8    194.13     0.50    -9999
INUVIK     120517 300  173000-173500   00     176.11 1026.8    194.93     0.90    -9999
INUVIK     120517 300  173500-174000   00     176.34 1026.8    195.17     1.10    -9999
INUVIK     120517 300  174000-174500   00     172.40 1026.8    190.80    -1.20    -9999
INUVIK     120517 300  174500-175000   00     173.22 1026.8    191.71    -0.70    -9999
INUVIK     120517 300  175000-175500   00     172.98 1026.7    191.39    -0.90    -9999
INUVIK     120517 300  175500-180000   00     175.65 1026.6    194.21     0.60    -9999
INUVIK     120517 300  180000-180500   00     175.97 1026.6    194.55     0.80    -9999
INUVIK     120517 300  180500-181000   00     174.04 1026.6    192.42    -0.40    -9999
INUVIK     120517 300  181000-181500   00     176.43 1026.6    195.03     1.00    -9999
INUVIK     120517 300  181500-182000   00     177.83 1026.6    196.53     1.80    -9999
INUVIK     120517 300  182000-182500   00     174.27 1026.5    192.53    -0.30    -9999
INUVIK     120517 300  182500-183000   00     176.83 1026.5    195.29     1.10    -9999
INUVIK     120517 300  183000-183500   00     175.26 1026.5    193.51     0.20    -9999
INUVIK     120517 300  183500-184000   00     176.73 1026.5    195.14     1.10    -9999
INUVIK     120517 300  184000-184500   00     176.11 1026.5    194.46     0.70    -9999
INUVIK     120517 300  184500-185000   00     174.44 1026.5    192.64    -0.20    -9999
INUVIK     120517 300  185000-185500   00     175.09 1026.4    193.29     0.10    -9999
INUVIK     120517 300  185500-190000   00     175.75 1026.4    193.96     0.40    -9999
INUVIK     120517 300  190000-190500   00     176.21 1026.4    194.47     0.70    -9999
INUVIK     120517 300  190500-191000   00     174.66 1026.3    192.68    -0.20    -9999
INUVIK     120517 300  191000-191500   00     174.31 1026.3    192.17    -0.50    -9999
INUVIK     120517 300  191500-192000   00     173.55 1026.2    191.32    -0.90    -9999
INUVIK     120517 300  192000-192500   00     174.42 1026.2    192.24    -0.40    -9999
INUVIK     120517 300  192500-193000   00     175.41 1026.2    193.30     0.10    -9999
INUVIK     120517 300  193000-193500   00     174.57 1026.2    192.39    -0.40    -9999
INUVIK     120517 300  193500-194000   00     174.21 1026.2    192.01    -0.60    -9999
INUVIK     120517 300  194000-194500   00     175.08 1026.2    192.96    -0.10    -9999
INUVIK     120517 300  194500-195000   00     175.17 1026.2    193.04     0.00    -9999
INUVIK     120517 300  195000-195500   00     175.95 1026.2    193.86     0.40    -9999
INUVIK     120517 300  195500-200000   00     173.82 1026.1    191.44    -0.90    -9999
INUVIK     120517 300  200000-200500   00     174.02 1026.1    191.62    -0.80    -9999
INUVIK     120517 300  200500-201000   00     177.06 1026.0    194.90     0.90    -9999
INUVIK     120517 300  201000-201500   00     176.42 1026.0    194.12     0.50    -9999
INUVIK     120517 300  201500-202000   00     173.43 1025.9    190.74    -1.20    -9999
INUVIK     120517 300  202000-202500   00     175.27 1025.9    192.70    -0.20    -9999
INUVIK     120517 300  202500-203000   00     176.03 1025.9    193.48     0.20    -9999
INUVIK     120517 300  203000-203500   00     176.21 1025.8    193.56     0.20    -9999
