MAGADAN    LATITUDE    60.1      LONGITUDE     151       ALTITUDE    0 M
MAGADAN    INSTRUMENT   18NM64    NEUTRON MONITOR     	
MAGADAN    STANDARD PRESSURE    982     mb     COEFFICIENT   -0.74     % / mb
MAGADAN    PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
MAGADAN    PRE-INCREASE AVERAGE COUNTING RATE    180.38      COUNTS PER SECOND
MAGADAN    TIME INTERVALS    300         3600     
MAGADAN    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MAGADAN    120517 300  130000-130500   00     176.49  981.0    177.72    -1.50    -9999
MAGADAN    120517 300  130500-131000   00     180.71  981.1    182.09     0.90    -9999
MAGADAN    120517 300  131000-131500   00     177.85  981.1    179.23    -0.60    -9999
MAGADAN    120517 300  131500-132000   00     177.83  981.0    179.15    -0.70    -9999
MAGADAN    120517 300  132000-132500   00     178.76  981.1    180.21    -0.10    -9999
MAGADAN    120517 300  132500-133000   00     177.31  981.1    178.75    -0.90    -9999
MAGADAN    120517 300  133000-133500   00     177.77  981.1    179.23    -0.60    -9999
MAGADAN    120517 300  133500-134000   00     178.05  981.1    179.49    -0.50    -9999
MAGADAN    120517 300  134000-134500   00     177.85  981.1    179.28    -0.60    -9999
MAGADAN    120517 300  134500-135000   00     176.84  981.2    178.32    -1.10    -9999
MAGADAN    120517 300  135000-135500   00     176.53  981.2    178.06    -1.30    -9999
MAGADAN    120517 300  135500-140000   00     177.32  981.2    178.84    -0.90    -9999
MAGADAN    120517 300  140000-140500   00     177.11  981.2    178.60    -1.00    -9999
MAGADAN    120517 300  140500-141000   00     177.95  981.2    179.48    -0.50    -9999
MAGADAN    120517 300  141000-141500   00     177.89  981.2    179.47    -0.50    -9999
MAGADAN    120517 300  141500-142000   00     177.64  981.3    179.26    -0.60    -9999
MAGADAN    120517 300  142000-142500   00     177.12  981.3    178.78    -0.90    -9999
MAGADAN    120517 300  142500-143000   00     176.37  981.3    178.03    -1.30    -9999
MAGADAN    120517 300  143000-143500   00     178.48  981.2    180.05    -0.20    -9999
MAGADAN    120517 300  143500-144000   00     177.01  981.3    178.63    -1.00    -9999
MAGADAN    120517 300  144000-144500   00     175.38  981.4    177.14    -1.80    -9999
MAGADAN    120517 300  144500-145000   00     178.24  981.4    180.03    -0.20    -9999
MAGADAN    120517 300  145000-145500   00     179.27  981.4    181.11     0.40    -9999
MAGADAN    120517 300  145500-150000   00     179.29  981.5    181.26     0.50    -9999
MAGADAN    120517 300  150000-150500   00     175.31  981.5    177.25    -1.70    -9999
MAGADAN    120517 300  150500-151000   00     180.37  981.5    182.35     1.10    -9999
MAGADAN    120517 300  151000-151500   00     175.93  981.5    177.89    -1.40    -9999
MAGADAN    120517 300  151500-152000   00     173.64  981.6    175.63    -2.60    -9999
MAGADAN    120517 300  152000-152500   00     176.87  981.6    178.92    -0.80    -9999
MAGADAN    120517 300  152500-153000   00     175.75  981.6    177.77    -1.40    -9999
MAGADAN    120517 300  153000-153500   00     177.46  981.5    179.44    -0.50    -9999
MAGADAN    120517 300  153500-154000   00     178.61  981.5    180.59     0.10    -9999
MAGADAN    120517 300  154000-154500   00     176.83  981.5    178.77    -0.90    -9999
MAGADAN    120517 300  154500-155000   00     174.35  981.5    176.20    -2.30    -9999
MAGADAN    120517 300  155000-155500   00     177.58  981.5    179.50    -0.50    -9999
MAGADAN    120517 300  155500-160000   00     175.77  981.5    177.68    -1.50    -9999
MAGADAN    120517 300  160000-160500   00     178.94  981.5    180.92     0.30    -9999
MAGADAN    120517 300  160500-161000   00     177.70  981.5    179.68    -0.40    -9999
MAGADAN    120517 300  161000-161500   00     177.16  981.6    179.15    -0.70    -9999
MAGADAN    120517 300  161500-162000   00     175.81  981.6    177.80    -1.40    -9999
MAGADAN    120517 300  162000-162500   00     177.39  981.6    179.42    -0.50    -9999
MAGADAN    120517 300  162500-163000   00     177.88  981.6    179.88    -0.30    -9999
MAGADAN    120517 300  163000-163500   00     176.69  981.6    178.73    -0.90    -9999
MAGADAN    120517 300  163500-164000   00     176.61  981.6    178.60    -1.00    -9999
MAGADAN    120517 300  164000-164500   00     177.01  981.6    179.04    -0.70    -9999
MAGADAN    120517 300  164500-165000   00     177.11  981.6    179.14    -0.70    -9999
MAGADAN    120517 300  165000-165500   00     177.80  981.5    179.78    -0.30    -9999
MAGADAN    120517 300  165500-170000   00     178.25  981.5    180.17    -0.10    -9999
MAGADAN    120517 300  170000-170500   00     176.01  981.5    177.94    -1.40    -9999
MAGADAN    120517 300  170500-171000   00     179.77  981.5    181.75     0.80    -9999
MAGADAN    120517 300  171000-171500   00     175.75  981.6    177.80    -1.40    -9999
MAGADAN    120517 300  171500-172000   00     176.74  981.7    178.92    -0.80    -9999
MAGADAN    120517 300  172000-172500   00     178.94  981.7    181.08     0.40    -9999
MAGADAN    120517 300  172500-173000   00     175.51  981.7    177.67    -1.50    -9999
MAGADAN    120517 300  173000-173500   00     177.76  981.8    180.06    -0.20    -9999
MAGADAN    120517 300  173500-174000   00     174.94  981.8    177.23    -1.70    -9999
MAGADAN    120517 300  174000-174500   00     177.93  981.8    180.27    -0.10    -9999
MAGADAN    120517 300  174500-175000   00     177.36  981.8    179.69    -0.40    -9999
MAGADAN    120517 300  175000-175500   00     176.83  981.8    179.17    -0.70    -9999
MAGADAN    120517 300  175500-180000   00     177.51  981.9    179.93    -0.20    -9999
MAGADAN    120517 300  180000-180500   00     178.94  981.9    181.44     0.60    -9999
MAGADAN    120517 300  180500-181000   00     179.15  981.9    181.62     0.70    -9999
MAGADAN    120517 300  181000-181500   00     175.08  981.9    177.50    -1.60    -9999
MAGADAN    120517 300  181500-182000   00     177.98  981.9    180.40     0.00    -9999
MAGADAN    120517 300  182000-182500   00     176.52  981.9    179.01    -0.80    -9999
MAGADAN    120517 300  182500-183000   00     176.93  982.0    179.53    -0.50    -9999
MAGADAN    120517 300  183000-183500   00     175.83  982.1    178.46    -1.10    -9999
MAGADAN    120517 300  183500-184000   00     177.76  982.1    180.43     0.00    -9999
MAGADAN    120517 300  184000-184500   00     176.47  982.1    179.17    -0.70    -9999
MAGADAN    120517 300  184500-185000   00     177.41  982.1    180.08    -0.20    -9999
MAGADAN    120517 300  185000-185500   00     176.75  982.1    179.40    -0.50    -9999
MAGADAN    120517 300  185500-190000   00     175.63  982.1    178.36    -1.10    -9999
MAGADAN    120517 300  190000-190500   00     176.40  982.2    179.23    -0.60    -9999
MAGADAN    120517 300  190500-191000   00     176.81  982.3    179.75    -0.30    -9999
MAGADAN    120517 300  191000-191500   00     175.75  982.3    178.70    -0.90    -9999
MAGADAN    120517 300  191500-192000   00     177.49  982.3    180.49     0.10    -9999
MAGADAN    120517 300  192000-192500   00     175.58  982.3    178.54    -1.00    -9999
MAGADAN    120517 300  192500-193000   00     176.42  982.3    179.42    -0.50    -9999
MAGADAN    120517 300  193000-193500   00     176.30  982.5    179.46    -0.50    -9999
MAGADAN    120517 300  193500-194000   00     176.27  982.5    179.48    -0.50    -9999
MAGADAN    120517 300  194000-194500   00     176.66  982.6    179.94    -0.20    -9999
MAGADAN    120517 300  194500-195000   00     176.51  982.6    179.90    -0.30    -9999
MAGADAN    120517 300  195000-195500   00     178.26  982.6    181.69     0.70    -9999
MAGADAN    120517 300  195500-200000   00     175.96  982.6    179.35    -0.60    -9999
MAGADAN    120517 300  200000-200500   00     175.09  982.6    178.43    -1.10    -9999
MAGADAN    120517 300  200500-201000   00     174.93  982.6    178.24    -1.20    -9999
MAGADAN    120517 300  201000-201500   00     177.51  982.6    180.81     0.20    -9999
MAGADAN    120517 300  201500-202000   00     176.50  982.5    179.74    -0.40    -9999
MAGADAN    120517 300  202000-202500   00     174.52  982.6    177.76    -1.50    -9999
