HERMANUS   LATITUDE    -34.42    LONGITUDE     19.22     ALTITUDE    26 M
HERMANUS   INSTRUMENT   12NM64    NEUTRON MONITOR     
HERMANUS   STANDARD PRESSURE    1012.3  mb     COEFFICIENT   -0.73     % / mb
HERMANUS   PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
HERMANUS   PRE-INCREASE AVERAGE COUNTING RATE    110.14      COUNTS PER SECOND
HERMANUS   TIME INTERVALS    300         3600     
HERMANUS   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
HERMANUS   031028 300  230000-230500   00     114.37 1010.8    113.12     2.70    -9999
HERMANUS   031028 300  230500-231000   00     112.14 1010.8    110.90     0.70    -9999
HERMANUS   031028 300  231000-231500   00     114.22 1010.8    112.94     2.50    -9999
HERMANUS   031028 300  231500-232000   00     114.84 1010.7    113.54     3.10    -9999
HERMANUS   031028 300  232000-232500   00     112.72 1010.7    111.43     1.20    -9999
HERMANUS   031028 300  232500-233000   00     112.74 1010.7    111.44     1.20    -9999
HERMANUS   031028 300  233000-233500   00     113.68 1010.7    112.35     2.00    -9999
HERMANUS   031028 300  233500-234000   00     114.31 1010.7    112.96     2.50    -9999
HERMANUS   031028 300  234000-234500   00     113.41 1010.7    112.06     1.70    -9999
HERMANUS   031028 300  234500-235000   00     114.08 1010.6    112.71     2.30    -9999
HERMANUS   031028 300  235000-235500   00     116.21 1010.6    114.80     4.20    -9999
HERMANUS   031028 300  235500-240000   00     113.56 1010.6    112.17     1.80    -9999
HERMANUS   031029 300  000000-000500   00     114.45 1010.6    113.03     2.60    -9999
HERMANUS   031029 300  000500-001000   00     113.20 1010.6    111.79     1.50    -9999
HERMANUS   031029 300  001000-001500   00     113.27 1010.6    111.84     1.50    -9999
HERMANUS   031029 300  001500-002000   00     113.79 1010.5    112.33     2.00    -9999
HERMANUS   031029 300  002000-002500   00     113.13 1010.5    111.68     1.40    -9999
HERMANUS   031029 300  002500-003000   00     113.73 1010.5    112.25     1.90    -9999
HERMANUS   031029 300  003000-003500   00     112.87 1010.5    111.39     1.10    -9999
HERMANUS   031029 300  003500-004000   00     115.45 1010.5    113.92     3.40    -9999
HERMANUS   031029 300  004000-004500   00     113.92 1010.5    112.40     2.00    -9999
HERMANUS   031029 300  004500-005000   00     114.45 1010.4    112.91     2.50    -9999
HERMANUS   031029 300  005000-005500   00     116.22 1010.4    114.64     4.10    -9999
HERMANUS   031029 300  005500-010000   00     115.04 1010.4    113.46     3.00    -9999
HERMANUS   031029 300  010000-010500   00     116.67 1010.4    115.07     4.50    -9999
HERMANUS   031029 300  010500-011000   00     114.81 1010.4    113.26     2.80    -9999
HERMANUS   031029 300  011000-011500   00     115.50 1010.5    113.96     3.50    -9999
HERMANUS   031029 300  011500-012000   00     115.32 1010.5    113.80     3.30    -9999
HERMANUS   031029 300  012000-012500   00     115.33 1010.5    113.83     3.30    -9999
HERMANUS   031029 300  012500-013000   00     113.74 1010.5    112.29     1.90    -9999
HERMANUS   031029 300  013000-013500   00     115.38 1010.6    113.92     3.40    -9999
HERMANUS   031029 300  013500-014000   00     115.09 1010.6    113.66     3.20    -9999
HERMANUS   031029 300  014000-014500   00     115.32 1010.6    113.91     3.40    -9999
HERMANUS   031029 300  014500-015000   00     113.86 1010.6    112.48     2.10    -9999
HERMANUS   031029 300  015000-015500   00     115.54 1010.7    114.17     3.70    -9999
HERMANUS   031029 300  015500-020000   00     116.44 1010.7    115.07     4.50    -9999
HERMANUS   031029 300  020000-020500   00     116.17 1010.7    114.83     4.30    -9999
HERMANUS   031029 300  020500-021000   00     113.25 1010.7    111.96     1.60    -9999
