JUNGFRAU   LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3475 M
JUNGFRAU   INSTRUMENT   3-NM-64  NEUTRON MONITOR	
JUNGFRAU   STANDARD PRESSURE    641.06  MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU   PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
JUNGFRAU   PRE-INCREASE AVERAGE COUNTING RATE    159.14      COUNTS PER SECOND
JUNGFRAU   TIME INTERVALS    300         3600     
JUNGFRAU   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU   120517 300  102000-102500   00     173.38  656.1    164.28     3.20    -9999
JUNGFRAU   120517 300  102500-103000   00     170.48  656.1    161.51     1.50    -9999
JUNGFRAU   120517 300  103000-103500   00     169.46  656.1    160.50     0.90    -9999
JUNGFRAU   120517 300  103500-104000   00     172.45  656.1    163.35     2.60    -9999
JUNGFRAU   120517 300  104000-104500   00     172.34  656.1    163.10     2.50    -9999
JUNGFRAU   120517 300  104500-105000   00     171.13  656.1    162.10     1.90    -9999
JUNGFRAU   120517 300  105000-105500   00     171.91  656.1    162.84     2.30    -9999
JUNGFRAU   120517 300  105500-110000   00     170.36  656.1    161.38     1.40    -9999
JUNGFRAU   120517 300  110000-110500   00     171.58  656.1    162.49     2.10    -9999
JUNGFRAU   120517 300  110500-111000   00     170.61  656.1    161.69     1.60    -9999
JUNGFRAU   120517 300  111000-111500   00     170.95  656.1    161.92     1.70    -9999
JUNGFRAU   120517 300  111500-112000   00     170.79  656.1    161.70     1.60    -9999
JUNGFRAU   120517 300  112000-112500   00     170.77  656.1    161.77     1.70    -9999
JUNGFRAU   120517 300  112500-113000   00     169.67  656.1    160.78     1.00    -9999
JUNGFRAU   120517 300  113000-113500   00     169.88  656.1    160.82     1.10    -9999
JUNGFRAU   120517 300  113500-114000   00     171.26  656.0    162.11     1.90    -9999
JUNGFRAU   120517 300  114000-114500   00     172.37  656.1    163.25     2.60    -9999
JUNGFRAU   120517 300  114500-115000   00     171.49  656.1    162.46     2.10    -9999
JUNGFRAU   120517 300  115000-115500   00     171.35  656.1    162.42     2.10    -9999
JUNGFRAU   120517 300  115500-120000   00     169.49  656.1    160.43     0.80    -9999
JUNGFRAU   120517 300  120000-120500   00     169.74  656.2    160.97     1.10    -9999
JUNGFRAU   120517 300  120500-121000   00     172.71  656.2    163.70     2.90    -9999
JUNGFRAU   120517 300  121000-121500   00     171.38  656.2    162.51     2.10    -9999
JUNGFRAU   120517 300  121500-122000   00     171.44  656.2    162.51     2.10    -9999
JUNGFRAU   120517 300  122000-122500   00     167.89  656.2    159.22     0.10    -9999
JUNGFRAU   120517 300  122500-123000   00     170.16  656.2    161.34     1.40    -9999
JUNGFRAU   120517 300  123000-123500   00     169.34  656.3    160.67     1.00    -9999
JUNGFRAU   120517 300  123500-124000   00     170.55  656.3    161.80     1.70    -9999
JUNGFRAU   120517 300  124000-124500   00     169.38  656.3    160.70     1.00    -9999
JUNGFRAU   120517 300  124500-125000   00     172.83  656.3    163.97     3.00    -9999
JUNGFRAU   120517 300  125000-125500   00     171.21  656.3    162.39     2.00    -9999
JUNGFRAU   120517 300  125500-130000   00     171.48  656.3    162.75     2.30    -9999
JUNGFRAU   120517 300  130000-130500   00     172.45  656.4    163.69     2.90    -9999
JUNGFRAU   120517 300  130500-131000   00     169.11  656.4    160.57     0.90    -9999
JUNGFRAU   120517 300  131000-131500   00     169.33  656.4    160.76     1.00    -9999
JUNGFRAU   120517 300  131500-132000   00     171.38  656.4    162.58     2.20    -9999
JUNGFRAU   120517 300  132000-132500   00     170.12  656.4    161.51     1.50    -9999
JUNGFRAU   120517 300  132500-133000   00     169.08  656.4    160.56     0.90    -9999
JUNGFRAU   120517 300  133000-133500   00     170.03  656.4    161.43     1.40    -9999
JUNGFRAU   120517 300  133500-134000   00     168.94  656.4    160.43     0.80    -9999
JUNGFRAU   120517 300  134000-134500   00     171.57  656.4    162.94     2.40    -9999
JUNGFRAU   120517 300  134500-135000   00     170.47  656.4    161.84     1.70    -9999
JUNGFRAU   120517 300  135000-135500   00     170.24  656.4    161.58     1.50    -9999
JUNGFRAU   120517 300  135500-140000   00     169.07  656.4    160.49     0.80    -9999
JUNGFRAU   120517 300  140000-140500   00     169.82  656.4    161.23     1.30    -9999
JUNGFRAU   120517 300  140500-141000   00     171.91  656.4    163.16     2.50    -9999
JUNGFRAU   120517 300  141000-141500   00     169.73  656.4    161.18     1.30    -9999
JUNGFRAU   120517 300  141500-142000   00     170.56  656.4    161.84     1.70    -9999
JUNGFRAU   120517 300  142000-142500   00     167.79  656.4    159.27     0.10    -9999
JUNGFRAU   120517 300  142500-143000   00     169.34  656.3    160.69     1.00    -9999
JUNGFRAU   120517 300  143000-143500   00     169.19  656.3    160.48     0.80    -9999
JUNGFRAU   120517 300  143500-144000   00     168.76  656.3    160.10     0.60    -9999
JUNGFRAU   120517 300  144000-144500   00     169.89  656.4    161.18     1.30    -9999
JUNGFRAU   120517 300  144500-145000   00     168.06  656.4    159.48     0.20    -9999
JUNGFRAU   120517 300  145000-145500   00     170.35  656.4    161.60     1.50    -9999
JUNGFRAU   120517 300  145500-150000   00     168.98  656.3    160.25     0.70    -9999
JUNGFRAU   120517 300  150000-150500   00     168.11  656.4    159.54     0.30    -9999
JUNGFRAU   120517 300  150500-151000   00     168.43  656.3    159.75     0.40    -9999
JUNGFRAU   120517 300  151000-151500   00     167.67  656.3    158.99    -0.10    -9999
JUNGFRAU   120517 300  151500-152000   00     168.08  656.3    159.54     0.30    -9999
JUNGFRAU   120517 300  152000-152500   00     170.25  656.2    161.44     1.40    -9999
JUNGFRAU   120517 300  152500-153000   00     168.54  656.2    159.71     0.40    -9999
JUNGFRAU   120517 300  153000-153500   00     168.98  656.1    160.07     0.60    -9999
JUNGFRAU   120517 300  153500-154000   00     168.20  656.2    159.47     0.20    -9999
JUNGFRAU   120517 300  154000-154500   00     168.94  656.1    160.09     0.60    -9999
JUNGFRAU   120517 300  154500-155000   00     168.37  656.2    159.62     0.30    -9999
JUNGFRAU   120517 300  155000-155500   00     171.34  656.2    162.32     2.00    -9999
JUNGFRAU   120517 300  155500-160000   00     168.47  656.2    159.71     0.40    -9999
JUNGFRAU   120517 300  160000-160500   00     170.64  656.2    161.86     1.70    -9999
JUNGFRAU   120517 300  160500-161000   00     168.26  656.2    159.53     0.20    -9999
JUNGFRAU   120517 300  161000-161500   00     168.84  656.2    159.90     0.50    -9999
JUNGFRAU   120517 300  161500-162000   00     170.34  656.2    161.47     1.50    -9999
JUNGFRAU   120517 300  162000-162500   00     168.51  656.2    159.67     0.30    -9999
JUNGFRAU   120517 300  162500-163000   00     167.90  656.1    158.99    -0.10    -9999
JUNGFRAU   120517 300  163000-163500   00     170.10  656.1    161.25     1.30    -9999
JUNGFRAU   120517 300  163500-164000   00     169.37  656.1    160.52     0.90    -9999
JUNGFRAU   120517 300  164000-164500   00     169.81  656.1    161.01     1.20    -9999
