GOOSE BAY  LATITUDE    53.27     LONGITUDE     299.6     ALTITUDE    46 M
GOOSE BAY  INSTRUMENT   18-NM-64  NEUTRON MONITOR	
GOOSE BAY  STANDARD PRESSURE    758     MMHG   COEFFICIENT   -0.987    % / MMHG
GOOSE BAY  PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
GOOSE BAY  PRE-INCREASE AVERAGE COUNTING RATE    168.03      COUNTS PER SECOND
GOOSE BAY  TIME INTERVALS    60          300         3600     
GOOSE BAY  SCALE FACTORS     1           1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
GOOSE BAY  000714 60   123200-123300   00     198.83  754.9    192.84    14.80    14.80
GOOSE BAY  000714 60   123300-123400   00     205.50  754.9    199.31    18.60    18.60
GOOSE BAY  000714 60   123400-123500   00     198.83  754.9    192.84    14.80    14.80
GOOSE BAY  000714 60   123500-123600   00     195.50  754.9    189.61    12.80    12.80
GOOSE BAY  000714 60   123600-123700   00     203.83  754.9    197.69    17.70    17.70
GOOSE BAY  000714 60   123700-123800   00     197.49  754.8    191.35    13.90    13.90
GOOSE BAY  000714 60   123800-123900   00     200.50  754.8    194.27    15.60    15.60
GOOSE BAY  000714 60   123900-124000   00     198.83  754.9    192.84    14.80    14.80
GOOSE BAY  000714 60   124000-124100   00     195.50  754.8    189.42    12.70    12.70
GOOSE BAY  000714 60   124100-124200   00     202.17  754.8    195.88    16.60    16.60
GOOSE BAY  000714 60   124200-124300   00     200.50  754.8    194.27    15.60    15.60
GOOSE BAY  000714 60   124300-124400   00     203.83  754.8    197.50    17.50    17.50
GOOSE BAY  000714 60   124400-124500   00     198.83  754.9    192.84    14.80    14.80
GOOSE BAY  000714 60   124500-124600   00     198.83  754.8    192.65    14.70    14.70
GOOSE BAY  000714 60   124600-124700   00     198.83  754.8    192.65    14.70    14.70
GOOSE BAY  000714 60   124700-124800   00     193.83  754.8    187.81    11.80    11.80
GOOSE BAY  000714 60   124800-124900   00     198.83  754.8    192.65    14.70    14.70
GOOSE BAY  000714 60   124900-125000   00     198.83  754.9    192.84    14.80    14.80
GOOSE BAY  000714 60   125000-125100   00     197.17  754.8    191.04    13.70    13.70
GOOSE BAY  000714 60   125100-125200   00     193.83  754.8    187.81    11.80    11.80
GOOSE BAY  000714 60   125200-125300   00     195.50  754.8    189.42    12.70    12.70
GOOSE BAY  000714 60   125300-125400   00     199.16  754.8    192.97    14.80    14.80
GOOSE BAY  000714 60   125400-125500   00     195.50  754.8    189.42    12.70    12.70
GOOSE BAY  000714 60   125500-125600   00     202.17  754.8    195.88    16.60    16.60
GOOSE BAY  000714 60   125600-125700   00     198.83  754.8    192.65    14.70    14.70
GOOSE BAY  000714 60   125700-125800   00     195.50  754.8    189.42    12.70    12.70
GOOSE BAY  000714 60   125800-125900   00     192.17  754.8    186.19    10.80    10.80
GOOSE BAY  000714 60   125900-130000   00     202.17  754.8    195.88    16.60    16.60
GOOSE BAY  000714 60   130000-130100   00     198.83  754.8    192.65    14.70    14.70
GOOSE BAY  000714 60   130100-130200   00     197.17  754.7    190.85    13.60    13.60
GOOSE BAY  000714 60   130200-130300   00     190.50  754.8    184.58     9.80     9.80
GOOSE BAY  000714 60   130300-130400   00     198.83  754.8    192.65    14.70    14.70
