TIXIE BAY  LATITUDE    71.58     LONGITUDE     128.92    ALTITUDE    0 M
TIXIE BAY  INSTRUMENT   18-NM-64  NEUTRON MONITOR
TIXIE BAY  STANDARD PRESSURE    1007.8  MB     COEFFICIENT   -0.72     % / MB
TIXIE BAY  PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
TIXIE BAY  PRE-INCREASE AVERAGE COUNTING RATE    134.42      COUNTS PER SECOND
TIXIE BAY  TIME INTERVALS    300         3600     
TIXIE BAY  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
TIXIE BAY  000714 300  201500-202000   00     136.67 1008.6    137.46     2.30     1.19
TIXIE BAY  000714 300  202000-202500   00     135.33 1008.6    136.12     1.30     0.19
TIXIE BAY  000714 300  202500-203000   00     136.33 1008.6    137.12     2.00     0.89
TIXIE BAY  000714 300  203000-203500   00     136.67 1008.6    137.46     2.30     1.19
TIXIE BAY  000714 300  203500-204000   00     136.33 1008.6    137.13     2.00     0.89
TIXIE BAY  000714 300  204000-204500   00     135.33 1008.6    136.12     1.30     0.19
TIXIE BAY  000714 300  204500-205000   00     135.67 1008.6    136.46     1.50     0.39
TIXIE BAY  000714 300  205000-205500   00     134.33 1008.6    135.13     0.50    -0.61
TIXIE BAY  000714 300  205500-210000   00     135.33 1008.6    136.14     1.30     0.19
TIXIE BAY  000714 300  210000-210500   00     134.67 1008.7    135.54     0.80    -0.31
TIXIE BAY  000714 300  210500-211000   00     136.00 1008.7    136.88     1.80    -9999
TIXIE BAY  000714 300  211000-211500   00     136.67 1008.7    137.56     2.30    -9999
TIXIE BAY  000714 300  211500-212000   00     137.00 1008.7    137.90     2.60    -9999
TIXIE BAY  000714 300  212000-212500   00     135.67 1008.7    136.56     1.60    -9999
TIXIE BAY  000714 300  212500-213000   00     138.00 1008.7    138.90     3.30    -9999
TIXIE BAY  000714 300  213000-213500   00     136.00 1008.7    136.88     1.80    -9999
TIXIE BAY  000714 300  213500-214000   00     135.67 1008.7    136.54     1.60    -9999
TIXIE BAY  000714 300  214000-214500   00     135.33 1008.7    136.20     1.30    -9999
TIXIE BAY  000714 300  214500-215000   00     135.33 1008.7    136.19     1.30    -9999
TIXIE BAY  000714 300  215000-215500   00     137.00 1008.7    137.85     2.60    -9999
TIXIE BAY  000714 300  215500-220000   00     135.67 1008.6    136.50     1.50    -9999
TIXIE BAY  000714 300  220000-220500   00     134.67 1008.6    135.44     0.80    -9999
TIXIE BAY  000714 300  220500-221000   00     137.33 1008.6    138.10     2.70    -9999
TIXIE BAY  000714 300  221000-221500   00     135.00 1008.6    135.74     1.00    -9999
TIXIE BAY  000714 300  221500-222000   00     135.33 1008.5    136.06     1.20    -9999
TIXIE BAY  000714 300  222000-222500   00     135.67 1008.5    136.38     1.50    -9999
TIXIE BAY  000714 300  222500-223000   00     135.00 1008.5    135.69     0.90    -9999
TIXIE BAY  000714 300  223000-223500   00     133.67 1008.5    134.34    -0.10    -9999
TIXIE BAY  000714 300  223500-224000   00     133.67 1008.5    134.32    -0.10    -9999
TIXIE BAY  000714 300  224000-224500   00     134.67 1008.5    135.31     0.70    -9999
TIXIE BAY  000714 300  224500-225000   00     136.33 1008.4    136.97     1.90    -9999
TIXIE BAY  000714 300  225000-225500   00     135.67 1008.4    136.28     1.40    -9999
TIXIE BAY  000714 300  225500-230000   00     135.33 1008.4    135.93     1.10    -9999
TIXIE BAY  000714 300  230000-230500   00     137.00 1008.4    137.55     2.30    -9999
TIXIE BAY  000714 300  230500-231000   00     136.33 1008.3    136.87     1.80    -9999
TIXIE BAY  000714 300  231000-231500   00     135.33 1008.3    135.85     1.10    -9999
TIXIE BAY  000714 300  231500-232000   00     137.00 1008.3    137.51     2.30    -9999
TIXIE BAY  000714 300  232000-232500   00     134.33 1008.3    134.83     0.30    -9999
TIXIE BAY  000714 300  232500-233000   00     136.00 1008.3    136.49     1.50    -9999
TIXIE BAY  000714 300  233000-233500   00     134.67 1008.3    135.15     0.50    -9999
TIXIE BAY  000714 300  233500-234000   00     135.33 1008.3    135.82     1.00    -9999
TIXIE BAY  000714 300  234000-234500   00     136.00 1008.3    136.49     1.50    -9999
TIXIE BAY  000714 300  234500-235000   00     135.00 1008.3    135.49     0.80    -9999
TIXIE BAY  000714 300  235000-235500   00     136.67 1008.3    137.16     2.00    -9999
TIXIE BAY  000714 300  235500-240000   00     133.33 1008.3    133.82    -0.40    -9999
TIXIE BAY  000715 3600 000000-010000   00     135.17 1008.4    135.75     1.00    -9999
TIXIE BAY  000715 3600 010000-020000   00     135.22 1008.2    135.61     0.90    -9999
TIXIE BAY  000715 3600 020000-030000   00     135.50 1007.9    135.60     0.90    -9999
TIXIE BAY  000715 3600 030000-040000   00     135.33 1007.8    135.33     0.70    -9999
TIXIE BAY  000715 3600 040000-050000   00     135.89 1007.4    135.50     0.80    -9999
TIXIE BAY  000715 3600 050000-060000   00     136.03 1007.3    135.54     0.80    -9999
TIXIE BAY  000715 3600 060000-070000   00     135.83 1007.1    135.15     0.50    -9999
TIXIE BAY  000715 3600 070000-080000   00     136.64 1006.9    135.75     1.00    -9999
TIXIE BAY  000715 3600 080000-090000   00     135.53 1006.8    134.55     0.10    -9999
TIXIE BAY  000715 3600 090000-100000   00     134.56 1006.8    133.59    -0.60    -9999
TIXIE BAY  000715 3600 100000-110000   00     134.78 1006.9    133.90    -0.40    -9999
TIXIE BAY  000715 3600 110000-120000   00     135.11 1006.5    133.85    -0.40    -9999
TIXIE BAY  000715 3600 120000-130000   00     135.42 1006.2    133.86    -0.40    -9999
TIXIE BAY  000715 3600 130000-140000   00     135.67 1006.1    134.01    -0.30    -9999
TIXIE BAY  000715 3600 140000-150000   00     135.83 1006.0    134.08    -0.30    -9999
TIXIE BAY  000715 3600 150000-160000   00     134.83 1006.0    133.09    -1.00    -9999
TIXIE BAY  000715 3600 160000-170000   00     134.86 1005.9    133.02    -1.00    -9999
TIXIE BAY  000715 3600 170000-180000   00     134.31 1005.6    132.19    -1.70    -9999
TIXIE BAY  000715 3600 180000-190000   00     133.22 1005.4    130.93    -2.60    -9999
TIXIE BAY  000715 3600 190000-200000   00     133.78 1005.4    131.48    -2.20    -9999
TIXIE BAY  000715 3600 200000-210000   00     131.39 1005.4    129.13    -3.90    -9999
TIXIE BAY  000715 3600 210000-220000   00     131.31 1005.6    129.23    -3.90    -9999
TIXIE BAY  000715 3600 220000-230000   00     126.50 1005.7    124.60    -7.30    -9999
TIXIE BAY  000715 3600 230000-240000   00     127.36 1005.7    125.44    -6.70    -9999
*
*	
*COMMENT    DATA VERIFIED BY E.A.EROSHENKO	
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2022-05-13 14:50:50 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE59/C059TXBY_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
