,latitude,longitude,altitude (km),edose,adose,dosee,tn1,tn2,tn3,SEU,SEL,datetime
79,-85.0,35.0,15.24,11.060621604448816,11.343156374219927,6.906546986821416,4.723704766801907,2.9533039456250423,1.9345246856069371,2.9533039456250426e-13,2.9533039456250422e-08,2012-05-17 03:20:00+00:00
80,-85.0,40.0,15.24,11.06979174792301,11.349879136305143,6.911551094977999,4.726008015679577,2.954763807283042,1.9355152439624819,2.954763807283042e-13,2.9547638072830422e-08,2012-05-17 03:20:00+00:00
81,-85.0,45.0,15.24,11.073457440855563,11.350641100025399,6.912996213498358,4.725779277237498,2.954641527703355,1.9354718912416629,2.954641527703355e-13,2.954641527703355e-08,2012-05-17 03:20:00+00:00
82,-85.0,50.0,15.24,11.071951964786217,11.345548328953278,6.91102866997096,4.72301306683606,2.952933798450192,1.9343938747344183,2.952933798450192e-13,2.9529337984501922e-08,2012-05-17 03:20:00+00:00
83,-85.0,55.0,15.24,11.064243964584694,11.333977762319392,6.9051520402533155,4.717528338228456,2.949526949020717,1.9322037496788576,2.949526949020717e-13,2.9495269490207173e-08,2012-05-17 03:20:00+00:00
84,-85.0,60.0,15.24,11.049910938472587,11.315424961310312,6.895092189815677,4.7090942295310505,2.9442760097227074,1.9288065904905172,2.9442760097227075e-13,2.9442760097227074e-08,2012-05-17 03:20:00+00:00
85,-85.0,65.0,15.24,11.029114608571751,11.290117694750673,6.880965305956562,4.697819808528864,2.937249319735323,1.9242468458599462,2.937249319735323e-13,2.9372493197353232e-08,2012-05-17 03:20:00+00:00
86,-85.0,70.0,15.24,11.0023840004754,11.25857109464163,6.863347007329492,4.683831786993064,2.9285291307805466,1.9185804299953688,2.928529130780547e-13,2.9285291307805467e-08,2012-05-17 03:20:00+00:00
87,-85.0,75.0,15.24,10.969027388594306,11.220281745869777,6.841627617459678,4.667036874175686,2.9180535567927577,1.9117633287393916,2.9180535567927576e-13,2.9180535567927576e-08,2012-05-17 03:20:00+00:00
88,-85.0,80.0,15.24,10.92926755194827,11.175438722655725,6.815986523664133,4.647492935026395,2.9058603129278158,1.9038215107005618,2.9058603129278156e-13,2.9058603129278157e-08,2012-05-17 03:20:00+00:00
89,-85.0,85.0,15.24,10.883943411092163,11.125111572761519,6.786996188488827,4.625686086904414,2.892251641040363,1.8949504308349372,2.892251641040363e-13,2.892251641040363e-08,2012-05-17 03:20:00+00:00
90,-85.0,90.0,15.24,10.8322293336974,11.06818609742201,6.75406494481613,4.601102855068519,2.8769082006520112,1.8849440982382641,2.8769082006520115e-13,2.8769082006520113e-08,2012-05-17 03:20:00+00:00
91,-85.0,95.0,15.24,10.77531536742098,11.006493924033318,6.718035849999037,4.5746438541999535,2.860388904608288,1.874161535618616,2.860388904608288e-13,2.8603889046082884e-08,2012-05-17 03:20:00+00:00
92,-85.0,100.0,15.24,10.713165359827176,10.939857815468391,6.678733190215923,4.546248519068142,2.842655721749,1.862579063051546,2.842655721749e-13,2.8426557217489998e-08,2012-05-17 03:20:00+00:00
93,-85.0,105.0,15.24,10.646666307095016,10.86913326406213,6.636815400457141,4.516222459034693,2.823901283254417,1.8503240838842452,2.823901283254417e-13,2.823901283254417e-08,2012-05-17 03:20:00+00:00
94,-85.0,110.0,15.24,10.5768254904641,10.79584842511804,6.592857959942505,4.48535636790149,2.8046147204744263,1.837710274308108,2.8046147204744266e-13,2.8046147204744264e-08,2012-05-17 03:20:00+00:00
95,-85.0,115.0,15.24,10.503766671878974,10.720026290639169,6.54694745747193,4.45363226105385,2.7847868610886253,1.8247337232388428,2.7847868610886254e-13,2.7847868610886253e-08,2012-05-17 03:20:00+00:00
96,-85.0,120.0,15.24,10.431595133083196,10.646149522126807,6.50229662306482,4.422775307901572,2.765500278308523,1.8121036167282762,2.765500278308523e-13,2.765500278308523e-08,2012-05-17 03:20:00+00:00
97,-85.0,125.0,15.24,10.359031268944092,10.572933981238682,6.457626532585106,4.392418421420901,2.7465203341628297,1.7996632190401682,2.74652033416283e-13,2.7465203341628296e-08,2012-05-17 03:20:00+00:00
98,-85.0,130.0,15.24,10.28614554079597,10.500828227180879,6.413082685706247,4.362819125142591,2.728005754496212,1.7875122627257505,2.728005754496212e-13,2.7280057544962124e-08,2012-05-17 03:20:00+00:00
99,-85.0,135.0,15.24,10.22175178908955,10.439371325242922,6.373728890335508,4.33817023499093,2.712551539505297,1.7773264472211217,2.712551539505297e-13,2.712551539505297e-08,2012-05-17 03:20:00+00:00
100,-85.0,140.0,15.24,10.160072504478173,10.38139385130853,6.336113950705754,4.315146051927667,2.698106094118722,1.7677912748868139,2.698106094118722e-13,2.698106094118722e-08,2012-05-17 03:20:00+00:00
101,-85.0,145.0,15.24,10.099377518372538,10.325192393022686,6.299280675446374,4.293024729921416,2.684221327105174,1.7586154129819405,2.6842213271051743e-13,2.6842213271051742e-08,2012-05-17 03:20:00+00:00
102,-85.0,150.0,15.24,10.043329363766,10.273762401260523,6.265253233798368,4.272921517498106,2.67159604486397,1.7502618294643844,2.67159604486397e-13,2.67159604486397e-08,2012-05-17 03:20:00+00:00
103,-85.0,155.0,15.24,9.993433322757868,10.230128913509716,6.235277045828679,4.256476024435285,2.6612636245208567,1.7434036090811063,2.661263624520857e-13,2.661263624520857e-08,2012-05-17 03:20:00+00:00
104,-85.0,160.0,15.24,9.945161822175027,10.188426891791218,6.206439607752025,4.240868420107861,2.6514540665877524,1.7368849622312261,2.6514540665877526e-13,2.6514540665877523e-08,2012-05-17 03:20:00+00:00
105,-85.0,165.0,15.24,9.900252215324542,10.149809413182803,6.1795564620917816,4.226487884082294,2.6424132746714952,1.7308739990579316,2.6424132746714953e-13,2.6424132746714952e-08,2012-05-17 03:20:00+00:00
106,-85.0,170.0,15.24,9.860240272300679,10.115973760740156,6.156093922722299,4.213920184659411,2.6345140998141936,1.7256176346566814,2.6345140998141937e-13,2.6345140998141938e-08,2012-05-17 03:20:00+00:00
107,-85.0,175.0,15.24,9.82192874450629,10.083136323277031,6.1335340869546116,4.201611613963296,2.6267814908282285,1.7204789748797167,2.6267814908282284e-13,2.6267814908282284e-08,2012-05-17 03:20:00+00:00
108,-85.0,180.0,15.24,9.786897038734422,10.052929190987992,6.1131182672128705,4.190157874189516,2.61958990293294,1.7157041838130396,2.61958990293294e-13,2.61958990293294e-08,2012-05-17 03:20:00+00:00
109,-85.0,185.0,15.24,9.756430756860409,10.025987125689444,6.0953878749548895,4.179719636019357,2.6130424017655383,1.7113670902591982,2.6130424017655384e-13,2.6130424017655382e-08,2012-05-17 03:20:00+00:00
110,-85.0,190.0,15.24,9.72809339685709,9.999764797662282,6.078479158708309,4.169334103725794,2.606533072007538,1.707069256677082,2.606533072007538e-13,2.606533072007538e-08,2012-05-17 03:20:00+00:00
111,-85.0,195.0,15.24,9.702230386064716,9.974659648994507,6.0626424708356135,4.15916932360473,2.6001678025954305,1.7028805383197676,2.6001678025954305e-13,2.6001678025954304e-08,2012-05-17 03:20:00+00:00
112,-85.0,200.0,15.24,9.677375526870334,9.94985019927915,6.047240408862868,4.148987978035128,2.5937973521803017,1.6986984773653404,2.593797352180302e-13,2.593797352180302e-08,2012-05-17 03:20:00+00:00
113,-85.0,205.0,15.24,9.654502490925665,9.926159719341085,6.032812429146604,4.139105972457211,2.5876200181258735,1.6946550072562376,2.587620018125874e-13,2.5876200181258735e-08,2012-05-17 03:20:00+00:00
114,-85.0,210.0,15.24,9.633298227299997,9.903657962721974,6.01932391824954,4.129610373902799,2.581688369488163,1.6907797630112065,2.581688369488163e-13,2.581688369488163e-08,2012-05-17 03:20:00+00:00
115,-85.0,215.0,15.24,9.614270113940357,9.882926261025647,6.007119003022793,4.120751335672142,2.5761585917359198,1.6871744009632859,2.5761585917359197e-13,2.5761585917359197e-08,2012-05-17 03:20:00+00:00
116,-85.0,220.0,15.24,9.597827212230689,9.864472761238353,5.996481838661087,4.112754718809036,2.571171265096603,1.6839296495102007,2.5711712650966033e-13,2.5711712650966032e-08,2012-05-17 03:20:00+00:00
117,-85.0,225.0,15.24,9.584409000998457,9.848817029935182,5.987701238669707,4.105849809656902,2.566868986092327,1.681137745386784,2.566868986092327e-13,2.566868986092327e-08,2012-05-17 03:20:00+00:00
118,-85.0,230.0,15.24,9.574365093281713,9.836360516967796,5.981004097818434,4.100213197664953,2.563361957146916,1.6788703854691227,2.563361957146916e-13,2.563361957146916e-08,2012-05-17 03:20:00+00:00
119,-85.0,235.0,15.24,9.567922709221223,9.827389452873392,5.9765471698744275,4.095973234740309,2.5607299600299935,1.6771791099489712,2.5607299600299937e-13,2.5607299600299937e-08,2012-05-17 03:20:00+00:00
120,-85.0,240.0,15.24,9.565464492664587,9.822361412390647,5.974567532356871,4.09333834007843,2.5591024203100035,1.6761475260007341,2.5591024203100035e-13,2.5591024203100036e-08,2012-05-17 03:20:00+00:00
121,-85.0,245.0,15.24,9.567087659504853,9.821448805682286,5.975137829047961,4.092395754470973,2.5585331555316424,1.6758098572323146,2.5585331555316424e-13,2.5585331555316425e-08,2012-05-17 03:20:00+00:00
122,-85.0,250.0,15.24,9.573078492057629,9.82496528398408,5.978439132006172,4.093281757594727,2.5591074262181928,1.6762218003668625,2.559107426218193e-13,2.5591074262181927e-08,2012-05-17 03:20:00+00:00
123,-85.0,255.0,15.24,9.583668571745616,9.83319227348355,5.9846214435144685,4.096123023942272,2.5609038417572285,1.6774340938757673,2.5609038417572287e-13,2.5609038417572284e-08,2012-05-17 03:20:00+00:00
124,-85.0,260.0,15.24,9.599375086140233,9.846765710019001,5.994016010476753,4.1012103937786,2.5641032432017465,1.6795636773138662,2.5641032432017467e-13,2.5641032432017466e-08,2012-05-17 03:20:00+00:00
125,-85.0,265.0,15.24,9.62059706841365,9.866152081519747,6.006885659035894,4.108748813612738,2.5688332133270038,1.6826932746185832,2.5688332133270037e-13,2.5688332133270038e-08,2012-05-17 03:20:00+00:00
126,-85.0,270.0,15.24,9.64816762427548,9.8924387889913,6.023779709251131,4.119244562999889,2.575408078321535,1.6870254655786758,2.575408078321535e-13,2.575408078321535e-08,2012-05-17 03:20:00+00:00
127,-85.0,275.0,15.24,9.683147922463757,9.92696828965545,6.045384917326018,4.13331494747273,2.5842106407347627,1.692806831543815,2.584210640734763e-13,2.584210640734763e-08,2012-05-17 03:20:00+00:00
128,-85.0,280.0,15.24,9.726411103396952,9.97087597716025,6.0722863011833415,4.151487816116574,2.5955695816701074,1.700249896484048,2.5955695816701073e-13,2.5955695816701074e-08,2012-05-17 03:20:00+00:00
129,-85.0,285.0,15.24,9.778447001379961,10.024797796048569,6.104815788111637,4.174056545209478,2.609667406368491,1.7094725059735532,2.609667406368491e-13,2.6096674063684907e-08,2012-05-17 03:20:00+00:00
130,-85.0,290.0,15.24,9.838120827563616,10.087157915401407,6.142250411901967,4.200266612579301,2.6260388262639545,1.7201773735123431,2.6260388262639545e-13,2.6260388262639545e-08,2012-05-17 03:20:00+00:00
