,,latitude,longitude,altitude (km),edose,adose,dosee,tn1,tn2,tn3,SEU,SEL,datetime
7,1,90.0,0.0,2.0,0.022745108878254174,0.03197200691380868,0.005666148171885263,0.015831824870054582,0.009938960439836945,0.006393663070399695,9.938960439836945e-16,9.938960439836946e-11,2012-05-17 02:30:00+00:00
7,2,90.0,0.0,5.0,0.2564116075110301,0.34825033588136284,0.14356030159788505,0.17202950555645022,0.1105188664882343,0.07322774589395822,1.105188664882343e-14,1.105188664882343e-09,2012-05-17 02:30:00+00:00
7,3,90.0,0.0,12.0,9.239690620047039,11.059182888563502,6.025339726871547,5.130490851861132,3.267135392773348,2.170350195656979,3.267135392773348e-13,3.267135392773348e-08,2012-05-17 02:30:00+00:00
7,4,90.0,0.0,20.0,158.37903501654253,102.16194998014494,99.07078597023504,24.25267470985858,14.748399081887941,9.528958785294087,1.4748399081887942e-12,1.4748399081887941e-07,2012-05-17 02:30:00+00:00
8,0,90.0,0.0,0.0,0.0027685173101706663,0.003909170306173841,0.0003143777757317462,0.0019302838107574014,0.0011149644089346606,0.0007219605145732676,1.1149644089346607e-16,1.1149644089346606e-11,2012-05-17 02:35:00+00:00
8,1,90.0,0.0,2.0,0.019885444067661982,0.027982636536899235,0.004891930581071674,0.013857824222710891,0.00869604950500233,0.005587359863709935,8.696049505002331e-16,8.69604950500233e-11,2012-05-17 02:35:00+00:00
8,2,90.0,0.0,5.0,0.2247899046650893,0.3056977560750541,0.1254138138908749,0.1510355976872423,0.09700068014227158,0.06423837666732324,9.700068014227158e-15,9.700068014227158e-10,2012-05-17 02:35:00+00:00
8,3,90.0,0.0,12.0,8.103920964422842,9.754100186332224,5.29761175480623,4.534633535399599,2.8870824187445603,1.9166455116823973,2.8870824187445605e-13,2.8870824187445603e-08,2012-05-17 02:35:00+00:00
8,4,90.0,0.0,20.0,140.73854523166975,91.23237802401496,88.71347730107968,21.63131726428655,13.150511775315339,8.489207082999856,1.315051177531534e-12,1.315051177531534e-07,2012-05-17 02:35:00+00:00
9,0,90.0,0.0,0.0,0.0021813017283946585,0.003078650779473256,0.00025041306740245536,0.0015198599056278125,0.0008769305751462401,0.0005681953102598582,8.769305751462402e-17,8.769305751462401e-12,2012-05-17 02:40:00+00:00
